"date","l_ipn","r_asn","f"
"2006-07-01T00:00:00","3","15290","1"
"2006-07-01T00:00:00","3","17429","1"
"2006-07-01T00:00:00","3","24915","2"
"2006-07-01T00:00:00","4","1239","5"
"2006-07-01T00:00:00","4","1668","1"
"2006-07-01T00:00:00","4","3356","21"
"2006-07-01T00:00:00","4","3561","10"
"2006-07-01T00:00:00","4","4323","1"
"2006-07-01T00:00:00","4","8282","21"
"2006-07-01T00:00:00","4","11908","1"
"2006-07-01T00:00:00","4","14501","34"
"2006-07-01T00:00:00","4","14778","6"
"2006-07-01T00:00:00","4","24915","1"
"2006-07-01T00:00:00","4","31976","83"
"2006-07-01T00:00:00","5","2152","3"
"2006-07-01T00:00:00","5","3561","3"
"2006-07-01T00:00:00","5","4134","1"
"2006-07-01T00:00:00","5","4808","7"
"2006-07-01T00:00:00","5","8070","6"
"2006-07-01T00:00:00","5","8075","4"
"2006-07-01T00:00:00","5","11908","6"
"2006-07-01T00:00:00","5","13867","2"
"2006-07-01T00:00:00","5","14366","8"
"2006-07-01T00:00:00","5","14501","1"
"2006-07-01T00:00:00","5","15290","2"
"2006-07-01T00:00:00","5","24915","1"
"2006-07-01T00:00:00","6","1239","2"
"2006-07-01T00:00:00","6","4134","14"
"2006-07-01T00:00:00","6","4808","8"
"2006-07-01T00:00:00","6","4837","6"
"2006-07-01T00:00:00","6","10565","11"
"2006-07-01T00:00:00","6","11908","13"
"2006-07-01T00:00:00","6","12968","1"
"2006-07-01T00:00:00","6","14501","2"
"2006-07-01T00:00:00","6","15290","4"
"2006-07-01T00:00:00","6","17429","1"
"2006-07-01T00:00:00","6","19548","1"
"2006-07-01T00:00:00","7","109","7"
"2006-07-01T00:00:00","7","2152","46"
"2006-07-01T00:00:00","7","3356","55"
"2006-07-01T00:00:00","7","3491","3"
"2006-07-01T00:00:00","7","3561","35"
"2006-07-01T00:00:00","7","3582","10"
"2006-07-01T00:00:00","7","4513","6"
"2006-07-01T00:00:00","7","6432","10"
"2006-07-01T00:00:00","7","7805","2"
"2006-07-01T00:00:00","7","7859","2"
"2006-07-01T00:00:00","7","8070","5"
"2006-07-01T00:00:00","7","9156","2"
"2006-07-01T00:00:00","7","10565","2"
"2006-07-01T00:00:00","7","10763","5"
"2006-07-01T00:00:00","7","12222","2"
"2006-07-01T00:00:00","7","15169","32"
"2006-07-01T00:00:00","7","15290","2"
"2006-07-01T00:00:00","7","15830","19"
"2006-07-01T00:00:00","7","16759","4"
"2006-07-01T00:00:00","7","17210","7"
"2006-07-01T00:00:00","7","18924","48"
"2006-07-01T00:00:00","7","19306","15"
"2006-07-01T00:00:00","7","21844","26"
"2006-07-01T00:00:00","7","22277","5"
"2006-07-01T00:00:00","7","22822","2"
"2006-07-01T00:00:00","7","25969","6"
"2006-07-01T00:00:00","7","26085","5"
"2006-07-01T00:00:00","7","26101","15"
"2006-07-01T00:00:00","7","26229","16"
"2006-07-01T00:00:00","7","29720","8"
"2006-07-01T00:00:00","7","32934","7"
"2006-07-01T00:00:00","7","33419","2"
"2006-07-01T00:00:00","8","25","4"
"2006-07-01T00:00:00","8","26","3"
"2006-07-01T00:00:00","8","109","7"
"2006-07-01T00:00:00","8","209","4"
"2006-07-01T00:00:00","8","557","10"
"2006-07-01T00:00:00","8","786","6"
"2006-07-01T00:00:00","8","1103","1"
"2006-07-01T00:00:00","8","1653","5"
"2006-07-01T00:00:00","8","1668","4"
"2006-07-01T00:00:00","8","2152","21"
"2006-07-01T00:00:00","8","2386","7"
"2006-07-01T00:00:00","8","2834","23"
"2006-07-01T00:00:00","8","3356","5"
"2006-07-01T00:00:00","8","3561","5"
"2006-07-01T00:00:00","8","3701","4"
"2006-07-01T00:00:00","8","3999","1"
"2006-07-01T00:00:00","8","4266","4"
"2006-07-01T00:00:00","8","5653","16"
"2006-07-01T00:00:00","8","5662","13"
"2006-07-01T00:00:00","8","6140","4"
"2006-07-01T00:00:00","8","6453","4"
"2006-07-01T00:00:00","8","6939","4"
"2006-07-01T00:00:00","8","7805","1"
"2006-07-01T00:00:00","8","8001","4"
"2006-07-01T00:00:00","8","8070","6"
"2006-07-01T00:00:00","8","8075","7"
"2006-07-01T00:00:00","8","8468","6"
"2006-07-01T00:00:00","8","10913","4"
"2006-07-01T00:00:00","8","12552","4"
"2006-07-01T00:00:00","8","13890","4"
"2006-07-01T00:00:00","8","15169","228"
"2006-07-01T00:00:00","8","15290","1"
"2006-07-01T00:00:00","8","17374","5"
"2006-07-01T00:00:00","8","21844","1"
"2006-07-01T00:00:00","8","22205","4"
"2006-07-01T00:00:00","8","22822","8"
"2006-07-01T00:00:00","8","22982","4"
"2006-07-01T00:00:00","8","27357","2"
"2006-07-01T00:00:00","8","33554","4"
"2006-07-01T00:00:00","9","102","43"
"2006-07-01T00:00:00","9","209","6"
"2006-07-01T00:00:00","9","559","1"
"2006-07-01T00:00:00","9","701","8"
"2006-07-01T00:00:00","9","1239","17"
"2006-07-01T00:00:00","9","2152","193"
"2006-07-01T00:00:00","9","2911","71"
"2006-07-01T00:00:00","9","3356","34"
"2006-07-01T00:00:00","9","3561","13"
"2006-07-01T00:00:00","9","4267","2"
"2006-07-01T00:00:00","9","5779","104"
"2006-07-01T00:00:00","9","6432","5"
"2006-07-01T00:00:00","9","6453","7"
"2006-07-01T00:00:00","9","7224","5"
"2006-07-01T00:00:00","9","7743","32"
"2006-07-01T00:00:00","9","8070","6"
"2006-07-01T00:00:00","9","8075","2"
"2006-07-01T00:00:00","9","8912","5"
"2006-07-01T00:00:00","9","10565","1"
"2006-07-01T00:00:00","9","10763","6"
"2006-07-01T00:00:00","9","10794","7"
"2006-07-01T00:00:00","9","11266","59"
"2006-07-01T00:00:00","9","11486","15"
"2006-07-01T00:00:00","9","11499","6"
"2006-07-01T00:00:00","9","12182","9"
"2006-07-01T00:00:00","9","12217","12"
"2006-07-01T00:00:00","9","12222","7"
"2006-07-01T00:00:00","9","14779","79"
"2006-07-01T00:00:00","9","14780","328"
"2006-07-01T00:00:00","9","15169","40"
"2006-07-01T00:00:00","9","16509","15"
"2006-07-01T00:00:00","9","17110","8"
"2006-07-01T00:00:00","9","22758","4"
"2006-07-01T00:00:00","9","26101","89"
"2006-07-01T00:00:00","9","30217","6"
"2006-07-01T00:00:00","9","33419","1"
"2006-07-01T00:00:00","9","36088","217"
"2006-07-02T00:00:00","0","209","1"
"2006-07-02T00:00:00","0","701","1"
"2006-07-02T00:00:00","0","766","1"
"2006-07-02T00:00:00","0","2514","1"
"2006-07-02T00:00:00","0","2711","1"
"2006-07-02T00:00:00","0","2819","1"
"2006-07-02T00:00:00","0","2856","1"
"2006-07-02T00:00:00","0","3269","8"
"2006-07-02T00:00:00","0","3320","1"
"2006-07-02T00:00:00","0","3561","14"
"2006-07-02T00:00:00","0","4766","1"
"2006-07-02T00:00:00","0","5462","1"
"2006-07-02T00:00:00","0","9038","1"
"2006-07-02T00:00:00","0","9708","1"
"2006-07-02T00:00:00","0","10139","1"
"2006-07-02T00:00:00","0","11351","2"
"2006-07-02T00:00:00","0","12322","1"
"2006-07-02T00:00:00","0","12542","1"
"2006-07-02T00:00:00","0","12946","1"
"2006-07-02T00:00:00","0","13462","16"
"2006-07-02T00:00:00","0","13749","849"
"2006-07-02T00:00:00","0","15802","1"
"2006-07-02T00:00:00","0","17506","2"
"2006-07-02T00:00:00","0","17858","1"
"2006-07-02T00:00:00","0","19262","1"
"2006-07-02T00:00:00","0","20401","1"
"2006-07-02T00:00:00","0","22909","1"
"2006-07-02T00:00:00","0","24093","2"
"2006-07-02T00:00:00","0","26085","1"
"2006-07-02T00:00:00","0","26101","1"
"2006-07-02T00:00:00","0","28573","1"
"2006-07-02T00:00:00","0","33651","1"
"2006-07-02T00:00:00","0","33657","1"
"2006-07-02T00:00:00","0","35916","1"
"2006-07-02T00:00:00","1","766","1"
"2006-07-02T00:00:00","1","2852","2"
"2006-07-02T00:00:00","1","2856","6"
"2006-07-02T00:00:00","1","3265","1611"
"2006-07-02T00:00:00","1","3269","50"
"2006-07-02T00:00:00","1","3354","2"
"2006-07-02T00:00:00","1","3549","1"
"2006-07-02T00:00:00","1","3561","8"
"2006-07-02T00:00:00","1","4134","2"
"2006-07-02T00:00:00","1","4323","1"
"2006-07-02T00:00:00","1","4766","1"
"2006-07-02T00:00:00","1","4808","9"
"2006-07-02T00:00:00","1","4812","1"
"2006-07-02T00:00:00","1","4837","3"
"2006-07-02T00:00:00","1","5432","1"
"2006-07-02T00:00:00","1","6478","2"
"2006-07-02T00:00:00","1","7132","1"
"2006-07-02T00:00:00","1","11351","1"
"2006-07-02T00:00:00","1","11427","2"
"2006-07-02T00:00:00","1","11908","1"
"2006-07-02T00:00:00","1","12302","53"
"2006-07-02T00:00:00","1","12322","1"
"2006-07-02T00:00:00","1","13571","2"
"2006-07-02T00:00:00","1","13749","849"
"2006-07-02T00:00:00","1","13767","4"
"2006-07-02T00:00:00","1","14777","7"
"2006-07-02T00:00:00","1","14778","16"
"2006-07-02T00:00:00","1","15169","10"
"2006-07-02T00:00:00","1","16852","2"
"2006-07-02T00:00:00","1","17184","3"
"2006-07-02T00:00:00","1","19548","2"
"2006-07-02T00:00:00","1","19945","1"
"2006-07-02T00:00:00","1","22773","1"
"2006-07-02T00:00:00","1","32244","1"
"2006-07-02T00:00:00","1","33287","1"
"2006-07-02T00:00:00","1","33653","1"
"2006-07-02T00:00:00","1","36727","1"
"2006-07-02T00:00:00","2","174","1"
"2006-07-02T00:00:00","2","766","1"
"2006-07-02T00:00:00","2","1312","92"
"2006-07-02T00:00:00","2","2637","1"
"2006-07-02T00:00:00","2","2915","38"
"2006-07-02T00:00:00","2","3557","1"
"2006-07-02T00:00:00","2","3561","7"
"2006-07-02T00:00:00","2","4323","16"
"2006-07-02T00:00:00","2","7018","936"
"2006-07-02T00:00:00","2","7132","4"
"2006-07-02T00:00:00","2","7377","83"
"2006-07-02T00:00:00","2","12513","3"
"2006-07-02T00:00:00","2","13749","849"
"2006-07-02T00:00:00","2","29863","4"
"2006-07-02T00:00:00","3","766","2"
"2006-07-02T00:00:00","3","3269","5"
"2006-07-02T00:00:00","3","3354","2"
"2006-07-02T00:00:00","3","3593","2"
"2006-07-02T00:00:00","3","4134","4"
"2006-07-02T00:00:00","3","4808","8"
"2006-07-02T00:00:00","3","4837","1"
"2006-07-02T00:00:00","3","13582","1"
"2006-07-02T00:00:00","3","13749","1"
"2006-07-02T00:00:00","3","17184","4"
"2006-07-02T00:00:00","4","766","1"
"2006-07-02T00:00:00","4","3269","29"
"2006-07-02T00:00:00","4","4323","1"
"2006-07-02T00:00:00","4","13749","390"
"2006-07-02T00:00:00","4","14778","4"
"2006-07-02T00:00:00","4","29895","413"
"2006-07-02T00:00:00","4","31976","85"
"2006-07-02T00:00:00","4","33651","18"
"2006-07-02T00:00:00","5","209","1"
"2006-07-02T00:00:00","5","766","1"
"2006-07-02T00:00:00","5","2152","2"
"2006-07-02T00:00:00","5","3269","5"
"2006-07-02T00:00:00","5","3356","1"
"2006-07-02T00:00:00","5","3593","1"
"2006-07-02T00:00:00","5","4134","10"
"2006-07-02T00:00:00","5","4808","7"
"2006-07-02T00:00:00","5","4837","2"
"2006-07-02T00:00:00","5","8070","5"
"2006-07-02T00:00:00","5","8075","5"
"2006-07-02T00:00:00","5","10139","7"
"2006-07-02T00:00:00","5","11351","2"
"2006-07-02T00:00:00","5","13749","1"
"2006-07-02T00:00:00","5","13867","2"
"2006-07-02T00:00:00","5","14366","4"
"2006-07-02T00:00:00","5","17184","2"
"2006-07-02T00:00:00","5","17429","2"
"2006-07-02T00:00:00","6","766","1"
"2006-07-02T00:00:00","6","3269","5"
"2006-07-02T00:00:00","6","3354","2"
"2006-07-02T00:00:00","6","4134","5"
"2006-07-02T00:00:00","6","4808","8"
"2006-07-02T00:00:00","6","4812","1"
"2006-07-02T00:00:00","6","4837","2"
"2006-07-02T00:00:00","6","13749","1"
"2006-07-02T00:00:00","6","17184","2"
"2006-07-02T00:00:00","7","109","7"
"2006-07-02T00:00:00","7","2152","6"
"2006-07-02T00:00:00","7","3561","1"
"2006-07-02T00:00:00","7","8070","2"
"2006-07-02T00:00:00","7","8075","2"
"2006-07-02T00:00:00","7","17184","2"
"2006-07-02T00:00:00","7","18924","48"
"2006-07-02T00:00:00","8","109","7"
"2006-07-02T00:00:00","8","3356","1"
"2006-07-02T00:00:00","8","3701","4"
"2006-07-02T00:00:00","8","8075","2"
"2006-07-02T00:00:00","8","13749","570"
"2006-07-02T00:00:00","8","15169","105"
"2006-07-02T00:00:00","9","7132","2"
"2006-07-02T00:00:00","9","8070","3"
"2006-07-03T00:00:00","0","52","1"
"2006-07-03T00:00:00","0","209","1"
"2006-07-03T00:00:00","0","701","7"
"2006-07-03T00:00:00","0","2856","1"
"2006-07-03T00:00:00","0","3269","9"
"2006-07-03T00:00:00","0","3462","1"
"2006-07-03T00:00:00","0","3561","28"
"2006-07-03T00:00:00","0","3790","1"
"2006-07-03T00:00:00","0","4134","1"
"2006-07-03T00:00:00","0","4323","1"
"2006-07-03T00:00:00","0","4513","101"
"2006-07-03T00:00:00","0","4766","3"
"2006-07-03T00:00:00","0","4837","1"
"2006-07-03T00:00:00","0","5384","1"
"2006-07-03T00:00:00","0","5486","1"
"2006-07-03T00:00:00","0","6147","1"
"2006-07-03T00:00:00","0","6432","1"
"2006-07-03T00:00:00","0","6724","1"
"2006-07-03T00:00:00","0","7029","1"
"2006-07-03T00:00:00","0","8151","1"
"2006-07-03T00:00:00","0","8167","1"
"2006-07-03T00:00:00","0","9121","2"
"2006-07-03T00:00:00","0","9394","1"
"2006-07-03T00:00:00","0","9811","1"
"2006-07-03T00:00:00","0","12270","1"
"2006-07-03T00:00:00","0","12970","1"
"2006-07-03T00:00:00","0","13462","17"
"2006-07-03T00:00:00","0","13867","1"
"2006-07-03T00:00:00","0","16338","1"
"2006-07-03T00:00:00","0","18229","1"
"2006-07-03T00:00:00","0","19115","1"
"2006-07-03T00:00:00","0","19864","48"
"2006-07-03T00:00:00","0","26085","3"
"2006-07-03T00:00:00","0","26101","2"
"2006-07-03T00:00:00","0","31976","1"
"2006-07-03T00:00:00","0","33650","1"
"2006-07-03T00:00:00","0","33651","1"
"2006-07-03T00:00:00","0","36727","2"
"2006-07-03T00:00:00","1","3","5"
"2006-07-03T00:00:00","1","209","1"
"2006-07-03T00:00:00","1","680","2"
"2006-07-03T00:00:00","1","2711","1"
"2006-07-03T00:00:00","1","3265","1564"
"2006-07-03T00:00:00","1","3269","30"
"2006-07-03T00:00:00","1","3320","1074"
"2006-07-03T00:00:00","1","3462","1"
"2006-07-03T00:00:00","1","3561","1"
"2006-07-03T00:00:00","1","4134","7"
"2006-07-03T00:00:00","1","4230","1"
"2006-07-03T00:00:00","1","4513","101"
"2006-07-03T00:00:00","1","4766","3"
"2006-07-03T00:00:00","1","5617","1"
"2006-07-03T00:00:00","1","5668","2"
"2006-07-03T00:00:00","1","6388","1"
"2006-07-03T00:00:00","1","6461","6"
"2006-07-03T00:00:00","1","6478","1"
"2006-07-03T00:00:00","1","7015","1"
"2006-07-03T00:00:00","1","7132","5"
"2006-07-03T00:00:00","1","7303","1"
"2006-07-03T00:00:00","1","7718","1"
"2006-07-03T00:00:00","1","9271","2"
"2006-07-03T00:00:00","1","9394","1"
"2006-07-03T00:00:00","1","9808","1"
"2006-07-03T00:00:00","1","9908","1"
"2006-07-03T00:00:00","1","9929","2"
"2006-07-03T00:00:00","1","11427","1"
"2006-07-03T00:00:00","1","11456","1"
"2006-07-03T00:00:00","1","12271","1"
"2006-07-03T00:00:00","1","12302","190"
"2006-07-03T00:00:00","1","12322","1"
"2006-07-03T00:00:00","1","13767","4"
"2006-07-03T00:00:00","1","14742","2"
"2006-07-03T00:00:00","1","14777","12"
"2006-07-03T00:00:00","1","14778","13"
"2006-07-03T00:00:00","1","14780","1"
"2006-07-03T00:00:00","1","15169","5"
"2006-07-03T00:00:00","1","17974","2"
"2006-07-03T00:00:00","1","18229","1"
"2006-07-03T00:00:00","1","19318","2"
"2006-07-03T00:00:00","1","19429","2"
"2006-07-03T00:00:00","1","20676","2"
"2006-07-03T00:00:00","1","22773","1"
"2006-07-03T00:00:00","1","32244","1"
"2006-07-03T00:00:00","1","33287","2"
"2006-07-03T00:00:00","1","33651","1"
"2006-07-03T00:00:00","1","33668","1"
"2006-07-03T00:00:00","2","1312","103"
"2006-07-03T00:00:00","2","2637","1"
"2006-07-03T00:00:00","2","3269","3"
"2006-07-03T00:00:00","2","3561","4"
"2006-07-03T00:00:00","2","3701","1"
"2006-07-03T00:00:00","2","4323","8"
"2006-07-03T00:00:00","2","4513","101"
"2006-07-03T00:00:00","2","4766","1"
"2006-07-03T00:00:00","2","5617","10"
"2006-07-03T00:00:00","2","6106","1"
"2006-07-03T00:00:00","2","7018","933"
"2006-07-03T00:00:00","2","7065","1"
"2006-07-03T00:00:00","2","7132","5"
"2006-07-03T00:00:00","2","7377","94"
"2006-07-03T00:00:00","2","9316","1"
"2006-07-03T00:00:00","2","9394","1"
"2006-07-03T00:00:00","2","12260","4"
"2006-07-03T00:00:00","2","16572","8"
"2006-07-03T00:00:00","2","18229","1"
"2006-07-03T00:00:00","2","19306","3"
"2006-07-03T00:00:00","2","29863","8"
"2006-07-03T00:00:00","2","30099","4"
"2006-07-03T00:00:00","3","680","2"
"2006-07-03T00:00:00","3","3269","6"
"2006-07-03T00:00:00","3","4134","6"
"2006-07-03T00:00:00","3","4230","1"
"2006-07-03T00:00:00","3","4513","1"
"2006-07-03T00:00:00","3","4766","2"
"2006-07-03T00:00:00","3","4808","1"
"2006-07-03T00:00:00","3","7132","1"
"2006-07-03T00:00:00","3","9271","1"
"2006-07-03T00:00:00","3","9394","1"
"2006-07-03T00:00:00","3","17429","1"
"2006-07-03T00:00:00","3","18229","1"
"2006-07-03T00:00:00","3","19318","1"
"2006-07-03T00:00:00","4","3269","6"
"2006-07-03T00:00:00","4","4513","101"
"2006-07-03T00:00:00","4","4766","1"
"2006-07-03T00:00:00","4","7132","15"
"2006-07-03T00:00:00","4","9394","1"
"2006-07-03T00:00:00","4","9803","2"
"2006-07-03T00:00:00","4","14777","2"
"2006-07-03T00:00:00","4","18229","1"
"2006-07-03T00:00:00","4","22855","34"
"2006-07-03T00:00:00","4","31976","82"
"2006-07-03T00:00:00","5","680","2"
"2006-07-03T00:00:00","5","2152","2"
"2006-07-03T00:00:00","5","3269","6"
"2006-07-03T00:00:00","5","3561","4"
"2006-07-03T00:00:00","5","4134","3"
"2006-07-03T00:00:00","5","4230","2"
"2006-07-03T00:00:00","5","4513","2"
"2006-07-03T00:00:00","5","4766","1"
"2006-07-03T00:00:00","5","4808","3"
"2006-07-03T00:00:00","5","6432","4"
"2006-07-03T00:00:00","5","7132","2"
"2006-07-03T00:00:00","5","8070","6"
"2006-07-03T00:00:00","5","8075","6"
"2006-07-03T00:00:00","5","9156","1"
"2006-07-03T00:00:00","5","9271","2"
"2006-07-03T00:00:00","5","9316","1"
"2006-07-03T00:00:00","5","9394","1"
"2006-07-03T00:00:00","5","12222","3"
"2006-07-03T00:00:00","5","13867","2"
"2006-07-03T00:00:00","5","14779","1"
"2006-07-03T00:00:00","5","15169","3"
"2006-07-03T00:00:00","5","18229","2"
"2006-07-03T00:00:00","5","19318","6"
"2006-07-03T00:00:00","5","21844","1"
"2006-07-03T00:00:00","5","22781","1"
"2006-07-03T00:00:00","5","26085","1"
"2006-07-03T00:00:00","5","26101","2"
"2006-07-03T00:00:00","5","26201","1"
"2006-07-03T00:00:00","6","680","2"
"2006-07-03T00:00:00","6","3269","6"
"2006-07-03T00:00:00","6","4134","9"
"2006-07-03T00:00:00","6","4230","1"
"2006-07-03T00:00:00","6","4513","2"
"2006-07-03T00:00:00","6","4766","1"
"2006-07-03T00:00:00","6","4808","1"
"2006-07-03T00:00:00","6","4837","1"
"2006-07-03T00:00:00","6","7132","2"
"2006-07-03T00:00:00","6","9271","2"
"2006-07-03T00:00:00","6","9394","1"
"2006-07-03T00:00:00","6","9808","1"
"2006-07-03T00:00:00","6","18229","2"
"2006-07-03T00:00:00","6","19318","2"
"2006-07-03T00:00:00","6","23844","1"
"2006-07-03T00:00:00","6","33314","1"
"2006-07-03T00:00:00","7","3","2"
"2006-07-03T00:00:00","7","109","7"
"2006-07-03T00:00:00","7","1103","3"
"2006-07-03T00:00:00","7","1239","7"
"2006-07-03T00:00:00","7","1784","2"
"2006-07-03T00:00:00","7","2152","33"
"2006-07-03T00:00:00","7","2637","1"
"2006-07-03T00:00:00","7","2914","36"
"2006-07-03T00:00:00","7","3320","2"
"2006-07-03T00:00:00","7","3356","1"
"2006-07-03T00:00:00","7","3561","5"
"2006-07-03T00:00:00","7","3701","3"
"2006-07-03T00:00:00","7","4264","2"
"2006-07-03T00:00:00","7","6102","2"
"2006-07-03T00:00:00","7","6432","8"
"2006-07-03T00:00:00","7","6461","1"
"2006-07-03T00:00:00","7","7018","1"
"2006-07-03T00:00:00","7","7132","2"
"2006-07-03T00:00:00","7","8070","1"
"2006-07-03T00:00:00","7","8075","2"
"2006-07-03T00:00:00","7","8121","3"
"2006-07-03T00:00:00","7","8560","1"
"2006-07-03T00:00:00","7","9156","11"
"2006-07-03T00:00:00","7","10565","11"
"2006-07-03T00:00:00","7","10910","9"
"2006-07-03T00:00:00","7","12182","3"
"2006-07-03T00:00:00","7","12222","4"
"2006-07-03T00:00:00","7","13649","1"
"2006-07-03T00:00:00","7","13749","1"
"2006-07-03T00:00:00","7","14745","1"
"2006-07-03T00:00:00","7","14992","4"
"2006-07-03T00:00:00","7","15169","130"
"2006-07-03T00:00:00","7","16966","16"
"2006-07-03T00:00:00","7","18924","56"
"2006-07-03T00:00:00","7","19024","2"
"2006-07-03T00:00:00","7","19355","2"
"2006-07-03T00:00:00","7","21844","46"
"2006-07-03T00:00:00","7","23352","4"
"2006-07-03T00:00:00","7","25751","7"
"2006-07-03T00:00:00","7","30081","29"
"2006-07-03T00:00:00","7","30380","10"
"2006-07-03T00:00:00","7","33694","2"
"2006-07-03T00:00:00","8","25","3"
"2006-07-03T00:00:00","8","109","7"
"2006-07-03T00:00:00","8","786","1"
"2006-07-03T00:00:00","8","2386","36"
"2006-07-03T00:00:00","8","2553","41"
"2006-07-03T00:00:00","8","2843","4"
"2006-07-03T00:00:00","8","3561","10"
"2006-07-03T00:00:00","8","3701","4"
"2006-07-03T00:00:00","8","3999","1"
"2006-07-03T00:00:00","8","4267","2"
"2006-07-03T00:00:00","8","4323","17"
"2006-07-03T00:00:00","8","6307","10"
"2006-07-03T00:00:00","8","6334","20"
"2006-07-03T00:00:00","8","7132","22"
"2006-07-03T00:00:00","8","7258","3"
"2006-07-03T00:00:00","8","8070","2"
"2006-07-03T00:00:00","8","10763","2"
"2006-07-03T00:00:00","8","11734","1"
"2006-07-03T00:00:00","8","11771","10"
"2006-07-03T00:00:00","8","12222","4"
"2006-07-03T00:00:00","8","13749","279"
"2006-07-03T00:00:00","8","15169","253"
"2006-07-03T00:00:00","8","17820","2"
"2006-07-03T00:00:00","8","18229","169"
"2006-07-03T00:00:00","8","22822","14"
"2006-07-03T00:00:00","8","23123","3"
"2006-07-03T00:00:00","8","30217","26"
"2006-07-03T00:00:00","8","30315","2"
"2006-07-03T00:00:00","8","30387","3"
"2006-07-03T00:00:00","9","102","8"
"2006-07-03T00:00:00","9","209","7"
"2006-07-03T00:00:00","9","797","143"
"2006-07-03T00:00:00","9","1239","3"
"2006-07-03T00:00:00","9","2013","19"
"2006-07-03T00:00:00","9","2152","14"
"2006-07-03T00:00:00","9","3356","2"
"2006-07-03T00:00:00","9","3561","7"
"2006-07-03T00:00:00","9","3707","81"
"2006-07-03T00:00:00","9","4355","4"
"2006-07-03T00:00:00","9","6307","11"
"2006-07-03T00:00:00","9","6334","3"
"2006-07-03T00:00:00","9","6432","3"
"2006-07-03T00:00:00","9","6453","10"
"2006-07-03T00:00:00","9","6939","3"
"2006-07-03T00:00:00","9","7018","6"
"2006-07-03T00:00:00","9","7224","4"
"2006-07-03T00:00:00","9","7743","23"
"2006-07-03T00:00:00","9","7912","3"
"2006-07-03T00:00:00","9","8002","1"
"2006-07-03T00:00:00","9","8070","3"
"2006-07-03T00:00:00","9","10565","1"
"2006-07-03T00:00:00","9","10763","6"
"2006-07-03T00:00:00","9","10794","8"
"2006-07-03T00:00:00","9","11266","44"
