"tweet_id","airline_sentiment","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","airline_sentiment_gold","name","negativereason_gold","retweet_count","text","tweet_coord","tweet_created","tweet_location","user_timezone"
"570051381534396416","positive","1.0","","","Virgin America","","Nicsplace","","0","@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday","","2015-02-23T18:43:35-08:00","Central Texas",""
"570045393565691904","positive","1.0","","","Virgin America","","Nicsplace","","0","@VirginAmerica @freddieawards Done and done! Best airline around, hands down!","","2015-02-23T18:19:47-08:00","Central Texas",""
"570038941497192448","neutral","0.6791","","0.0","Virgin America","","elisha_malulani","","0","@VirginAmerica when can I book my flight to Hawaii??","","2015-02-23T17:54:09-08:00","i'm creating a monster","Pacific Time"
"570035876845084672","negative","1.0","Customer Service Issue","1.0","Virgin America","","DannyDouglass","","0","@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk","","2015-02-23T17:41:58-08:00","San Francisco, CA","Pacific Time"
"570033593394667521","positive","0.6639","","","Virgin America","","jamesferrandini","","0","@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr","","2015-02-23T17:32:54-08:00","",""
"570025482344898560","negative","0.6688","Flight Booking Problems","0.6688","Virgin America","","will_lenzenjr","","0","@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?","","2015-02-23T17:00:40-08:00","Iowa City","Central Time"
"570016304284901379","neutral","1.0","","","Virgin America","","GottAmanda","","0","@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️","[34.0219817, -118.38591198]","2015-02-23T16:24:11-08:00","Los Angeles",""
"570015408788414464","neutral","0.6578","","0.0","Virgin America","","KGervaise","","0","@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp","","2015-02-23T16:20:38-08:00","Georgia","Pacific Time"
"570013523650048002","neutral","1.0","","","Virgin America","","papamurat","","0","@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?","","2015-02-23T16:13:09-08:00","",""
"570012257549070337","positive","1.0","","","Virgin America","","arieldaie","","0","@VirginAmerica I'm #elevategold for a good reason: you rock!!","","2015-02-23T16:08:07-08:00","Los Angeles",""
"570011341483843584","neutral","0.6799","","","Virgin America","","vacations7","","0","@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx","","2015-02-23T16:04:28-08:00","Turks and caicos",""
"570010571707256832","positive","1.0","","","Virgin America","","ChelseaPoe666","","0","@VirginAmerica wow this just blew my mind","","2015-02-23T16:01:25-08:00","Oakland via Midwest","Atlantic Time"
"570010539499393025","neutral","1.0","","","Virgin America","","BobGlavinVO","","0","@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree","","2015-02-23T16:01:17-08:00","New York, NY","Eastern Time"
"570009713447825408","neutral","0.6436","","","Virgin America","","lisaaiko","","0","@VirginAmerica @ladygaga @carrieunderwood All were entertaining","","2015-02-23T15:58:00-08:00","",""
"570009035455344640","neutral","0.6764","","0.0","Virgin America","","grantbrowne","","0","@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.","","2015-02-23T15:55:18-08:00","Worldwide","Central Time"
"570006886012973056","positive","0.657","","","Virgin America","","joyabsalon","","0","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood","","2015-02-23T15:46:46-08:00","Northern Virginia","Eastern Time"
"570004391731847169","neutral","1.0","","","Virgin America","","2v","","0","@VirginAmerica wish you flew out of Atlanta... Soon?","","2015-02-23T15:36:51-08:00","Los Angeles / Atlanta","Eastern Time"
"570001194900426752","neutral","0.7118","","0.0","Virgin America","","KSmithFoundHere","","0","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.","","2015-02-23T15:24:09-08:00","","Atlantic Time"
"570000071644872704","neutral","1.0","","","Virgin America","","papamurat","","0","@VirginAmerica Will flights be leaving Dallas for LA on February 24th?","","2015-02-23T15:19:41-08:00","",""
"569996412286582784","negative","0.6939","Flight Booking Problems","0.6939","Virgin America","","murphicus","","0","@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!","","2015-02-23T15:05:09-08:00","new york, new york","Eastern Time"
"569996245462159361","positive","1.0","","","Virgin America","","VinnieFerra","","0","@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures","","2015-02-23T15:04:29-08:00","brooklyn, Ny","Pacific Time"
"569990222609412097","positive","0.635","","","Virgin America","","KevinDemsi","","0","@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊","","2015-02-23T14:40:33-08:00","Bali, Republic of Indonesia","Kuala Lumpur"
"569990163209850881","neutral","0.7007","","","Virgin America","","giffgaffman","","0","@VirginAmerica @ladygaga @carrieunderwood - Carrie!","","2015-02-23T14:40:19-08:00","UK, USA.",""
"569989504431316993","neutral","1.0","","","Virgin America","","HanlonBrothers","","0","@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?","","2015-02-23T14:37:42-08:00","Gold Coast, Australia","Brisbane"
"569989321698074624","neutral","1.0","","","Virgin America","","emilybg78","","0","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.","","2015-02-23T14:36:58-08:00","Stockton, CA","Arizona"
"569989034501500928","negative","1.0","Customer Service Issue","1.0","Virgin America","","rachie1126","","0","@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!","","2015-02-23T14:35:50-08:00","New York, NY","Eastern Time"
"569987622484848640","neutral","0.6858","","","Virgin America","","adawson66","","0","@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌","[33.57963333, -117.73024772]","2015-02-23T14:30:13-08:00","",""
"569986782567071744","neutral","1.0","","","Virgin America","","SocialPLC","","0","@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!","","2015-02-23T14:26:53-08:00","Twin Cities, Minn.","Eastern Time"
"569986348041547778","positive","1.0","","","Virgin America","","jeffreymace01","","0","@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!","","2015-02-23T14:25:09-08:00","",""
"569982307634794497","neutral","0.6814","","0.0","Virgin America","","1stcrown","","0","@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.","","2015-02-23T14:09:06-08:00","USA","Central Time"
"569976620158578688","negative","1.0","Customer Service Issue","1.0","Virgin America","","onerockgypsy","","0","@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/","","2015-02-23T13:46:30-08:00","next city","Pacific Time"
"569973821396152323","negative","1.0","Late Flight","0.6789","Virgin America","","noelduan","","0","@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?","","2015-02-23T13:35:23-08:00","SF ↔ NY","Eastern Time"
"569972508499283968","positive","0.6922","","","Virgin America","","Travelzoo","","0","@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline  http://t.co/kj1iljaebV","","2015-02-23T13:30:10-08:00","New York, NY","Pacific Time"
"569967019958730753","negative","1.0","Lost Luggage","1.0","Virgin America","","gianagon","","0","@VirginAmerica everything was fine until you lost my bag","[40.6413712, -73.78311558]","2015-02-23T13:08:21-08:00","New York + Panama","Eastern Time"
"569961866224652288","neutral","1.0","","","Virgin America","","bxchen","","0","@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?","","2015-02-23T12:47:52-08:00","San Francisco, CA","Eastern Time"
"569949891163615232","neutral","0.6492","","0.0","Virgin America","","seimatrun","","0","@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.","","2015-02-23T12:00:17-08:00","Los Angeles",""
"569948966873370625","neutral","1.0","","","Virgin America","","jamied7","","0","@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?","","2015-02-23T11:56:37-08:00","London, England","London"
"569946362126602240","negative","1.0","Flight Attendant Complaints","0.3516","Virgin America","","seimatrun","","0","@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt","","2015-02-23T11:46:16-08:00","Los Angeles",""
"569942903683813376","positive","1.0","","","Virgin America","","mrmichaellay","","0","@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]","2015-02-23T11:32:31-08:00","Floridian from Cincinnati","Eastern Time"
"569941957490774016","positive","1.0","","","Virgin America","","TaylorLumsden","","0","@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?","","2015-02-23T11:28:46-08:00","Dallas, Texas","Mountain Time"
"569940834994401280","neutral","1.0","","","Virgin America","","campusmoviefest","","0","@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF","","2015-02-23T11:24:18-08:00","USA","Eastern Time"
"569940323746516993","neutral","1.0","","","Virgin America","","TaylorLumsden","","0","@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks","","2015-02-23T11:22:16-08:00","Dallas, Texas","Mountain Time"
"569935232033366017","negative","1.0","Customer Service Issue","1.0","Virgin America","","meme_meng","","0","@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.","","2015-02-23T11:02:02-08:00","",""
"569934395865493504","neutral","1.0","","","Virgin America","","kyle_romanoff","","0","@VirginAmerica what happened to Doom?!","","2015-02-23T10:58:43-08:00","",""
"569933816963342337","negative","1.0","Customer Service Issue","1.0","Virgin America","","GunsNDip","","0","@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness","","2015-02-23T10:56:25-08:00","","Pacific Time"
"569933777931145216","positive","1.0","","","Virgin America","","artisticwritr87","","0","@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G","","2015-02-23T10:56:16-08:00","Seattle, WA","Pacific Time"
"569933405506310144","negative","0.6792","Late Flight","0.3477","Virgin America","","arieldaie","","0","@VirginAmerica you're the best!! Whenever I  use any other airline I'm delayed and Late Flight :(","","2015-02-23T10:54:47-08:00","Los Angeles",""
"569933360564342784","negative","1.0","Can't Tell","1.0","Virgin America","","GunsNDip","","0","@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness","","2015-02-23T10:54:36-08:00","","Pacific Time"
"569929243146088448","negative","1.0","Can't Tell","1.0","Virgin America","","GunsNDip","","0","@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin","","2015-02-23T10:38:14-08:00","","Pacific Time"
"569926998824394752","negative","1.0","Flight Booking Problems","1.0","Virgin America","","jsatk","","0","@VirginAmerica I'm having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R","[0.0, 0.0]","2015-02-23T10:29:19-08:00","Lower Pacific Heights, SF, CA","Pacific Time"
"569923394990419968","neutral","0.6705","","0.0","Virgin America","","serenaklal","","0","@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code","","2015-02-23T10:15:00-08:00","Chicago","Eastern Time"
"569922008588222465","neutral","1.0","","","Virgin America","","openambit1","","0","@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4","","2015-02-23T10:09:30-08:00","",""
"569920824905306113","neutral","0.6545","","0.0","Virgin America","","cabowine","","0","@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?","","2015-02-23T10:04:47-08:00","Los Cabos,Mexico","Arizona"
"569919041244147712","negative","1.0","Can't Tell","0.6513","Virgin America","","MaryAnnTaylorT","","0","@VirginAmerica Why is the site down?  When will it be back up?","","2015-02-23T09:57:42-08:00","New York, NY","Arizona"
"569915941192015872","neutral","1.0","","","Virgin America","","RamotControl","","0","@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""","","2015-02-23T09:45:23-08:00","","Pacific Time"
"569913339427434496","neutral","0.6639","","0.0","Virgin America","","losermelon","","0","@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?","","2015-02-23T09:35:03-08:00","",""
"569911816937033728","negative","1.0","Cancelled Flight","1.0","Virgin America","","AlisonK33774854","","0","@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .","","2015-02-23T09:29:00-08:00","",""
"569911674158731264","negative","1.0","Late Flight","1.0","Virgin America","","GunsNDip","","0","@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin","","2015-02-23T09:28:26-08:00","","Pacific Time"
"569911218942517248","neutral","0.6765","","0.0","Virgin America","","yazdanagh","","0","@VirginAmerica why is flight 345 redirected?","","2015-02-23T09:26:37-08:00","",""
"569910981868060673","negative","1.0","Customer Service Issue","0.6863","Virgin America","","MerchEngines","","0","@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.","","2015-02-23T09:25:41-08:00","Los Angeles, CA","Arizona"
"569909224521641984","negative","1.0","Customer Service Issue","0.6771","Virgin America","","ColorCartel","","0","@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y","","2015-02-23T09:18:42-08:00","Austin, TX","Mountain Time"
"569907336485019648","negative","1.0","Can't Tell","0.659","Virgin America","","MustBeSpoken","","0","@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable","","2015-02-23T09:11:12-08:00","",""
"569896805611089920","negative","1.0","Flight Booking Problems","0.6714","Virgin America","","mattbunk","","0","@virginamerica What is your phone number. I can't find who to call about a flight reservation.","","2015-02-23T08:29:21-08:00","Sterling Heights, MI","Eastern Time"
"569894449620369408","negative","1.0","Customer Service Issue","1.0","Virgin America","","louisjenny","","0","@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.","","2015-02-23T08:19:59-08:00","Washington DC","Quito"
"569894407001939968","neutral","1.0","","","Virgin America","","STravelsW","","0","@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM","","2015-02-23T08:19:49-08:00","Manhattan Beach, CA",""
"569892199690678272","negative","1.0","Late Flight","0.6882","Virgin America","","GunsNDip","","0","@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax","","2015-02-23T08:11:03-08:00","","Pacific Time"
"569891469210755074","neutral","1.0","","","Virgin America","","joeyrenagade","","0","@VirginAmerica check out new music http://t.co/maRcnOCWzn","","2015-02-23T08:08:08-08:00","Greater Los Angeles",""
"569891436100874241","negative","0.6925","Late Flight","0.3521","Virgin America","","mrmichaellay","","0","@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky","[0.0, 0.0]","2015-02-23T08:08:01-08:00","Floridian from Cincinnati","Eastern Time"
"569887310713479168","negative","1.0","Late Flight","0.3486","Virgin America","","GunsNDip","","0","@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.","","2015-02-23T07:51:37-08:00","","Pacific Time"
"569887049446076416","positive","1.0","","","Virgin America","","TheDuchessSF","","0","@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying","","2015-02-23T07:50:35-08:00","Online","Pacific Time"
"569884551712886785","negative","1.0","Customer Service Issue","1.0","Virgin America","","BeLeather","","0","@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm","[0.0, 0.0]","2015-02-23T07:40:39-08:00","","Pacific Time"
"569884407852437504","negative","1.0","Flight Booking Problems","0.6366","Virgin America","","BeLeather","","0","@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.","[0.0, 0.0]","2015-02-23T07:40:05-08:00","","Pacific Time"
"569881548515708928","neutral","0.6593","","0.0","Virgin America","","drcaseydrake","","0","@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?","[37.79374402, -122.39327564]","2015-02-23T07:28:43-08:00","Dallas, TX",""
"569873669700358144","positive","0.6823","","0.0","Virgin America","","flyfromWAS","","0","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare","","2015-02-23T06:57:25-08:00","Washington, DC","Eastern Time"
"569873668131717120","neutral","1.0","","","Virgin America","","flyfromSEA","","0","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare","","2015-02-23T06:57:24-08:00","Seattle","Central Time"
"569873665640292353","positive","0.6806","","","Virgin America","","flyfromNYC","","0","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare","","2015-02-23T06:57:24-08:00","New York City, NY","Central Time"
"569873664612704256","neutral","0.6529","","","Virgin America","","flyfromLAX","","0","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare","","2015-02-23T06:57:24-08:00","Los Angeles, CA","Central Time"
"569872058613673984","positive","0.6779999999999999","","","Virgin America","","Silvanabfer","","0","@VirginAmerica Have a great week 🌞✈","","2015-02-23T06:51:01-08:00","",""
"569861209781989377","positive","0.3482","","0.0","Virgin America","","AdamJdubs","","0","@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH","","2015-02-23T06:07:54-08:00","Earth","Eastern Time"
"569847920192655361","negative","1.0","Late Flight","1.0","Virgin America","","nicholas_v","","0","@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?","[26.074379, -80.1416831]","2015-02-23T05:15:06-08:00","","Eastern Time"
"569814339785338880","positive","1.0","","","Virgin America","","tstashajones","","0","@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience","","2015-02-23T03:01:39-08:00","Halifax, Nova Scotia, Canada","Eastern Time"
"569777607371128834","positive","1.0","","","Virgin America","","SkateMamas","","0","@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!","","2015-02-23T00:35:42-08:00","Los Angeles, CA",""
"569774078233419776","positive","1.0","","","Virgin America","","dngoo","","0","@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.","","2015-02-23T00:21:40-08:00","Near a park, water, or lights","Pacific Time"
"569770363623575552","positive","1.0","","","Virgin America","","SamBrittenham","","0","@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining","","2015-02-23T00:06:55-08:00","USA","Eastern Time"
"569748316776325120","negative","0.6832","Customer Service Issue","0.3773","Virgin America","","usagibrian","","0","@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?","","2015-02-22T22:39:18-08:00","San Francisco CA","Pacific Time"
