"","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","target","song_title","artist"
"76","0.34","0.468","386760","0.58","0.821","7","0.0737","-8.131","1","0.0278","76.27","4.0","0.324","1","Uncast Shadow Of A Southern Myth","Parquet Courts"
"77","0.47","0.537","232453","0.447","1.86e-05","9","0.0519","-8.261","1","0.0289","84.362","3.0","0.549","1","I Shall Be Released - Remastered","Nina Simone"
"78","0.855","0.515","378253","0.217","0.463","3","0.598","-13.382","0","0.0351","80.015","4.0","0.194","1","Words I Don't Remember","How To Dress Well"
"79","0.00502","0.429","196933","0.725","1.54e-05","2","0.266","-6.156","1","0.0371","82.925","4.0","0.174","1","To The Top","Twin Shadow"
"80","0.555","0.791","187210","0.58","0.00155","8","0.116","-8.377","1","0.0588","81.678","4.0","0.733","1","Them Changes","Thundercat"
"81","0.186","0.711","221350","0.705","0.0","10","0.148","-6.248","0","0.252","144.053","4.0","0.403","1","Aquafina","Falcons"
"82","0.0249","0.683","201049","0.824","0.627","1","0.0533","-8.569","0","0.222","154.008","4.0","0.921","1","Hot Blur","How Sad"
"83","0.0108","0.309","257867","0.325","0.854","6","0.0742","-16.4","0","0.0366","175.88","4.0","0.46","1","Summer Madness","Kool & The Gang"
"84","0.193","0.867","460400","0.733","0.000219","10","0.749","-7.54","0","0.237","97.835","4.0","0.761","1","The Payback","James Brown"
"85","0.0192","0.619","275533","0.734","0.263","5","0.0771","-9.366","0","0.0343","106.034","4.0","0.853","1","I'm In Love","Fool's Gold"
"86","0.00776","0.898","429897","0.5","0.292","1","0.0771","-11.089","1","0.0571","122.281","4.0","0.868","1","I Need You Tonight","Punkin Machine"
"87","0.17","0.589","206240","0.745","0.000406","7","0.376","-8.109","1","0.076","99.407","4.0","0.76","1","Everybody Likes Something Good","Ify Jerry Crusade"
"88","0.0221","0.606","234987","0.668","1.65e-05","5","0.0527","-9.168","0","0.0729","158.859","4.0","0.958","1","Dadje Von O Von Non","Gnonnas Pedro"
"89","0.0397","0.786","302840","0.547","0.272","1","0.0378","-11.416","1","0.262","92.603","4.0","0.68","1","Sugah Daddy","D'Angelo"
"90","0.0213","0.734","321933","0.548","0.0","11","0.512","-9.682","1","0.386","128.289","4.0","0.72","1","International Players Anthem","Swishahouse"
"91","0.0454","0.812","268421","0.676","0.0","1","0.0929","-4.502","1","0.0491","114.047","4.0","0.399","1","Swerve","ILoveMakonnen"
"92","0.00672","0.876","213246","0.606","1.06e-05","0","0.14","-5.471","1","0.0645","127.975","4.0","0.249","1","Look At Wrist","Father"
"93","0.00488","0.601","467587","0.873","0.0365","1","0.113","-5.866","0","0.0448","124.997","4.0","0.566","1","Let It Happen","Tame Impala"
"94","0.00419","0.748","213053","0.741","0.0","6","0.147","-3.103","1","0.0531","128.077","4.0","0.533","1","My Way","Fetty Wap"
"95","0.17","0.615","214150","0.814","0.0","9","0.218","-3.903","0","0.0677","144.005","4.0","0.601","1","Walk","Kwabs"
"96","0.0604","0.799","333520","0.789","0.0","0","0.0338","-8.208","1","0.0396","116.081","4.0","0.833","1","The Magnificent Seven - Remastered","The Clash"
"97","0.0571","0.398","247390","0.776","0.0172","9","0.303","-7.388","0","0.0374","110.815","4.0","0.689","1","NOBO","Tijuana Panthers"
"98","0.716","0.685","427227","0.423","0.518","11","0.0765","-9.031","0","0.0475","138.034","4.0","0.649","1","The Gaudy Side of Town","Gayngs"
"99","0.0151","0.706","299799","0.581","0.0","9","0.368","-6.492","1","0.055","134.009","4.0","0.463","1","U Mad","Vic Mensa"
"100","0.228","0.63","315595","0.98","0.00661","1","0.487","-4.914","1","0.059","108.009","4.0","0.805","1","Slumlord","Neon Indian"
"101","0.017","0.57","237480","0.736","5.74e-05","9","0.178","-5.822","1","0.0844","99.86","4.0","0.267","1","Leave A Trace","CHVRCHES"
"102","0.247","0.525","292760","0.643","0.0","5","0.106","-6.874","0","0.816","199.727","4.0","0.943","1","Willing & Able","Disclosure"
"103","0.123","0.698","236760","0.793","0.0","1","0.0805","-5.332","0","0.105","129.948","4.0","0.46","1","White Girl","Shy Glizzy"
"104","0.00705","0.763","213375","0.773","0.032","0","0.772","-4.722","1","0.0533","130.025","4.0","0.347","1","Maneuvering","ILoveMakonnen"
"105","0.181","0.511","160907","0.769","0.0","4","0.0921","-7.032","1","0.042","129.657","4.0","0.814","1","Be My Baby","The Ronettes"
"106","0.378","0.506","159253","0.813","0.0293","4","0.276","-5.78","1","0.0392","108.212","4.0","0.855","1","Why Don't They Let Us Fall in Love","The Ronettes"
"107","0.677","0.513","162040","0.494","6.43e-05","0","0.143","-5.072","1","0.0315","135.894","4.0","0.521","1","Will You Love Me Tomorrow","The Shirelles"
"108","0.488","0.251","126827","0.868","7.34e-06","1","0.818","-2.685","1","0.128","177.125","4.0","0.587","1","One Fine Day","The Chiffons"
"109","0.487","0.559","111270","0.633","0.0","7","0.164","-3.265","1","0.0329","72.496","4.0","0.842","1","He's So Fine - 2000 Digital Remaster","The Chiffons"
"110","0.7","0.431","158685","0.678","6.37e-06","4","0.199","-7.945","1","0.0365","135.919","4.0","0.632","1","Then He Kissed Me","The Crystals"
"111","0.403","0.683","142333","0.71","0.0","9","0.086","-7.445","1","0.114","128.181","4.0","0.93","1","It's My Party","Lesley Gore"
"112","0.656","0.78","149440","0.599","0.0","2","0.129","-10.251","1","0.0329","121.198","4.0","0.967","1","Please Mr. Postman","The Marvelettes"
"113","0.00904","0.614","196352","0.907","0.000131","4","0.36","-2.536","0","0.143","122.906","4.0","0.354","1","Fiesta - Remix","Bomba Estereo"
"114","0.141","0.661","196615","0.531","0.0","7","0.136","-10.113","0","0.548","93.287","5.0","0.657","1","Queen's Speech 4","Lady Leshurr"
"115","0.119","0.564","213622","0.594","0.0","11","0.536","-9.912","0","0.155","89.394","4.0","0.489","1","I Know There's Gonna Be","Jamie xx"
"116","0.0659","0.751","202533","0.597","0.0","9","0.0881","-6.59","0","0.125","123.997","4.0","0.168","1","With That","Young Thug"
"117","0.00257","0.896","267024","0.623","0.000258","2","0.039","-8.008","1","0.0571","134.962","4.0","0.564","1","Hotline Bling","Drake"
"118","0.00256","0.618","196693","0.717","0.0","7","0.625","-5.738","1","0.318","190.05","4.0","0.601","1","679","Fetty Wap"
"119","0.0244","0.746","222093","0.873","0.0","7","0.354","-3.803","1","0.128","148.075","4.0","0.808","1","Trap Queen","Fetty Wap"
"120","0.013","0.888","200080","0.483","4.85e-06","6","0.0926","-7.797","1","0.154","125.008","4.0","0.221","1","No Type","Rae Sremmurd"
"121","0.0127","0.443","318750","0.645","0.952","6","0.122","-6.24","1","0.0515","128.044","4.0","0.138","1","Chasing Heaven","Bassnectar"
"122","0.00943","0.507","282273","0.934","0.0018","8","0.222","-2.325","0","0.188","175.954","4.0","0.472","1","Speakerbox","Bassnectar"
"123","0.000758","0.695","253773","0.912","0.000103","10","0.302","-3.331","0","0.193","160.043","4.0","0.612","1","Movin' Bass - GTA Remix","Rick Ross"
"124","0.674","0.462","226333","0.449","0.000632","0","0.0993","-9.271","0","0.0916","209.686","4.0","0.748","1","Danger and Dread","Brown Bird"
"125","0.0161","0.526","241440","0.712","0.0","11","0.179","-6.525","0","0.0356","105.009","4.0","0.299","1","Midnight City","M83"
"126","0.107","0.645","591707","0.924","0.0266","10","0.0982","-7.697","0","0.0569","90.852","4.0","0.886","1","Water No Get Enemy - Edit","Fela Kuti"
"127","0.0134","0.405","592920","0.647","7.62e-05","5","0.819","-6.109","0","0.0482","131.952","4.0","0.204","1","Pyramids","Frank Ocean"
"128","0.0219","0.735","269817","0.641","0.89","7","0.168","-6.177","0","0.0284","105.993","4.0","0.886","1","Hercules Theme","Hercules & Love Affair"
"129","0.0452","0.746","238146","0.416","7.77e-05","11","0.12","-6.607","1","0.0482","132.036","4.0","0.216","1","Rewind","Kelela"
"130","0.0551","0.547","251093","0.643","0.0","1","0.267","-8.904","1","0.227","143.064","4.0","0.187","1","My Sub  - Album Version","Big K.R.I.T."
"131","0.0224","0.634","221960","0.609","0.0","6","0.099","-8.982","1","0.172","83.021","4.0","0.659","1","Kush","Lil Wayne"
"132","0.244","0.607","253800","0.488","0.000177","8","0.113","-8.704","1","0.193","77.021","4.0","0.16","1","9","Willow"
"133","0.0668","0.704","199246","0.647","1.93e-06","10","0.101","-7.874","0","0.171","92.002","4.0","0.694","1","Magnets","Disclosure"
"134","7.19e-05","0.558","258187","0.642","0.00746","5","0.201","-5.206","0","0.0321","99.977","4.0","0.492","1","Don't Move","Phantogram"
"135","0.0227","0.698","248053","0.804","0.0599","4","0.566","-6.616","1","0.111","92.001","4.0","0.786","1","Pussy","Brazilian Girls"
"136","0.103","0.772","191160","0.582","6.61e-05","4","0.323","-5.96","0","0.309","172.03","4.0","0.564","1","Black Mags","The Cool Kids"
"137","0.0956","0.788","238467","0.864","0.0","11","0.335","-5.767","1","0.0335","133.295","4.0","0.678","1","Stay Fly - Explicit Album Version","Three 6 Mafia"
"138","0.00919","0.944","261973","0.839","0.0","11","0.0921","-4.141","1","0.108","136.019","4.0","0.891","1","Sippin On Some Syrup","Three 6 Mafia"
"139","0.354","0.729","176880","0.795","0.0","7","0.536","-4.579","1","0.144","146.747","4.0","0.853","1","Poppin' My Collar - feat. Project Pat - Explicit","Three 6 Mafia"
"140","0.00469","0.721","228933","0.621","0.0103","1","0.199","-4.378","1","0.306","159.967","4.0","0.578","1","Sittin' Sidewayz - feat. Big Pokey Explicit","Paul Wall"
"141","0.00102","0.798","227587","0.751","3.22e-06","1","0.0271","-6.335","1","0.263","162.003","4.0","0.482","1","Gold and a Pager","The Cool Kids"
"142","0.0512","0.851","224653","0.387","0.0","0","0.0996","-13.584","1","0.334","116.629","4.0","0.365","1","Smell Yo D*ck","Riskay"
"143","0.0252","0.34","147467","0.805","0.0","7","0.138","-3.397","1","0.0387","167.922","4.0","0.654","1","Don't Wanna Lose","Ex Hex"
"144","0.221","0.767","194066","0.891","0.0723","4","0.0935","-6.426","1","0.0402","122.026","4.0","0.779","1","Endless Rhythm","Baio"
"145","0.937","0.772","220093","0.635","0.018","0","0.0961","-8.412","1","0.0536","168.039","4.0","0.592","1","Demon","Shamir"
"146","2.13e-05","0.259","350920","0.847","0.823","2","0.133","-6.298","1","0.0332","150.162","4.0","0.682","1","Nothing Ever Happened","Deerhunter"
"147","0.284","0.633","226747","0.77","0.0","10","0.308","-6.954","0","0.327","149.97","4.0","0.324","1","Oh My Darling Don't Meow","Run The Jewels"
"148","0.0962","0.654","252095","0.292","0.0031","2","0.106","-12.977","1","0.474","153.547","4.0","0.111","1","River","Ibeyi"
"149","0.334","0.726","221787","0.583","0.00135","0","0.122","-6.434","0","0.23","140.943","4.0","0.48","1","The Buzz","Hermitude"
"150","0.0648","0.855","310907","0.638","0.0","9","0.162","-4.968","0","0.143","122.967","4.0","0.433","1","All Day","Kanye West"
"151","0.185","0.704","282253","0.431","0.0972","8","0.249","-7.893","1","0.131","146.003","4.0","0.349","1","Blood On the Money","Future"
"152","0.689","0.658","238560","0.179","0.0","8","0.17","-10.866","1","0.0448","128.128","4.0","0.197","1","River","Leon Bridges"
"153","0.000472","0.502","244204","0.833","0.043","2","0.352","-4.982","1","0.0638","142.053","4.0","0.593","1","Trust Me Danny","ILoveMakonnen"
"154","0.00157","0.79","217707","0.676","0.0","8","0.25","-6.432","0","0.271","132.002","4.0","0.314","1","Big Rings","Drake"
"155","0.0233","0.738","242188","0.849","0.0317","2","0.309","-6.246","1","0.0822","95.987","4.0","0.863","1","Annie","Neon Indian"
"156","0.00212","0.777","500550","0.739","0.868","9","0.109","-9.089","1","0.039","119.992","4.0","0.201","1","Acamar","Frankey"
"157","0.0734","0.791","219333","0.779","0.0","7","0.0832","-5.972","1","0.235","110.037","4.0","0.581","1","Alright","Kendrick Lamar"
"158","0.19","0.735","275840","0.41","0.0","11","0.341","-8.735","0","0.2","114.812","4.0","0.16","1","Know Yourself","Drake"
"159","0.188","0.556","294360","0.582","0.911","6","0.229","-10.65","0","0.0357","131.023","4.0","0.516","1","Deicide","Crystal Castles"
"160","0.461","0.427","206387","0.465","5.52e-05","6","0.154","-6.595","1","0.0291","112.137","3.0","0.462","1","Coming Home","Leon Bridges"
"161","0.0111","0.563","176361","0.81","2.71e-05","8","0.142","-9.158","1","0.0372","99.996","4.0","0.767","1","Hercules Theme 2014","Hercules & Love Affair"
"162","0.0496","0.753","256320","0.708","0.0123","6","0.0872","-7.217","0","0.223","115.004","4.0","0.445","1","Forever","Majid Jordan"
"163","0.149","0.785","262979","0.764","0.813","4","0.201","-5.245","0","0.04","93.984","4.0","0.961","1","Next to You","Poolside"
"164","0.0682","0.557","293910","0.608","0.0263","5","0.196","-7.657","0","0.0862","109.67","4.0","0.211","1","Papi Pacify","FKA twigs"
"165","0.489","0.594","235693","0.42","0.00452","4","0.0833","-8.467","0","0.031","140.04","4.0","0.311","1","Magnolia","Young & Sick"
"166","0.000259","0.644","237120","0.758","0.0708","5","0.0726","-7.859","1","0.0458","108.99","4.0","0.752","1","Dark Matter","Feathers"
"167","0.217","0.704","185437","0.657","0.000118","10","0.0888","-7.172","0","0.35","150.058","4.0","0.804","1","Callie","Donnie Trumpet"
"168","0.0472","0.849","217693","0.408","0.0","6","0.101","-8.67","0","0.284","99.876","4.0","0.337","1","Wu-Tang Forever","Drake"
"169","0.228","0.628","260947","0.568","0.0183","10","0.0906","-10.695","1","0.14","191.404","4.0","0.618","1","Fame","David Bowie"
"170","0.00689","0.717","224933","0.862","0.0","8","0.321","-4.736","1","0.054","130.021","4.0","0.512","1","We Dem Boyz","Wiz Khalifa"
"171","0.0109","0.584","243480","0.68","1.03e-06","9","0.129","-4.685","0","0.0524","104.89","4.0","0.326","1","Ego Free Sex Free","Autre Ne Veut"
"172","0.0246","0.586","374133","0.806","0.000167","1","0.353","-9.542","1","0.0548","110.325","4.0","0.207","1","Her Fantasy","Matthew Dear"
"173","0.00399","0.648","560600","0.85","0.294","1","0.35","-6.277","1","0.0439","112.014","4.0","0.559","1","Little People","Matthew Dear"
"174","0.037","0.807","250130","0.785","0.000763","8","0.18","-7.928","1","0.148","124.051","4.0","0.421","1","Confess To Me","Disclosure"
"175","0.0789","0.577","355881","0.941","0.207","10","0.342","-4.338","1","0.0422","99.995","4.0","0.381","1","Let Me Show You Love","Cut Copy"
"176","0.141","0.5","256093","0.593","6.21e-06","1","0.0969","-4.34","1","0.0898","68.456","4.0","0.325","1","New Slaves","Kanye West"
"177","0.108","0.804","336160","0.708","0.0636","10","0.0528","-5.099","0","0.0394","141.996","4.0","0.966","1","Sexy Socialite","Chromeo"
"178","0.0108","0.787","273853","0.658","0.0152","8","0.13","-5.379","0","0.0324","110.983","4.0","0.867","1","Okay","Holy Ghost!"
"179","0.0107","0.246","230230","0.784","5.71e-06","5","0.0825","-5.004","1","0.0529","153.027","4.0","0.189","1","Weight","Mikal Cronin"
"180","0.0107","0.882","284027","0.743","0.00152","7","0.327","-6.972","1","0.141","123.97","4.0","0.678","1","When A Fire Starts To Burn","Disclosure"
"181","0.0315","0.628","308527","0.824","0.543","0","0.0999","-7.983","1","0.112","122.01","4.0","0.86","1","When A Fire Starts To Burn - Midland Remix","Disclosure"
"182","0.00807","0.451","179947","0.79","0.0","11","0.0394","-4.261","0","0.0461","127.142","4.0","0.674","1","Fake Tales Of San Francisco","Arctic Monkeys"
"183","0.64","0.518","405027","0.385","0.000536","9","0.0931","-11.125","0","0.0286","100.878","4.0","0.264","1","Billie Holiday","Warpaint"
"184","0.0414","0.774","269867","0.901","4.84e-06","9","0.873","-5.398","0","0.216","128.024","4.0","0.768","1","Goody Two Shoes","Duck Sauce"
"185","0.0127","0.547","245293","0.635","5.01e-06","2","0.0585","-5.569","1","0.137","113.678","4.0","0.496","1","The Wire","HAIM"
"186","0.0585","0.552","283636","0.878","0.892","1","0.0746","-5.767","1","0.0353","176.057","4.0","0.603","1","Awake","Tycho"
"187","0.00856","0.542","216827","0.946","5.38e-06","10","0.386","-6.307","1","0.0505","108.496","4.0","0.389","1","Man I Need","Jagwar Ma"
"188","0.019","0.695","246521","0.94","0.8","7","0.623","-2.935","1","0.127","100.262","4.0","0.337","1","N.O. Bounce","Big Freedia"
"189","0.0488","0.633","224720","0.492","0.00047","2","0.0758","-7.672","1","0.0524","114.845","4.0","0.357","1","Now Is Not The Time","CHVRCHES"
"190","0.365","0.312","222719","0.445","0.0038","11","0.13","-7.202","0","0.0305","97.967","4.0","0.308","1","No Rest For The Wicked","Lykke Li"
"191","0.17","0.43","154414","0.436","0.0","8","0.128","-4.816","1","0.119","90.053","4.0","0.22","1","Holdin On","Flume"
"192","0.0346","0.19","230693","0.908","0.0369","0","0.241","-4.679","1","0.111","148.951","4.0","0.181","1","Rocking Chair","The Districts"
