"report_year","agency_code","agency_jurisdiction","population","violent_crimes","homicides","rapes","assaults","robberies","months_reported","crimes_percapita","homicides_percapita","rapes_percapita","assaults_percapita","robberies_percapita"
"1975-01-01T00:00:00","OR02602","Portland, OR","373126","4076","48","287","1898","1843","12","1092.39","12.86","76.92","508.68","493.94"
"1975-01-01T00:00:00","MD01721","Prince George's County, MD","569452","4147","46","261","1693","2147","12","728.24","8.08","45.83","297.3","377.03"
"1975-01-01T00:00:00","NC09201","Raleigh, NC","149940","721","17","20","463","221","12","480.86","11.34","13.34","308.79","147.39"
"1975-01-01T00:00:00","CA03404","Sacramento, CA","262994","2412","42","155","1087","1128","12","917.13","15.97","58.94","413.32","428.91"
"1975-01-01T00:00:00","UT01803","Salt Lake City, UT","180000","1070","11","99","378","582","12","594.44","6.11","55.0","210.0","323.33"
"1975-01-01T00:00:00","TXSPD00","San Antonio, TX","768814","4222","131","275","2086","1730","12","549.16","17.04","35.77","271.33","225.02"
"1975-01-01T00:00:00","CA03711","San Diego, CA","768713","3859","64","229","1367","2199","12","502.01","8.33","29.79","177.83","286.06"
"1975-01-01T00:00:00","CA03801","San Francisco, CA","669977","9137","138","547","2765","5687","12","1363.78","20.6","81.64","412.7","848.84"
"1975-01-01T00:00:00","CA04313","San Jose, CA","549367","2116","40","234","955","887","12","385.17","7.28","42.59","173.84","161.46"
"1975-01-01T00:00:00","WASPD00","Seattle, WA","503500","3971","52","324","1492","2103","12","788.68","10.33","64.35","296.33","417.68"
"1975-01-01T00:00:00","MOSPD00","St. Louis, MO","569000","10563","240","462","3573","6288","12","1856.41","42.18","81.2","627.94","1105.1"
"1975-01-01T00:00:00","NY05101","Suffolk County, NY","1217700","964","13","90","330","531","9","79.17","1.07","7.39","27.1","43.61"
"1975-01-01T00:00:00","FL02902","Tampa, FL","291103","3168","67","162","1545","1394","12","1088.27","23.02","55.65","530.74","478.87"
"1975-01-01T00:00:00","AZ01003","Tucson, AZ","340500","1810","23","137","943","707","12","531.57","6.75","40.23","276.95","207.64"
"1975-01-01T00:00:00","OK07205","Tulsa, OK","347600","1768","39","136","1012","581","12","508.63","11.22","39.13","291.14","167.15"
"1975-01-01T00:00:00","VA12800","Virginia Beach, VA","217192","452","22","38","198","194","12","208.11","10.13","17.5","91.16","89.32"
"1975-01-01T00:00:00","DCMPD00","Washington, DC","716000","12704","235","520","2812","9137","12","1774.3","32.82","72.63","392.74","1276.12"
"1975-01-01T00:00:00","KS08703","Wichita, KS","259240","1137","36","53","408","640","12","438.59","13.89","20.44","157.38","246.88"
"1975-01-01T00:00:00","","United States","","1039710","20510","","","","","487.8","9.6","","",""
"1976-01-01T00:00:00","NM00101","Albuquerque, NM","292265","2420","28","186","1335","871","12","828.02","9.58","63.64","456.78","298.02"
"1976-01-01T00:00:00","TX22001","Arlington, TX","107470","274","5","30","140","99","12","254.95","4.65","27.91","130.27","92.12"
"1976-01-01T00:00:00","GAAPD00","Atlanta, GA","457300","7529","154","477","3518","3380","12","1646.4","33.68","104.31","769.3","739.12"
"1976-01-01T00:00:00","CO00101","Aurora, CO","132000","546","2","40","338","166","12","413.64","1.52","30.3","256.06","125.76"
"1976-01-01T00:00:00","TX22701","Austin, TX","284908","1202","24","181","479","518","12","421.89","8.42","63.53","168.12","181.81"
"1976-01-01T00:00:00","MD00301","Baltimore County, MD","642369","1798","19","142","949","688","12","279.9","2.96","22.11","147.73","107.1"
"1976-01-01T00:00:00","MDBPD00","Baltimore, MD","860974","14191","200","460","5776","7755","12","1648.25","23.23","53.43","670.87","900.72"
"1976-01-01T00:00:00","MA01301","Boston, MA","619437","9888","81","392","3290","6125","12","1596.29","13.08","63.28","531.13","988.8"
"1976-01-01T00:00:00","NY01401","Buffalo, NY","425101","3091","54","202","898","1937","12","727.12","12.7","47.52","211.24","455.66"
"1976-01-01T00:00:00","NC06001","Charlotte, NC","274020","1895","52","84","1028","731","12","691.56","18.98","30.65","375.16","266.77"
"1976-01-01T00:00:00","ILCPD00","Chicago, IL","3134499","30640","814","1179","11070","17577","12","977.51","25.97","37.61","353.17","560.76"
"1976-01-01T00:00:00","OHCIP00","Cincinnati, OH","427045","3461","56","263","1617","1525","12","810.45","13.11","61.59","378.65","357.11"
"1976-01-01T00:00:00","OHCLP00","Cleveland, OH","642298","8496","236","498","2309","5453","12","1322.75","36.74","77.53","359.49","848.98"
"1976-01-01T00:00:00","OHCOP00","Columbus, OH","595500","3287","53","328","985","1921","12","551.97","8.9","55.08","165.41","322.59"
"1976-01-01T00:00:00","TXDPD00","Dallas, TX","888450","7244","230","591","3310","3113","12","815.35","25.89","66.52","372.56","350.39"
"1976-01-01T00:00:00","CODPD00","Denver, CO","523676","4107","86","383","1596","2042","12","784.26","16.42","73.14","304.77","389.94"
"1976-01-01T00:00:00","MI82349","Detroit, MI","1334100","29699","663","1230","6593","21213","12","2226.14","49.7","92.2","494.19","1590.06"
"1976-01-01T00:00:00","TX07102","El Paso, TX","361413","1573","25","118","638","792","12","435.24","6.92","32.65","176.53","219.14"
"1976-01-01T00:00:00","VA02901","Fairfax County, VA","524272","708","17","84","270","337","12","135.04","3.24","16.02","51.5","64.28"
"1976-01-01T00:00:00","TX22012","Fort Worth, TX","364302","1732","70","174","503","985","12","475.43","19.21","47.76","138.07","270.38"
"1976-01-01T00:00:00","CA01005","Fresno, CA","177900","1267","28","55","461","723","12","712.2","15.74","30.92","259.13","406.41"
"1976-01-01T00:00:00","HI00200","Honolulu, HI","718424","1696","40","164","380","1112","12","236.07","5.57","22.83","52.89","154.78"
"1976-01-01T00:00:00","TXHPD00","Houston, TX","1477000","8045","321","690","1503","5531","12","544.69","21.73","46.72","101.76","374.48"
"1976-01-01T00:00:00","INIPD00","Indianapolis, IN","494730","4144","68","347","1363","2366","12","837.63","13.74","70.14","275.5","478.24"
"1976-01-01T00:00:00","FL01602","Jacksonville, FL","543839","4443","90","279","2516","1558","12","816.97","16.55","51.3","462.64","286.48"
"1976-01-01T00:00:00","MOKPD00","Kansas City, MO","488012","5578","95","350","2723","2410","12","1143.0","19.47","71.72","557.98","493.84"
"1976-01-01T00:00:00","NV00201","Las Vegas, NV","265347","2473","35","151","1011","1276","12","931.99","13.19","56.91","381.01","480.88"
"1976-01-01T00:00:00","CA01941","Long Beach, CA","340900","2950","69","200","978","1703","12","865.36","20.24","58.67","286.89","499.56"
"1976-01-01T00:00:00","CA01900","Los Angeles County, CA","1027865","10104","155","564","6662","2723","12","983.01","15.08","54.87","648.14","264.92"
"1976-01-01T00:00:00","CA01942","Los Angeles, CA","2739100","31960","501","2047","15187","14225","12","1166.81","18.29","74.73","554.45","519.33"
"1976-01-01T00:00:00","KY05680","Louisville, KY","","","","","","","","","","","",""
"1976-01-01T00:00:00","TNMPD00","Memphis, TN","649819","4780","113","472","1766","2429","12","735.59","17.39","72.64","271.77","373.8"
"1976-01-01T00:00:00","AZ00717","Mesa, AZ","100763","311","5","15","202","89","12","308.65","4.96","14.89","200.47","88.33"
"1976-01-01T00:00:00","FL01300","Miami-Dade County, FL","649499","6787","70","216","4562","1939","12","1044.96","10.78","33.26","702.39","298.54"
"1976-01-01T00:00:00","FL01306","Miami, FL","338721","5172","84","145","2630","2313","12","1526.92","24.8","42.81","776.45","682.86"
"1976-01-01T00:00:00","WIMPD00","Milwaukee, WI","652517","2692","57","168","846","1621","12","412.56","8.74","25.75","129.65","248.42"
"1976-01-01T00:00:00","MN02711","Minneapolis, MN","397421","2954","27","300","1220","1407","12","743.29","6.79","75.49","306.98","354.03"
"1976-01-01T00:00:00","MD01604","Montgomery County, MD","480055","932","26","85","257","564","12","194.14","5.42","17.71","53.54","117.49"
"1976-01-01T00:00:00","TN01901","Nashville, TN","445979","2831","74","129","906","1722","12","634.78","16.59","28.93","203.15","386.12"
"1976-01-01T00:00:00","NY02900","Nassau County, NY","1053093","887","20","23","185","659","12","84.23","1.9","2.18","17.57","62.58"
"1976-01-01T00:00:00","LANPD00","New Orleans, LA","557327","4810","170","264","1776","2600","12","863.05","30.5","47.37","318.66","466.51"
"1976-01-01T00:00:00","NY03030","New York City, NY","7530493","134153","1622","3400","42948","86183","12","1781.46","21.54","45.15","570.32","1144.45"
"1976-01-01T00:00:00","NJNPD00","Newark, NJ","367886","6565","99","323","2309","3834","12","1784.52","26.91","87.8","627.64","1042.17"
"1976-01-01T00:00:00","CA00109","Oakland, CA","333100","5514","98","309","2213","2894","12","1655.36","29.42","92.76","664.37","868.81"
"1976-01-01T00:00:00","OK05506","Oklahoma City, OK","376522","2360","36","228","1326","770","12","626.79","9.56","60.55","352.17","204.5"
"1976-01-01T00:00:00","NB02802","Omaha, NE","388592","2008","19","193","1008","788","12","516.74","4.89","49.67","259.4","202.78"
"1976-01-01T00:00:00","FL04804","Orlando, FL","116848","1118","17","98","676","327","12","956.8","14.55","83.87","578.53","279.85"
"1976-01-01T00:00:00","PAPEP00","Philadelphia, PA","1916665","13113","338","764","4225","7786","12","684.16","17.63","39.86","220.43","406.23"
"1976-01-01T00:00:00","AZ00723","Phoenix, AZ","669005","3856","53","240","2078","1485","12","576.38","7.92","35.87","310.61","221.97"
"1976-01-01T00:00:00","PAPPD00","Pittsburgh, PA","487106","4621","62","287","1853","2419","12","948.66","12.73","58.92","380.41","496.61"
"1976-01-01T00:00:00","OR02602","Portland, OR","379818","4304","39","322","2030","1913","12","1133.17","10.27","84.78","534.47","503.66"
"1976-01-01T00:00:00","MD01721","Prince George's County, MD","578318","3869","37","280","1611","1941","12","669.01","6.4","48.42","278.57","335.63"
"1976-01-01T00:00:00","NC09201","Raleigh, NC","148093","531","11","29","353","138","12","358.56","7.43","19.58","238.36","93.18"
"1976-01-01T00:00:00","CA03404","Sacramento, CA","260700","2799","52","192","1368","1187","12","1073.65","19.95","73.65","524.74","455.31"
"1976-01-01T00:00:00","UT01803","Salt Lake City, UT","175400","959","11","102","364","482","12","546.75","6.27","58.15","207.53","274.8"
"1976-01-01T00:00:00","TXSPD00","San Antonio, TX","753069","3285","119","263","1641","1262","12","436.22","15.8","34.92","217.91","167.58"
"1976-01-01T00:00:00","CA03711","San Diego, CA","773400","4118","59","233","1555","2271","12","532.45","7.63","30.13","201.06","293.64"
"1976-01-01T00:00:00","CA03801","San Francisco, CA","665000","10756","130","619","3379","6628","12","1617.44","19.55","93.08","508.12","996.69"
"1976-01-01T00:00:00","CA04313","San Jose, CA","557700","2523","37","296","1223","967","12","452.39","6.63","53.08","219.29","173.39"
"1976-01-01T00:00:00","WASPD00","Seattle, WA","503500","4128","42","322","1601","2163","12","819.86","8.34","63.95","317.97","429.59"
"1976-01-01T00:00:00","MOSPD00","St. Louis, MO","534206","9574","182","489","3600","5303","12","1792.19","34.07","91.54","673.9","992.69"
"1976-01-01T00:00:00","NY05101","Suffolk County, NY","1177192","1810","34","126","671","979","12","153.76","2.89","10.7","57.0","83.16"
"1976-01-01T00:00:00","FL02902","Tampa, FL","274568","2935","42","162","1706","1025","12","1068.95","15.3","59.0","621.34","373.31"
"1976-01-01T00:00:00","AZ01003","Tucson, AZ","340927","1464","24","136","750","554","12","429.42","7.04","39.89","219.99","162.5"
"1976-01-01T00:00:00","OK07205","Tulsa, OK","349516","1747","27","131","1197","392","12","499.83","7.72","37.48","342.47","112.16"
"1976-01-01T00:00:00","VA12800","Virginia Beach, VA","216176","481","12","59","253","157","12","222.5","5.55","27.29","117.03","72.63"
"1976-01-01T00:00:00","DCMPD00","Washington, DC","702000","10399","188","508","2659","7044","12","1481.34","26.78","72.36","378.77","1003.42"
"1976-01-01T00:00:00","KS08703","Wichita, KS","256455","1114","19","111","470","514","12","434.38","7.41","43.28","183.27","200.43"
"1976-01-01T00:00:00","","United States","","1004210","18780","","","","","467.8","8.7","","",""
"1977-01-01T00:00:00","NM00101","Albuquerque, NM","292341","2390","31","207","1398","754","12","817.54","10.6","70.81","478.21","257.92"
"1977-01-01T00:00:00","TX22001","Arlington, TX","112994","389","4","34","266","85","12","344.27","3.54","30.09","235.41","75.23"
"1977-01-01T00:00:00","GAAPD00","Atlanta, GA","440300","7595","138","510","3593","3354","12","1724.96","31.34","115.83","816.03","761.75"
"1977-01-01T00:00:00","CO00101","Aurora, CO","137200","585","3","42","374","166","12","426.38","2.19","30.61","272.59","120.99"
"1977-01-01T00:00:00","TX22701","Austin, TX","321900","1260","33","187","528","512","12","391.43","10.25","58.09","164.03","159.06"
"1977-01-01T00:00:00","MD00301","Baltimore County, MD","643363","4010","22","162","3109","717","12","623.29","3.42","25.18","483.24","111.45"
"1977-01-01T00:00:00","MDBPD00","Baltimore, MD","827494","14283","171","499","6050","7563","12","1726.05","20.66","60.3","731.12","913.96"
"1977-01-01T00:00:00","MA01301","Boston, MA","619321","9422","75","408","3284","5655","12","1521.34","12.11","65.88","530.26","913.1"
"1977-01-01T00:00:00","NY01401","Buffalo, NY","415352","3945","45","236","1842","1822","12","949.8","10.83","56.82","443.48","438.66"
"1977-01-01T00:00:00","NC06001","Charlotte, NC","262314","2245","47","119","1465","614","12","855.84","17.92","45.37","558.49","234.07"
"1977-01-01T00:00:00","ILCPD00","Chicago, IL","3086806","28873","823","1227","10311","16512","12","935.37","26.66","39.75","334.03","534.92"
"1977-01-01T00:00:00","OHCIP00","Cincinnati, OH","423671","3439","72","291","1451","1625","12","811.71","16.99","68.69","342.48","383.55"
"1977-01-01T00:00:00","OHCLP00","Cleveland, OH","638793","9421","249","508","2198","6466","12","1474.81","38.98","79.52","344.09","1012.22"
"1977-01-01T00:00:00","OHCOP00","Columbus, OH","568800","3238","69","331","1086","1752","12","569.27","12.13","58.19","190.93","308.02"
"1977-01-01T00:00:00","TXDPD00","Dallas, TX","873700","8899","224","637","4401","3637","12","1018.54","25.64","72.91","503.72","416.28"
"1977-01-01T00:00:00","CODPD00","Denver, CO","520200","5032","73","466","2005","2488","12","967.32","14.03","89.58","385.43","478.28"
"1977-01-01T00:00:00","MI82349","Detroit, MI","1316352","24070","479","1277","6482","15832","12","1828.54","36.39","97.01","492.42","1202.72"
"1977-01-01T00:00:00","TX07102","El Paso, TX","386000","1560","32","107","597","824","12","404.15","8.29","27.72","154.66","213.47"
"1977-01-01T00:00:00","VA02901","Fairfax County, VA","517610","841","13","89","320","419","12","162.48","2.51","17.19","61.82","80.95"
"1977-01-01T00:00:00","TX22012","Fort Worth, TX","383028","2561","102","208","1119","1132","12","668.62","26.63","54.3","292.15","295.54"
"1977-01-01T00:00:00","CA01005","Fresno, CA","182629","1673","52","71","592","958","12","916.06","28.47","38.88","324.15","524.56"
"1977-01-01T00:00:00","HI00200","Honolulu, HI","721983","1660","46","176","357","1081","12","229.92","6.37","24.38","49.45","149.73"
"1977-01-01T00:00:00","TXHPD00","Houston, TX","1613303","9304","376","965","1810","6153","12","576.71","23.31","59.82","112.19","381.39"
"1977-01-01T00:00:00","INIPD00","Indianapolis, IN","509000","3785","80","346","1220","2139","12","743.61","15.72","67.98","239.69","420.24"
"1977-01-01T00:00:00","FL01602","Jacksonville, FL","528698","4171","77","299","2329","1466","12","788.92","14.56","56.55","440.52","277.28"
"1977-01-01T00:00:00","MOKPD00","Kansas City, MO","492055","5616","97","325","2868","2326","12","1141.34","19.71","66.05","582.86","472.71"
"1977-01-01T00:00:00","NV00201","Las Vegas, NV","279791","2729","59","183","1068","1419","12","975.37","21.09","65.41","381.71","507.16"
"1977-01-01T00:00:00","CA01941","Long Beach, CA","346662","3391","75","226","1094","1996","12","978.19","21.63","65.19","315.58","575.78"
"1977-01-01T00:00:00","CA01900","Los Angeles County, CA","1040180","10589","173","631","6822","2963","12","1018.0","16.63","60.66","655.85","284.85"
"1977-01-01T00:00:00","CA01942","Los Angeles, CA","2785393","33676","576","2339","15515","15246","12","1209.02","20.68","83.97","557.01","547.36"
"1977-01-01T00:00:00","KY05680","Louisville, KY","","","","","","","","","","","",""
"1977-01-01T00:00:00","TNMPD00","Memphis, TN","667150","5231","105","581","1796","2749","12","784.08","15.74","87.09","269.2","412.05"
"1977-01-01T00:00:00","AZ00717","Mesa, AZ","116400","385","4","34","264","83","12","330.76","3.44","29.21","226.8","71.31"
"1977-01-01T00:00:00","FL01300","Miami-Dade County, FL","657954","7204","90","277","4676","2161","12","1094.91","13.68","42.1","710.69","328.44"
"1977-01-01T00:00:00","FL01306","Miami, FL","333713","5346","84","178","2637","2447","12","1601.98","25.17","53.34","790.2","733.26"
"1977-01-01T00:00:00","WIMPD00","Milwaukee, WI","640489","2535","54","213","879","1389","12","395.79","8.43","33.26","137.24","216.87"
"1977-01-01T00:00:00","MN02711","Minneapolis, MN","390294","3130","38","324","1116","1652","12","801.96","9.74","83.01","285.94","423.27"
"1977-01-01T00:00:00","MD01604","Montgomery County, MD","491003","916","14","105","313","484","12","186.56","2.85","21.38","63.75","98.57"
"1977-01-01T00:00:00","TN01901","Nashville, TN","456589","2957","82","187","1000","1688","12","647.63","17.96","40.96","219.02","369.7"
"1977-01-01T00:00:00","NY02900","Nassau County, NY","1044946","1058","19","48","257","734","12","101.25","1.82","4.59","24.59","70.24"
"1977-01-01T00:00:00","LANPD00","New Orleans, LA","587776","5947","173","360","2135","3279","12","1011.78","29.43","61.25","363.23","557.87"
"1977-01-01T00:00:00","NY03030","New York City, NY","7481613","121916","1557","3899","42056","74404","12","1629.54","20.81","52.11","562.12","994.49"
"1977-01-01T00:00:00","NJNPD00","Newark, NJ","351412","6175","92","324","2556","3203","12","1757.2","26.18","92.2","727.35","911.47"
"1977-01-01T00:00:00","CA00109","Oakland, CA","339264","5764","94","366","2267","3037","12","1698.97","27.71","107.88","668.21","895.17"
"1977-01-01T00:00:00","OK05506","Oklahoma City, OK","373570","2695","67","251","1602","775","12","721.42","17.94","67.19","428.84","207.46"
"1977-01-01T00:00:00","NB02802","Omaha, NE","367281","1918","31","172","906","809","12","522.22","8.44","46.83","246.68","220.27"
"1977-01-01T00:00:00","FL04804","Orlando, FL","118374","1143","15","85","769","274","12","965.58","12.67","71.81","649.64","231.47"
"1977-01-01T00:00:00","PAPEP00","Philadelphia, PA","1897706","12047","323","771","3954","6999","12","634.82","17.02","40.63","208.36","368.81"
"1977-01-01T00:00:00","AZ00723","Phoenix, AZ","682200","4295","70","316","2315","1594","12","629.58","10.26","46.32","339.34","233.66"
"1977-01-01T00:00:00","PAPPD00","Pittsburgh, PA","482413","4572","52","252","1729","2539","12","947.74","10.78","52.24","358.41","526.31"
"1977-01-01T00:00:00","OR02602","Portland, OR","385230","3973","41","337","1892","1703","12","1031.33","10.64","87.48","491.14","442.07"
"1977-01-01T00:00:00","MD01721","Prince George's County, MD","550201","3724","51","264","1476","1933","12","676.84","9.27","47.98","268.27","351.33"
"1977-01-01T00:00:00","NC09201","Raleigh, NC","152840","571","10","39","402","120","12","373.59","6.54","25.52","263.02","78.51"
"1977-01-01T00:00:00","CA03404","Sacramento, CA","265220","2915","41","205","1393","1276","12","1099.09","15.46","77.29","525.22","481.11"
"1977-01-01T00:00:00","UT01803","Salt Lake City, UT","180122","1064","12","112","461","479","12","590.71","6.66","62.18","255.94","265.93"
"1977-01-01T00:00:00","TXSPD00","San Antonio, TX","764217","3755","146","273","1876","1460","12","491.35","19.1","35.72","245.48","191.05"
"1977-01-01T00:00:00","CA03711","San Diego, CA","788621","4414","50","298","1585","2481","12","559.71","6.34","37.79","200.98","314.6"
"1977-01-01T00:00:00","CA03801","San Francisco, CA","676625","9367","141","595","3208","5423","12","1384.37","20.84","87.94","474.12","801.48"
"1977-01-01T00:00:00","CA04313","San Jose, CA","568303","2670","41","322","1276","1031","12","469.82","7.21","56.66","224.53","181.42"
"1977-01-01T00:00:00","WASPD00","Seattle, WA","500000","4156","35","370","1987","1764","12","831.2","7.0","74.0","397.4","352.8"
"1977-01-01T00:00:00","MOSPD00","St. Louis, MO","512059","9726","195","473","4115","4943","12","1899.39","38.08","92.37","803.62","965.32"
"1977-01-01T00:00:00","NY05101","Suffolk County, NY","1140882","2042","30","133","861","1018","12","178.98","2.63","11.66","75.47","89.23"
"1977-01-01T00:00:00","FL02902","Tampa, FL","264848","3194","31","195","1906","1062","12","1205.97","11.7","73.63","719.66","400.98"
"1977-01-01T00:00:00","AZ01003","Tucson, AZ","306500","1578","35","116","877","550","12","514.85","11.42","37.85","286.13","179.45"
"1977-01-01T00:00:00","OK07205","Tulsa, OK","352674","1850","28","172","1161","489","12","524.56","7.94","48.77","329.2","138.65"
"1977-01-01T00:00:00","VA12800","Virginia Beach, VA","235324","463","16","80","215","152","12","196.75","6.8","34.0","91.36","64.59"
"1977-01-01T00:00:00","DCMPD00","Washington, DC","690000","9843","192","402","2594","6655","12","1426.52","27.83","58.26","375.94","964.49"
"1977-01-01T00:00:00","KS08703","Wichita, KS","261732","1397","34","121","527","715","12","533.75","12.99","46.23","201.35","273.18"
"1977-01-01T00:00:00","","United States","","1029580","19120","","","","","475.9","8.8","","",""
