"Draft","Round (siemens)","Pick","Player","Nationality"
"1982-01-01T00:00:00","9","181","Mike Hough Category:Articles with hCards","Canada"
"1982-01-01T00:00:00","10","202","Vincent Lukac Category:Articles with hCards","Czech"
"1982-01-01T00:00:00","11","223","Andre Martin Category:Articles with hCards","Canada"
"1982-01-01T00:00:00","12","244","Jozef Lukac Category:Articles with hCards","Czech"
"1982-01-01T00:00:00","12","248","Jan Jasko Category:Articles with hCards","Slovakia"
"1983-01-01T00:00:00","2","32","Yves Heroux Category:Articles with hCards","Canada"
"1983-01-01T00:00:00","3","52","Bruce Bell Category:Articles with hCards","Canada"
"1983-01-01T00:00:00","3","54","Iiro Jarvi Category:Articles with hCards","Finland"
"1983-01-01T00:00:00","5","92","Luc Guenette Category:Articles with hCards","Canada"
"1983-01-01T00:00:00","6","112","Brad Walcot Category:Articles with hCards","Canada"
"1983-01-01T00:00:00","7","132","Craig Mack Category:Articles with hCards","United States"
"1983-01-01T00:00:00","8","152","Tommy Albelin Category:Articles with hCards","Sweden"
"1983-01-01T00:00:00","9","172","Wayne Groulx Category:Articles with hCards","Canada"
"1983-01-01T00:00:00","10","192","Scott Shaunessy Category:Articles with hCards","United States"
"1983-01-01T00:00:00","12","232","Bo Berglund Category:Articles with hCards","Sweden"
"1983-01-01T00:00:00","12","239","Jindrich Kokrment Category:Articles with hCards","Czech"
"1984-01-01T00:00:00","1","15","Trevor Stienburg Category:Articles with hCards","Canada"
"1984-01-01T00:00:00","2","36","Jeff Brown Category:Articles with hCards","Canada"
"1984-01-01T00:00:00","3","57","Steve Finn Category:Articles with hCards","Canada"
"1984-01-01T00:00:00","4","78","Terry Perkins Category:Articles with hCards","Canada"
"1984-01-01T00:00:00","6","120","Darren Cota Category:Articles with hCards","Canada"
"1984-01-01T00:00:00","7","141","Henrik Cedergren Category:Articles with hCards","Sweden"
"1984-01-01T00:00:00","8","162","Jyrki Maki Category:Articles with hCards","Finland"
"1984-01-01T00:00:00","9","183","Guy Ouellette Category:Articles with hCards","Canada"
"1984-01-01T00:00:00","10","203","Ken Quinney Category:Articles with hCards","Canada"
"1984-01-01T00:00:00","12","244","Peter Loob Category:Articles with hCards","Sweden"
"1985-01-01T00:00:00","1","15","David Latta Category:Articles with hCards","Canada"
"1985-01-01T00:00:00","2","36","Jason Lafreniere Category:Articles with hCards","Canada"
"1985-01-01T00:00:00","3","57","Max Middendorf Category:Articles with hCards","United States"
"1985-01-01T00:00:00","4","65","Peter Massey Category:Articles with hCards","United States"
"1985-01-01T00:00:00","4","78","David Espe Category:Articles with hCards","United States"
"1985-01-01T00:00:00","5","99","Bruce Major Category:Articles with hCards","Canada"
"1985-01-01T00:00:00","6","120","Andy Akervik Category:Articles with hCards","United States"
"1985-01-01T00:00:00","7","141","Mike Oliverio Category:Articles with hCards","Canada"
"1985-01-01T00:00:00","8","162","Mario Brunetta Category:Articles with hCards","Canada"
"1985-01-01T00:00:00","9","183","Brit Peer Category:Articles with hCards","Canada"
"1985-01-01T00:00:00","10","204","Tom Sasso Category:Articles with hCards","United States"
"1985-01-01T00:00:00","11","225","Gary Murphy Category:Articles with hCards","United States"
"1985-01-01T00:00:00","12","246","Jean Bois Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","1","18","Ken McRae Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","2","39","Jean-Marc Routhier Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","2","41","Stephane Guerard Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","4","81","Ron Tugnutt Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","5","102","Gerald Bzdel Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","6","117","Scott White Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","6","123","Morgen Samuelsson Category:Articles with hCards","Sweden"
"1986-01-01T00:00:00","7","134","Mark Vermette Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","7","144","Jean-Francois Nault Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","8","165","Keith Miller Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","9","186","Pierre Miller Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","10","207","Chris Lappin Category:Articles with hCards","United States"
"1986-01-01T00:00:00","11","228","Martin Latreille Category:Articles with hCards","Canada"
"1986-01-01T00:00:00","12","249","Sean Boudreault Category:Articles with hCards","United States"
"1986-01-01T00:00:00","1","19","Mike Natyshak Category:Articles with hCards","Canada"
"1987-01-01T00:00:00","1","9","Bryan Fogarty Category:Articles with hCards","Canada"
"1987-01-01T00:00:00","1","15","Joe Sakic Category:Articles with hCards","Canada"
"1987-01-01T00:00:00","3","51","Jim Sprott Category:Articles with hCards","Canada"
"1987-01-01T00:00:00","4","72","Kip Miller Category:Articles with hCards","United States"
"1987-01-01T00:00:00","5","93","Rob Mendel Category:Articles with hCards","United States"
"1987-01-01T00:00:00","6","114","Garth Snow Category:Articles with hCards","United States"
"1987-01-01T00:00:00","7","135","Tim Hanus Category:Articles with hCards","United States"
"1987-01-01T00:00:00","8","156","Jake Enebak Category:Articles with hCards","United States"
"1987-01-01T00:00:00","9","177","Jaroslav Sevcik Category:Articles with hCards","Czech"
"1987-01-01T00:00:00","9","183","Ladislav Tresl Category:Articles with hCards","Czech"
"1987-01-01T00:00:00","10","198","Darren Nauss Category:Articles with hCards","Canada"
"1987-01-01T00:00:00","11","219","Mike Williams Category:Articles with hCards","United States"
"1987-01-01T00:00:00","1","17","Mike Hitner Category:Articles with hCards","United States"
"1988-01-01T00:00:00","1","3","Curtis Leschyshyn Category:Articles with hCards","Canada"
"1988-01-01T00:00:00","1","5","Daniel Dore Category:Articles with hCards","Canada"
"1988-01-01T00:00:00","2","24","Stephane Fiset Category:Articles with hCards","Canada"
"1988-01-01T00:00:00","3","45","Petri Aaltonen Category:Articles with hCards","Finland"
"1988-01-01T00:00:00","4","66","Darin Kimble Category:Articles with hCards","Canada"
"1988-01-01T00:00:00","5","87","Stephane Venne Category:Articles with hCards","Canada"
"1988-01-01T00:00:00","6","108","Ed Ward Category:Articles with hCards","Canada"
"1988-01-01T00:00:00","7","129","Valeri Kamensky Category:Articles with hCards","Russia"
"1988-01-01T00:00:00","8","150","Sakari Lindfors Category:Articles with hCards","Finland"
"1988-01-01T00:00:00","9","171","Dan Wiebe Category:Articles with hCards","Canada"
"1988-01-01T00:00:00","11","213","Alexei Gusarov Category:Articles with hCards","Russia"
"1988-01-01T00:00:00","12","234","Claude Lapointe Category:Articles with hCards","Canada"
"1988-01-01T00:00:00","1","3","Phil Berger Category:Articles with hCards","United States"
"1988-01-01T00:00:00","1","8","Jamie Baker Category:Articles with hCards","Canada"
"1989-01-01T00:00:00","1","1","Mats Sundin Category:Articles with hCards","Sweden"
"1989-01-01T00:00:00","2","22","Adam Foote Category:Articles with hCards","Canada"
"1989-01-01T00:00:00","3","43","Stephane Morin Category:Articles with hCards","Canada"
"1989-01-01T00:00:00","3","54","John Tanner Category:Articles with hCards","Canada"
"1989-01-01T00:00:00","4","68","Niklas Andersson Category:Articles with hCards","Sweden"
"1989-01-01T00:00:00","4","76","Eric Dubois Category:Articles with hCards","Canada"
"1989-01-01T00:00:00","5","85","Kevin Kaiser Category:Articles with hCards","Canada"
"1989-01-01T00:00:00","6","106","Dan Lambert Category:Articles with hCards","Canada"
"1989-01-01T00:00:00","7","127","Sergei Mylnikov Category:Articles with hCards","Russia"
"1989-01-01T00:00:00","8","148","Paul Krake Category:Articles with hCards","Canada"
"1989-01-01T00:00:00","9","169","Vyacheslav Bykov Category:Articles with hCards","Russia"
"1989-01-01T00:00:00","10","190","Andrei Khomutov Category:Articles with hCards","Russia"
"1989-01-01T00:00:00","11","211","Byron Witkowski Category:Articles with hCards","Canada"
"1989-01-01T00:00:00","12","232","Noel Rahn Category:Articles with hCards","United States"
"1989-01-01T00:00:00","1","1","Dave DePinto Category:Articles with hCards","United States"
"1989-01-01T00:00:00","1","6","Rick Berens Category:Articles with hCards","United States"
"1990-01-01T00:00:00","1","1","Owen Nolan Category:Articles with hCards","Canada"
"1990-01-01T00:00:00","2","22","Ryan Hughes Category:Articles with hCards","Canada"
"1990-01-01T00:00:00","3","43","Brad Zavisha Category:Articles with hCards","Canada"
"1990-01-01T00:00:00","6","106","Jeff Parrott Category:Articles with hCards","Canada"
"1990-01-01T00:00:00","7","127","Dwayne Norris Category:Articles with hCards","Canada"
"1990-01-01T00:00:00","8","148","Andrei Kovalenko Category:Articles with hCards","Russia"
"1990-01-01T00:00:00","8","158","Alexander Karpovtsev Category:Articles with hCards","Russia"
"1990-01-01T00:00:00","9","169","Pat Mazzoli Category:Articles with hCards","Canada"
"1990-01-01T00:00:00","10","190","Scott Davis Category:Articles with hCards","Canada"
"1990-01-01T00:00:00","11","211","Mika Stromberg Category:Articles with hCards","Finland"
"1990-01-01T00:00:00","12","232","Wade Klippenstein Category:Articles with hCards","Canada"
"1990-01-01T00:00:00","1","1","Mike McKee Category:Articles with hCards","Canada"
"1991-01-01T00:00:00","1","1","Eric Lindros Category:Articles with hCards","Canada"
"1991-01-01T00:00:00","2","24","Rene Corbet Category:Articles with hCards","Canada"
"1991-01-01T00:00:00","3","46","Rich Brennan Category:Articles with hCards","United States"
"1991-01-01T00:00:00","4","68","Dave Karpa Category:Articles with hCards","Canada"
"1991-01-01T00:00:00","5","90","Patrick Labrecque Category:Articles with hCards","Canada"
"1991-01-01T00:00:00","5","103","Bill Lindsay Category:Articles with hCards","Canada"
"1991-01-01T00:00:00","7","134","Mikael Johansson Category:Articles with hCards","Sweden"
"1991-01-01T00:00:00","8","156","Janne Laukkanen Category:Articles with hCards","Finland"
"1991-01-01T00:00:00","8","157","Aaron Asp Category:Articles with hCards","Canada"
"1991-01-01T00:00:00","9","178","Adam Bartell Category:Articles with hCards","United States"
"1991-01-01T00:00:00","9","188","Brent Brekke Category:Articles with hCards","United States"
"1991-01-01T00:00:00","10","200","Paul Koch Category:Articles with hCards","United States"
"1991-01-01T00:00:00","11","222","Doug Friedman Category:Articles with hCards","United States"
"1991-01-01T00:00:00","12","244","Eric Meloche Category:Articles with hCards","Canada"
"1991-01-01T00:00:00","1","2","Dave Trombley Category:Articles with hCards","United States"
"1991-01-01T00:00:00","1","8","Chris Hynnes Category:Articles with hCards","Canada"
"1992-01-01T00:00:00","1","4","Todd Warriner Category:Articles with hCards","Canada"
"1992-01-01T00:00:00","2","28","Paul Brousseau Category:Articles with hCards","Canada"
"1992-01-01T00:00:00","2","29","Tuomas Grönman Category:Articles with hCards","Finland"
"1992-01-01T00:00:00","3","52","Manny Fernandez Category:Articles with hCards","Canada"
"1992-01-01T00:00:00","4","76","Ian McIntyre Category:Articles with hCards","Canada"
"1992-01-01T00:00:00","5","100","Charles Wasley Category:Articles with hCards","United States"
"1992-01-01T00:00:00","6","124","Paxton Schulte Category:Articles with hCards","Canada"
"1992-01-01T00:00:00","7","148","Martin LePage Category:Articles with hCards","Canada"
"1992-01-01T00:00:00","8","172","Mike Jickling Category:Articles with hCards","Canada"
"1992-01-01T00:00:00","9","196","Steve Passmore Category:Articles with hCards","Canada"
"1992-01-01T00:00:00","10","220","Anson Carter Category:Articles with hCards","Canada"
"1992-01-01T00:00:00","11","244","Aaron Ellis Category:Articles with hCards","United States"
"1992-01-01T00:00:00","1","4","Richard Shulmistra Category:Articles with hCards","Canada"
"1993-01-01T00:00:00","1","10","Jocelyn Thibault Category:Articles with hCards","Canada"
"1993-01-01T00:00:00","1","14","Adam Deadmarsh Category:Articles with hCards","United States"
"1993-01-01T00:00:00","2","49","Ashley Buckberger Category:Articles with hCards","Canada"
"1993-01-01T00:00:00","3","75","Billy Pierce Category:Articles with hCards","United States"
"1993-01-01T00:00:00","4","101","Ryan Tocher Category:Articles with hCards","Canada"
"1993-01-01T00:00:00","5","127","Anders Myrvold Category:Articles with hCards","Norway"
"1993-01-01T00:00:00","6","137","Nick Checco Category:Articles with hCards","United States"
"1993-01-01T00:00:00","6","153","Christian Matte Category:Articles with hCards","Canada"
"1993-01-01T00:00:00","7","179","David Ling Category:Articles with hCards","Canada"
"1993-01-01T00:00:00","8","205","Petr Franěk Category:Articles with hCards","Czech"
"1993-01-01T00:00:00","9","231","Vincent Auger Category:Articles with hCards","Canada"
"1993-01-01T00:00:00","10","257","Mark Pivetz Category:Articles with hCards","Canada"
"1993-01-01T00:00:00","11","283","John Hillman Category:Articles with hCards","United States"
"1994-01-01T00:00:00","1","12","Wade Belak Category:Articles with hCards","Canada"
"1994-01-01T00:00:00","1","22","Jeff Kealty Category:Articles with hCards","United States"
"1994-01-01T00:00:00","2","35","Josef Marha Category:Articles with hCards","Czech"
"1994-01-01T00:00:00","3","61","Sebastien Bety Category:Articles with hCards","Canada"
"1994-01-01T00:00:00","3","72","Chris Drury Category:Articles with hCards","United States"
"1994-01-01T00:00:00","4","87","Milan Hejduk Category:Articles with hCards","Czech"
"1994-01-01T00:00:00","5","113","Tony Tuzzolino Category:Articles with hCards","United States"
"1994-01-01T00:00:00","6","139","Nicholas Windsor Category:Articles with hCards","United States"
"1994-01-01T00:00:00","7","165","Calvin Elfring Category:Articles with hCards","Canada"
"1994-01-01T00:00:00","8","191","Jay Bertsch Category:Articles with hCards","Canada"
"1994-01-01T00:00:00","9","217","Tim Thomas Category:Articles with hCards","United States"
"1994-01-01T00:00:00","10","243","Chris Pittman Category:Articles with hCards","Canada"
"1994-01-01T00:00:00","11","285","Steven Low Category:Articles with hCards","Canada"
"1994-01-01T00:00:00","1","9","Reid Simonton Category:Articles with hCards","Canada"
