"ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best of","Winner","Loser","WRank","LRank","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","Comment","CBW","CBL","GBW","GBL","IWW","IWL","SBW","SBL","B365W","B365L","B&WW","B&WL","EXW","EXL","PSW","PSL","WPts","LPts","UBW","UBL","LBW","LBL","SJW","SJL","MaxW","MaxL","AvgW","AvgL"
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Hewitt L.","Petrovic D.","24","208","6","0","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Martin A.","Sekulov J.","55","142","7","6","7","6","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Norman M.","Fromberg R.","15","81","7","5","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Stoltenberg J.","Vinck C.","84","227","3","6","6","4","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Enqvist T.","Grosjean S.","5","26","7","6","7","5","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Escude N.","Henman T.","40","11","6","3","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Hewitt L.","Stoltenberg J.","24","84","6","2","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Norman M.","Martin A.","15","55","6","4","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","Semifinals","3","Enqvist T.","Norman M.","5","15","3","6","6","2","6","2","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","Semifinals","3","Hewitt L.","Escude N.","24","40","3","6","6","1","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Adelaide","Australian Hardcourt Championships","2000-03-01T00:00:00","International","Outdoor","Hard","The Final","3","Hewitt L.","Enqvist T.","24","5","3","6","6","3","6","2","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Agenor R.","Kumar S.","94","1198","6","4","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Behrend T.","Popp A.","116","124","6","4","4","6","6","1","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Damm M.","Rochus C.","104","120","6","3","6","0","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Delgado J.","Black B.","162","67","6","2","7","6","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Golmard J.","Spottl M.","38","200","6","3","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Hantschk M.","Tieleman L.","128","89","7","6","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Jonsson F.","Kroslak J.","127","103","6","3","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Ketola T.","Ogorodov O.","163","135","7","5","4","6","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Manta L.","Zib T.","117","115","7","5","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Paes L.","Boutter J.","145","137","6","4","7","6","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Pioline C.","Ram A.","14","414","6","3","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Sanguinetti D.","Voinea A.","121","100","7","6","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Stanoytchev O.","Kilderry P.","111","342","6","4","7","6","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Tabara M.","Kafelnikov Y.","125","2","6","4","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Vanek J.","Ishii Y.","160","238","6","3","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Vinciguerra A.","Lopez-Moron A.","99","113","6","4","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Damm M.","Agenor R.","104","94","4","6","6","2","6","1","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Delgado J.","Stanoytchev O.","162","111","4","6","6","2","6","3","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Golmard J.","Jonsson F.","38","127","6","2","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Hantschk M.","Behrend T.","128","116","6","3","4","6","6","3","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Ketola T.","Vanek J.","163","160","4","6","6","4","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Manta L.","Tabara M.","117","125","6","4","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Pioline C.","Paes L.","14","145","6","3","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Sanguinetti D.","Vinciguerra A.","121","99","2","6","7","5","6","3","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Damm M.","Manta L.","104","117","6","4","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Golmard J.","Delgado J.","38","162","6","3","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Hantschk M.","Ketola T.","128","163","5","7","7","5","6","2","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Pioline C.","Sanguinetti D.","14","121","3","6","6","4","7","6","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","Semifinals","3","Golmard J.","Damm M.","38","104","3","6","6","3","6","3","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","Semifinals","3","Hantschk M.","Pioline C.","128","14","6","4","2","6","7","6","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Chennai","Gold Flake Open","2000-03-01T00:00:00","International","Outdoor","Hard","The Final","3","Golmard J.","Hantschk M.","38","128","6","3","6","7","6","3","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Bastl G.","Novak J.","85","36","6","4","7","5","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Berasategui A.","Al-Alawi S.K.","60","NR","6","3","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Caratti C.","Heuberger I.","211","219","7","6","4","6","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Cherkasov A.","Arazi H.","206","35","6","2","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","El Aynaoui Y.","Dupuis A.","33","78","4","6","6","3","6","2","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Gaudio G.","Luxa P.","73","174","4","6","6","0","6","2","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Kiefer N.","Tarango J.","6","59","7","6","7","6","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Marin J.A.","Mantilla F.","71","25","6","1","","","","","","","","","1","0","Retired","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Mirnyi M.","Puerta M.","74","101","7","5","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Santoro F.","Burgsmuller L.","32","138","6","4","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Schalken S.","Diaz J.","44","86","7","5","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Schuettler R.","Sanchez J.","47","285","6","2","7","6","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Squillari F.","Siemerink J.","49","93","6","2","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Tillstrom M.","Ivanisevic G.","83","62","7","6","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","Vacek D.","Vicente F.","39","50","0","6","6","3","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","1st Round","3","van Lottum J.","Blanco G.","69","76","6","4","0","1","","","","","","","1","0","Retired","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Bastl G.","Berasategui A.","85","60","6","3","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","El Aynaoui Y.","Gaudio G.","33","73","6","4","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Kiefer N.","Caratti C.","6","211","6","1","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Mirnyi M.","Marin J.A.","74","71","6","0","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Santoro F.","van Lottum J.","32","69","7","6","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Schalken S.","Squillari F.","44","49","4","6","6","1","6","1","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Schuettler R.","Vacek D.","47","39","6","3","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Tillstrom M.","Cherkasov A.","83","206","7","6","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","El Aynaoui Y.","Tillstrom M.","33","83","7","5","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Kiefer N.","Schalken S.","6","44","6","1","6","0","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Santoro F.","Bastl G.","32","85","6","2","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Schuettler R.","Mirnyi M.","47","74","6","3","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","Semifinals","3","Santoro F.","Kiefer N.","32","6","7","5","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","Semifinals","3","Schuettler R.","El Aynaoui Y.","47","33","6","7","6","4","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Doha","Qatar Open","2000-03-01T00:00:00","International","Outdoor","Hard","The Final","3","Santoro F.","Schuettler R.","32","47","3","6","7","5","3","0","","","","","1","1","Retired","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Balcells J.","Squillari F.","211","49","7","5","7","5","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Behrend T.","Hantschk M.","115","95","6","2","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Chang M.","Black B.","50","70","7","5","4","6","7","6","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Ferrero J.C.","Federer R.","45","61","6","4","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Gambill J.M.","Fromberg R.","57","80","4","6","6","3","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Gaudio G.","Sargsian S.","72","52","7","5","4","6","7","5","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Gustafsson M.","Nielsen M.","60","246","6","4","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Haas T.","Tarango J.","11","63","7","5","4","6","7","5","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Johansson T.","Weiner G.","43","334","7","6","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Martin A.","Berasategui A.","48","59","6","3","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Norman M.","Costa F.","14","149","7","5","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Novak J.","Bjorkman J.","38","76","7","5","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Rosset M.","Vicente F.","46","53","6","4","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Schalken S.","Ivanisevic G.","37","68","6","1","4","6","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Sell M.","Escude N.","167","34","0","6","7","6","6","1","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","van Lottum J.","Woodruff C.","66","56","6","1","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Balcells J.","Haas T.","211","11","6","4","7","5","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Chang M.","Sell M.","50","167","4","6","6","4","7","6","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Ferrero J.C.","Martin A.","45","48","6","7","6","2","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
