"Are you self-employed?","How many employees does your company or organization have?","Is your employer primarily a tech company/organization?","Is your primary role within your company related to tech/IT?","Does your employer provide mental health benefits as part of healthcare coverage?","Do you know the options for mental health care available under your employer-provided coverage?","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","Does your employer offer resources to learn more about mental health concerns and options for seeking help?","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:","Do you think that discussing a mental health disorder with your employer would have negative consequences?","Do you think that discussing a physical health issue with your employer would have negative consequences?","Would you feel comfortable discussing a mental health disorder with your coworkers?","Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?","Do you feel that your employer takes mental health as seriously as physical health?","Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?","Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?","Do you know local or online resources to seek help for a mental health disorder?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","Do you believe your productivity is ever affected by a mental health issue?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?","Do you have previous employers?","Have your previous employers provided mental health benefits?","Were you aware of the options for mental health care provided by your previous employers?","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?","Did your previous employers provide resources to learn more about mental health issues and how to seek help?","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?","Do you think that discussing a mental health disorder with previous employers would have negative consequences?","Do you think that discussing a physical health issue with previous employers would have negative consequences?","Would you have been willing to discuss a mental health issue with your previous co-workers?","Would you have been willing to discuss a mental health issue with your direct supervisor(s)?","Did you feel that your previous employers took mental health as seriously as physical health?","Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?","Would you be willing to bring up a physical health issue with a potential employer in an interview?","Why or why not?","Would you bring up a mental health issue with a potential employer in an interview?","Do you feel that being identified as a person with a mental health issue would hurt your career?","Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?","How willing would you be to share with friends and family that you have a mental illness?","Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?","Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?","Do you have a family history of mental illness?","Have you had a mental health disorder in the past?","Do you currently have a mental health disorder?","If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?","Have you been diagnosed with a mental health condition by a medical professional?","If so, what condition(s) were you diagnosed with?","Have you ever sought treatment for a mental health issue from a mental health professional?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?","What is your age?","What is your gender?","What country do you live in?","What US state or territory do you live in?","What country do you work in?","What US state or territory do you work in?","Which of the following best describes your work position?","Do you work remotely?"
"0","1-5","1","","Yes","Yes","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","Maybe","I don't know","No","","","","","","","","","1","Some did","I was aware of some","Some did","Some did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them","No","I feel like this would put you out of the running for a position almost immediately. Or at least be used as a negative mark against you.","No","Yes, I think it would","Maybe","Somewhat open","Yes, I observed","Maybe","Yes","Yes","No","","","Yes","Mood Disorder |Attention Deficit Hyperactivity Disorder|Post-traumatic Stress Disorder","1","Sometimes","Often","33","Male","Canada","","Canada","","Back-end Developer","Sometimes"
"1","","","","","","","","","","","","","","","","1","I know some","Not applicable to me","","Not applicable to me","Not applicable to me","Not applicable to me","","1","I don't know","No, I only became aware later","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","Some of them","Maybe","Again, only if it could effect my job performance","Maybe","Maybe","No, I don't think they would","Not applicable to me","","","No","No","No","","","No","","0","Not applicable to me","Not applicable to me","38","Male","United States of America","New York","United States of America","New York","Supervisor/Team Lead","Sometimes"
"0","100-500","0","1","Yes","Yes","I don't know","Yes","Yes","Very easy","No","No","Maybe","Maybe","Yes","No","","","","","","","","","0","","","","","","","","","","","","Maybe","","Maybe","Maybe","No, I don't think they would","Very open","Maybe/Not sure","No","No","No","No","","","No","","0","Not applicable to me","Not applicable to me","42","male","Germany","","Germany","","Supervisor/Team Lead|Support|Back-end Developer","Never"
"0","26-100","0","1","No","No","No","No","I don't know","Very difficult","Yes","Yes","No","No","No","No","","","","","","","","","1","No, none did","I was aware of some","Some did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","I don't know","Some did","None of them","No","Same reason as above.","Maybe","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","Yes","I don't know","Yes","Yes","Mood Disorder","","Yes","Mood Disorder","1","Rarely","Often","27","Male","Netherlands","","Netherlands","","Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer","Sometimes"
"0","100-500","1","","I don't know","No","No","No","I don't know","Somewhat difficult","No","No","No","No","I don't know","No","","","","","","","","","1","No, none did","","None did","None did","I don't know","I don't know","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them","Maybe","","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure","No","No","No","Maybe","","Anxiety Disorder |Mood Disorder","No","","1","Sometimes","Often","35","male","Germany","","Germany","","Back-end Developer","Never"
"0","500-1000","0","1","I don't know","No","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","No","Maybe","Maybe","I don't know","Yes","","","","","","","","","1","I don't know","No, I only became aware later","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Yes, all of them","Maybe","I think most employers would straight up discount me for that","No","Yes, I think it would","No, I don't think they would","Neutral","Yes, I observed","Yes","Yes","Yes","Maybe","","Anxiety Disorder |Mood Disorder","No","","1","Sometimes","Often","34","female","United Kingdom","","United Kingdom","","Other","Never"
"0","6-25","1","","Not eligible for coverage / N/A","","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Yes","No","","","","","","","","","1","No, none did","","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them","No","See above","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed","Maybe","Yes","Yes","Yes","Anxiety Disorder |Mood Disorder","","Yes","Mood Disorder","1","Sometimes","Often","32","Bigender","United Kingdom","","United Kingdom","","Other|Supervisor/Team Lead|Support|Back-end Developer|Designer","Never"
"0","100-500","1","","Not eligible for coverage / N/A","Yes","No","No","I don't know","Somewhat easy","Maybe","No","Maybe","Maybe","No","No","","","","","","","","","0","","","","","","","","","","","","Maybe","Depending on the exact nature of the issue I might think they wouldn't want to hire me","Maybe","Yes, I think it would","Maybe","Very open","Maybe/Not sure","No","Yes","Yes","Yes","Mood Disorder","","Yes","Mood Disorder","1","Rarely","Often","32","non-binary","Germany","","Germany","","Back-end Developer","Never"
"0","100-500","1","","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","","","","","","","","","1","Some did","Yes, I was aware of all of them","None did","Some did","Yes, always","None of them","None of them","Yes, at all of my previous employers","I don't know","Yes, they all did","None of them","No","Seems unnecessary. It's asinine to bring up unnecessary conversation ever.","No","No, I don't think it would","No, they do not","Very open","No","","No","Yes","Yes","Anxiety Disorder |Mood Disorder |Substance Use Disorder|Addictive Disorder","","Yes","Anxiety Disorder |Mood Disorder |Substance Use Disorder|Addictive Disorder","1","Often","Sometimes","30","Male","United States of America","New York","United States of America","New York","Supervisor/Team Lead|Back-end Developer","Sometimes"
"0","More than 1000","1","","I don't know","I am not sure","No","No","I don't know","Very easy","Maybe","No","No","Maybe","No","No","","","","","","","","","0","","","","","","","","","","","","No","Again, when properly coped with it shouldn't affect my ability to do the job. I expect, as with physical health issues, I'll be allowed time needed when coping is necessary.","No","Maybe","Maybe","Somewhat open","No","","I don't know","Yes","Maybe","","Anxiety Disorder |Mood Disorder","No","","0","Rarely","Often","31","Male","United States of America","Minnesota","United States of America","Minnesota","One-person shop|Front-end Developer|Back-end Developer|Dev Evangelist/Advocate|Other","Never"
"1","","","","","","","","","","","","","","","","0","No, I don't know any","No, because it doesn't matter","No","Sometimes, if it comes up","Not applicable to me","Yes","-24","1","Some did","No, I only became aware later","None did","None did","I don't know","I don't know","Some of them","Some of my previous employers","Yes, at all of my previous employers","I don't know","None of them","No","Same as before","Maybe","Maybe","Maybe","Somewhat open","No","","No","No","No","","","No","","0","Not applicable to me","Not applicable to me","37","Male","Czech Republic","","Czech Republic","","Back-end Developer|Front-end Developer","Sometimes"
"0","26-100","1","","Yes","I am not sure","No","I don't know","Yes","Very easy","No","No","Maybe","Yes","Yes","No","","","","","","","","","1","No, none did","","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them","Yes","It's no different from a physical health issue. If it can potentially affect my performance then I should be clear.","Yes","No, I don't think it would","No, I don't think they would","Somewhat not open","Maybe/Not sure","No","No","Yes","Yes","Mood Disorder |Personality Disorder","","No","","0","Not applicable to me","Sometimes","36","Male","United Kingdom","","United Kingdom","","Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer","Sometimes"
"0","100-500","1","","No","No","No","Yes","I don't know","Somewhat easy","Maybe","No","No","No","I don't know","Yes","","","","","","","","","1","No, none did","","None did","None did","Sometimes","Some of them","None of them","Some of my previous employers","No, at none of my previous employers","None did","None of them","No","same as before","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","","No","No","No","","","No","","0","Not applicable to me","Not applicable to me","33","Male","Germany","","Germany","","Executive Leadership|Front-end Developer|Back-end Developer|Sales|Supervisor/Team Lead","Never"
"0","26-100","1","","Yes","I am not sure","No","Yes","Yes","Very easy","No","No","Yes","Maybe","Yes","No","","","","","","","","","1","Some did","I was aware of some","Some did","Some did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them","Yes","Same answer as for physical health issues, though admittedly I'm a little slower to bring up mental health concerns due to stigma fears.","Yes","Maybe","Maybe","Somewhat open","Yes, I experienced","No","Yes","Yes","Yes","Mood Disorder","","Yes","Mood Disorder","1","Sometimes","Often","44","Male","United States of America","Washington","United States of America","Washington","Back-end Developer","Always"
"0","100-500","1","","No","Yes","No","No","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","","","","","","","","","1","No, none did","Yes, I was aware of all of them","None did","None did","No","Some of them","None of them","Some of my previous employers","Some of my previous employers","None did","Yes, all of them","Maybe","","Maybe","Maybe","Yes, I think they would","Somewhat open","Yes, I observed","Yes","No","No","Maybe","","Anxiety Disorder","No","","0","Never","Sometimes","29","male","United Kingdom","","United Kingdom","","Front-end Developer","Never"
"0","100-500","1","","No","I am not sure","Yes","No","I don't know","Somewhat easy","No","No","Maybe","Yes","I don't know","No","","","","","","","","","1","No, none did","","None did","None did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them","Yes","","Maybe","Maybe","No, I don't think they would","Very open","No","","Yes","Yes","Maybe","","Anxiety Disorder","Yes","Anxiety Disorder","1","Rarely","Sometimes","29","male","United Kingdom","","United Kingdom","","Back-end Developer","Sometimes"
"0","More than 1000","1","","Yes","Yes","I don't know","I don't know","I don't know","Neither easy nor difficult","Maybe","No","Yes","Yes","I don't know","Yes","","","","","","","","","1","Some did","No, I only became aware later","None did","Some did","I don't know","Some of them","Some of them","Yes, at all of my previous employers","Yes, at all of my previous employers","I don't know","Some of them","Yes","Because my employer needs to support me in order to get the best work possible from me","Yes","Maybe","Maybe","Very open","Yes, I observed","No","I don't know","No","No","","","No","","0","Not applicable to me","Not applicable to me","44","Male","Canada","","Canada","","Support|Other","Always"
