"Name","Code","Type","Indicator Name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Antigua and Barbuda","ATG","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","AUS","Country","Military expenditure","459760073.6","470960075.4","489440078.3","553280088.5","655760104.9","787360126.0","986720157.9","1197840192.0","1321600211.0","1314880210.0","1277360204.0","1331754789.0","1484443745.0","1855729307.0","2127274763.0","2268707674.0","2441084025.0","2500485127.0","2816316206.0","3100685079.0","3657867290.0","4323644157.0","4459544582.0","4511671066.0","4925319433.0","4386859326.0","4606710028.0","5057135655.0","5836347868.0","6300015815.0","6704213698.0","7023509067.0","6882091580.0","6733829290.0","7459696582.0","7665878446.0","8202776517.0","7936884917.0","7107542891.0","7770250653.0","7273760313.0","7043145895.0","7946766202.0","9926649415.0","11995219710.0","13237798499.0","14239779513.0","17186440962.0","18633092318.0","18960138513.0","23217692816.0","26597198655.0","26216580848.0","24825262589.0","25783708714.0","24045569111.0","26382947050.0","27691112417.0","26711834225.0"
"Austria","AUT","Country","Military expenditure","91559097.96","91029854.62","100026991.4","125959915.1","164594679.0","142895702.0","167770139.0","176767275.8","182059709.2","193173819.4","199524739.5","209277606.7","249425547.4","328898821.4","422543505.8","546724394.0","581408727.3","686893244.3","877450655.2","1049972515.0","1152895906.0","969372327.1","995369996.9","991995097.5","949715291.7","1036872489.0","1475426089.0","1737112605.0","1713954577.0","1623488055.0","1972701682.0","1994055546.0","2139925322.0","2115115267.0","2227560550.0","2557834494.0","2457903049.0","2164802343.0","2159796003.0","2124379546.0","1925557398.0","1788798311.0","1881746741.0","2381962769.0","2679282065.0","2686166244.0","2640185362.0","3499817967.0","3746731607.0","3334754940.0","3218351224.0","3409721209.0","3187227449.0","3229065841.0","3305159256.0","2665409782.0","2885947386.0","3138359204.0","3367460383.0"
"Azerbaijan","AZE","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11070110.7","77519379.84","43942747.06","66159968.91","71606841.24","92086691.97","107262858.6","120262174.0","119575651.7","131963660.1","139894091.9","176552162.3","228249631.6","304521477.7","717111853.6","946599792.1","1607799226.0","1472909977.0","1476608734.0","3080084996.0","3246122613.0","3367574161.0","3427179917.0","2943396693.0","1396969108.0","1528859592.0","1708941176.0"
"Burundi","BDI","Country","Military expenditure","","","8420000.0","1012000.0","1162000.0","2153481.481","2286857.143","2376000.0","2590857.143","3337142.857","","2628571.429","3600000.0","5923067.599","7682539.683","8533333.333","9971014.493","13955555.56","17033333.33","20000000.0","27763333.33","29995555.56","36665555.56","34369644.2","29938434.04","32220298.12","34607737.52","30784856.43","34255493.43","37903281.72","39602347.38","42751758.83","38986476.43","36267402.59","41909745.03","42108929.88","50893980.78","61870123.83","58736036.23","50571188.26","42321552.22","53230373.11","44910067.05","43413201.31","44872377.15","49557129.38","44717502.04","46308706.22","43856319.95","","","","58966662.28","60859500.09","62177294.74","66164584.44","66462843.08","63908678.43","65436595.26"
"Belgium","BEL","Country","Military expenditure","383220247.4","391218827.4","422220787.9","444601321.5","497059226.9","500722082.8","563377895.4","607918707.2","646381114.5","675078864.4","747755088.9","828721558.4","1026588091.0","1296519775.0","1482318436.0","1927662478.0","2109619988.0","2496513862.0","3166647025.0","3631580468.0","3958575327.0","3385176171.0","2891774968.0","2671831608.0","2407447484.0","2428223977.0","3404311038.0","4162992929.0","4097149308.0","3880733006.0","4644324241.0","4624500746.0","4131298112.0","3746042851.0","3944101813.0","4449014835.0","4241865968.0","3684095389.0","3664288413.0","3598447520.0","3190805233.0","3036035472.0","3147146017.0","3875697772.0","4262663513.0","4228224643.0","4307895341.0","5163979974.0","6295821584.0","5620670063.0","5244720513.0","5499370964.0","5168997834.0","5263164883.0","5191509381.0","4202062770.0","4314102067.0","4484652582.0","4959692173.0"
"Benin","BEN","Country","Military expenditure","1301005.322","2173203.947","2734537.618","2963071.799","3803662.454","3994923.713","3724387.206","3910553.209","4293821.825","4015987.013","4099087.202","4285361.496","4904216.992","6698401.446","6447726.47","7857666.124","7160493.827","10147346.14","8552841.493","17562828.48","23617947.75","17186114.21","16554779.89","17765951.31","21237787.7","19810222.52","26277338.54","35602937.41","36931589.27","28525930.38","32817291.98","","","","","","","","","17843134.39","14496275.16","13112535.62","26000447.64","34544046.8","41780478.34","44706029.56","46786130.93","","64724601.11","","","","78223091.04","86003157.64","92990706.19","90896085.89","79581568.05","116142782.4","90212425.99"
"Burkina Faso","BFA","Country","Military expenditure","1268378.23","1643154.204","4901760.716","5281287.753","5358593.135","3509330.33","3907553.79","3695106.93","3760628.522","4023680.475","4185916.94","4343468.092","4947862.936","6079259.183","6269084.564","18062366.73","19531282.7","22903777.27","32372283.48","32032417.9","35360658.84","33915894.76","32866107.13","29317755.98","26968328.69","27106616.84","51180170.14","50712557.85","57186887.27","66816506.17","84465502.36","69505542.22","71116618.56","60526975.63","30259093.49","36862814.24","37141874.14","38549246.23","39494738.56","41741175.48","36658539.05","36832965.23","42468449.96","50757054.37","65684242.41","73843342.16","72632867.33","107816728.5","116999586.9","127333296.6","123700474.7","138850860.2","147729698.9","166136345.2","177166954.9","147934736.7","149467363.2","191065838.8","312467611.0"
"Bangladesh","BGD","Country","Military expenditure","","","","","","","","","","","","","","48606800.13","72298235.04","80830559.47","105287729.1","128522908.8","134871031.7","136251932.9","167255351.2","174106138.7","184674562.5","231804492.5","244337571.5","224948007.1","248796417.2","288311839.7","331995586.6","378796135.2","373023439.0","381720110.1","427723625.0","471044672.3","547417522.2","620095155.9","638958844.8","681915124.0","701585600.4","737412573.6","740798160.0","705481695.2","681816161.7","719442956.9","770641160.3","773677668.2","829682794.8","953464223.6","1030020018.0","1258791157.0","1624625086.0","1801539802.0","1823425076.0","2047989071.0","2355991525.0","2815281641.0","3239738758.0","3594007980.0","3894695211.0"
"Bulgaria","BGR","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2071428571.0","794520547.9","232176386.6","255770911.5","282674243.3","241993434.8","311147105.6","213616356.3","244369396.2","320389011.3","357224539.6","351343204.9","406003542.8","455950466.5","569054077.5","650748201.7","699433973.1","750992451.6","1032154228.0","1038051933.0","963254164.0","893467534.0","829031753.5","807529319.0","899584003.5","835716950.6","660847880.3","755406457.6","824187016.9","1095591047.0"
"Bahrain","BHR","Country","Military expenditure","","","","","","","","","","","","11583922.36","12539956.86","16765508.09","26346455.9","16434892.54","26289247.45","40439782.64","116143119.3","157225700.1","175066313.0","239361702.1","311170212.8","183510638.3","164893617.0","167553191.5","178191489.4","178191489.4","207446808.5","218085106.4","239361702.1","263297872.3","279255319.1","279255319.1","284574468.1","303191489.4","321808510.6","321808510.6","329787234.0","364361702.1","359042553.2","372340425.5","444148936.2","515957446.8","531914893.6","513297872.3","574202127.7","642553191.5","719946808.5","828191489.4","842819148.9","1033510638.0","1182180851.0","1347606383.0","1475265957.0","1442021277.0","1505534574.0","1532712766.0","1396808511.0"
"Bahamas","BHS","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","BIH","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241025517.6","202282838.9","200100307.3","173304847.7","178375570.1","195049685.1","233292390.7","242471357.8","219915489.5","211878260.6","197344650.2","197617188.8","190380454.6","162215681.9","157912010.6","164638050.3","221131597.1"
"Belarus","BLR","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179081676.9","182805614.6","249384139.4","227586087.3","165903848.9","140326204.7","177697841.7","204364237.4","231563860.4","314314017.8","452684068.3","631831238.1","746943264.0","883027522.9","675426505.1","767699285.9","756277351.3","817069894.1","971107820.3","1010827014.0","723659955.0","597207572.1","631145399.2","715166688.7"
"Belize","BLZ","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","2079250.0","2576875.0","2899750.0","3256125.0","3263000.0","","","","4355375.0","4768750.0","4732875.0","5292125.0","6130375.0","7899375.0","8052875.0","7965875.0","9395000.0","","","7116125.0","7454662.5","7829937.5","8552225.0","9486150.0","10710962.5","12283037.5","13759075.0","18717737.5","17267537.5","15337250.0","15416250.0","15219125.0","17778875.0","19916875.0","19717625.0","21712887.5","23456750.0","23083112.5"
"Bermuda","BMU","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bolivia","BOL","Country","Military expenditure","","4935417.964","5195618.571","6404292.358","","","","","11583123.79","12254609.23","16787135.93","15863843.46","20700640.94","21129139.97","39766636.07","58304466.42","66776055.56","73254329.6","97672439.47","119737096.1","159008134.9","238715537.6","123726843.5","89973482.6","144680785.7","131208000.2","92869207.22","103362387.2","92916951.67","101690872.4","137065127.5","143643960.1","141441910.3","109897118.0","134595240.4","140760862.8","146963017.8","180200446.9","228677000.4","176744242.1","173245422.5","184397571.0","160437935.8","173431324.8","168881603.1","169262316.4","179525489.2","221280687.8","327194708.2","345777777.8","327413146.1","403568566.1","499870043.4","564409840.8","625885094.1","575524224.9","552381263.9","574070189.6","618842083.1"
"Brazil","BRA","Country","Military expenditure","382729752.1","342339720.8","387449035.5","441999606.2","354227857.1","632869026.5","718216574.6","746139163.6","755307566.7","816622811.0","1026234374.0","1075071453.0","1195501488.0","1512670977.0","1790114213.0","2141126693.0","2576476982.0","2499644658.0","2690623102.0","2829161200.0","2259307479.0","2517859757.0","3031328924.0","2082669251.0","2013151758.0","2687049984.0","2758186568.0","4323674770.0","5874167753.0","8761486966.0","9236296955.0","6694665295.0","4993804467.0","7099899155.0","10591499118.0","14318919608.0","14073226545.0","13934266552.0","14357357047.0","9866973919.0","11344032535.0","10930231568.0","9664561903.0","8392905884.0","9780111585.0","13588619736.0","16404867307.0","20485758015.0","24452903036.0","25648809911.0","34002944470.0","36936209896.0","33987005074.0","32874787231.0","32659614241.0","24617701683.0","24224746901.0","29283050314.0","27766427104.0"
"Barbados","BRB","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei Darussalam","BRN","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","97366249.74","101752153.3","110162485.9","104464429.9","178392184.5","186129028.9","231168587.6","245434285.5","251692787.5","233941291.9","261876080.2","285738475.2","328359479.2","369070790.2","293977055.4","258413177.9","244205202.0","217667939.2","226182431.5","243373245.0","199381149.3","248588079.8","293436463.5","323137150.8","361989034.5","349759722.8","390719540.0","415371529.0","411261473.9","412094279.8","527785231.7","424022039.2","403366488.7","346706804.4","346588691.0"
"Bhutan","BTN","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Botswana","BWA","Country","Military expenditure","","","","","","","","","","","","","","","","","","5650505.962","14305862.29","24355619.03","31844060.6","31162681.75","23551463.59","24454614.24","26109660.57","20997913.35","34310908.18","73826342.81","93747094.76","102798415.8","156250839.8","172269188.2","177986045.6","185671482.9","170433762.3","165873977.8","140560134.8","160507675.1","181051047.4","169578756.2","184718394.6","210322093.6","223549258.8","301014357.8","314038897.1","283835745.1","272934274.8","306451402.7","332400254.3","330147278.7","348672725.3","363324481.2","326874161.7","306438573.6","346281450.3","383739877.5","514463449.2","522430455.5","529481042.0"
"Central African Republic","CAF","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21598187.92","23185438.17","19144450.37","10689745.23","13014176.16","12196218.57","","","","","","10681962.96","15018926.36","15103589.92","15396194.65","","19112519.74","31511483.79","35992384.36","51585274.5","49874328.73","42746025.19","47923245.08","38407006.26","26703863.39","26832998.82","27516264.18","30951301.32"
"Canada","CAN","Country","Military expenditure","1702442711.0","1677820881.0","1671313753.0","1610091701.0","1657457283.0","1574704540.0","1614422827.0","1775500366.0","1797265817.0","1770108751.0","1889157918.0","2077659711.0","2233737031.0","2363060955.0","2809465529.0","3180915490.0","3581805735.0","3752174526.0","3969158477.0","4084145738.0","4744402251.0","5141128191.0","6017321456.0","6947104072.0","7349795764.0","7460563318.0","7780136740.0","8694447168.0","9897335684.0","10747134689.0","11414631847.0","11338503299.0","10788803124.0","10268822622.0","9577377640.0","9176903908.0","8615884471.0","7945140183.0","7748607984.0","8210778540.0","8299385231.0","8375571425.0","8495399281.0","9958245602.0","11336489831.0","12988132964.0","14809892803.0","17417139931.0","19342058405.0","18936226052.0","19315688825.0","21393720864.0","20452107111.0","18515731210.0","17853720278.0","17937641895.0","17782775543.0","21343371455.0","21620598712.0"
"Central Europe and the Baltics","CEB","Regions Clubbed Geographically","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950091181.0","4921672408.0","4053915446.0","4844770755.0","6397697330.0","7369251245.0","8826211623.0","8912763074.0","8949858772.0","9216475552.0","8322771004.0","7819364628.0","8692492163.0","9813280324.0","11579104282.0","13174732647.0","15586419367.0","16886180864.0","20891520173.0","23340425676.0","19767826118.0","19462448031.0","20478373564.0","18980363983.0","19606008303.0","20730298879.0","19724301713.0","19501560114.0","22023783014.0","26681204886.0"
"Switzerland","CHE","Country","Military expenditure","200093758.2","237368366.9","273728261.2","294995369.3","329525835.0","343475228.4","378234372.7","383265301.5","373889479.6","409105981.1","436090053.6","511387689.4","601426981.7","764969998.4","888478644.0","1032046117.0","1228176857.0","1226534416.0","1668885136.0","1945005774.0","1996765550.0","1810878508.0","1928314953.0","1946035043.0","1807905757.0","1966928897.0","2565428146.0","3020406521.0","3276156632.0","3082038963.0","4056408189.0","4016764413.0","4138043834.0","3611212626.0","3899275421.0","4645360982.0","4239447901.0","3498218851.0","3494250971.0","3146822887.0","2800146846.0","2763655325.0","2882696762.0","3270337504.0","3503819863.0","3484636759.0","3328973394.0","3524746536.0","4098459038.0","4055544323.0","4115407849.0","4973863849.0","4592165378.0","5032883664.0","4612776715.0","4521076909.0","4571348247.0","4628401509.0","4795847181.0"
"Channel Islands","CHI","Semi Autonomous Region","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","CHL","Country","Military expenditure","126791042.6","160930923.5","162626224.4","152917455.4","149950377.7","168215772.4","186697964.8","182705341.3","173781024.3","179980922.7","388383950.3","651589862.9","745661188.8","1005919720.0","1103190481.0","486720076.9","599806958.7","924042756.7","1036145035.0","1312899709.0","1787179487.0","2292307692.0","2160747854.0","1497684301.0","1462262953.0","1137635211.0","1114393822.0","1166781370.0","999951022.8","988934423.2","1031475584.0","1038039494.0","1168858391.0","1291053676.0","1466048832.0","1827997369.0","1904105834.0","2120702608.0","2112373123.0","2043134812.0","2103460610.0","1893098224.0","1779553138.0","2067983998.0","2687320866.0","3100391591.0","3855358069.0","4022478104.0","4641877576.0","3902221588.0","4894081125.0","5686752070.0","5466101782.0","5529879481.0","5102779356.0","4630772774.0","4796010962.0","5370018135.0","5570724563.0"
"China","CHN","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11403453020.0","10085081567.0","9953641758.0","12420300875.0","12577165930.0","10050586559.0","12606229599.0","14563240390.0","16104915232.0","17527989869.0","21027341242.0","22929764607.0","27875387284.0","32137735649.0","35126306608.0","40352713136.0","45918881613.0","55337487669.0","68011562228.0","86362099113.0","106000000000.0","116000000000.0","138000000000.0","157000000000.0","180000000000.0","201000000000.0","214000000000.0","216000000000.0","228000000000.0","250000000000.0"
"Cote d'Ivoire","CIV","Country","Military expenditure","","","8766845.976","8064779.443","11190603.48","12902909.89","13269401.41","14711322.31","15305071.4","16156269.59","17727738.12","23968971.08","31742504.8","28713844.11","41129183.02","45886157.16","52462858.34","51449039.4","86764810.15","102735025.1","118473116.2","92002752.72","86425689.12","76251882.88","70164798.82","69565043.19","96559112.46","122780223.4","128102253.5","129676998.7","143973702.1","144168701.9","156797334.3","148635238.4","84071649.21","","102660140.1","93525611.26","","","","","","213007570.5","250811588.4","249872978.1","267360247.9","323619193.5","368910574.9","420059044.5","387692140.0","357330259.0","407596534.1","430003643.4","521260479.6","569671147.2","602538731.2","501578732.2","607848217.9"
"Cameroon","CMR","Country","Military expenditure","","","","","","","","","","","20339866.07","21501256.56","24894059.39","31636823.71","34625371.31","46770377.91","48470391.3","55167290.78","71436168.33","88354754.09","99867474.44","120247597.8","131616586.4","129898757.7","127243641.8","116190293.9","145411861.2","163128000.9","154370685.7","146869357.5","180577745.9","178198343.2","183796639.1","168175220.6","94517340.44","113575532.7","116936303.6","118711118.8","137245911.5","144704636.5","123034343.9","124301708.4","145626610.5","188499655.9","221107924.7","223084623.1","256927843.3","296698917.3","346586125.7","343265154.0","354054397.8","347477885.7","354447463.1","392840660.7","401529079.8","353815199.9","387437830.9","408157575.1","429892180.6"
"Congo, Dem. Rep.","COD","Country","Military expenditure","","","","58217821.78","49818181.82","78909090.91","78363636.36","45907648.68","50479041.92","72455089.82","102395209.6","101796407.2","94011976.05","102395209.6","189221556.9","173652694.6","120795356.0","161471103.3","214951896.0","190944707.6","152183675.0","71671583.96","147162426.6","78919799.79","53403541.41","40371344.17","67436312.94","28297227.67","214939929.1","67494749.1","45933813.55","43891987.21","85527294.36","469173805.5","","","89269879.98","83825040.92","26629667.19","149277860.3","132883821.7","","","78708031.88","137637805.5","165205060.9","205102086.6","205217223.0","159998426.6","122378011.0","183682097.5","238787546.6","332493979.4","374475561.3","341224738.6","491276856.5","395733745.2","295236074.3","295348364.6"
"Congo, Rep.","COG","Country","Military expenditure","","","","","","","","","","","13100436.68","13749473.41","12744615.68","19426710.16","24137429.63","33493068.55","34337727.56","36633018.56","37960435.35","52566260.19","57416698.22","63535260.98","72427162.01","","49423627.5","55646692.47","","100513414.3","","","","","125617699.1","109477580.1","","","","","","","","54445943.53","70704230.2","93776668.96","124298437.4","100916074.5","126569641.8","168079588.2","207724344.3","","218390920.6","","","367057323.3","704893662.2","","501812144.9","371937055.1","292260465.3"
"Colombia","COL","Country","Military expenditure","75960813.87","97313432.84","153596253.4","170000000.0","190000000.0","185202864.0","172592592.6","178541885.0","141184847.8","131638962.8","162662459.1","263898574.6","170587589.6","173879934.0","194904101.8","227942151.2","229146910.6","280082338.8","360663621.1","467687274.7","611248236.6","638643433.3","667866120.9","859813605.6","889730898.6","716735061.0","679498200.9","721331206.4","862374404.2","865205662.8","889979074.5","911467589.2","1102357227.0","1529432893.0","2005122888.0","2619338187.0","4318552316.0","2988711261.0","3389806738.0","3247296766.0","3027922793.0","3264438192.0","3347522602.0","3278369503.0","4056896991.0","4914190182.0","5326664238.0","6775762767.0","9051130502.0","9033202673.0","10422054494.0","10306578506.0","11706271913.0","12503812627.0","11845957098.0","9127165375.0","8675980823.0","10018029818.0","10602860967.0"
"Comoros","COM","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cabo Verde","CPV","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","3687650.142","3394021.938","4454431.91","4967860.701","5078572.172","","","","3557902.66","2735413.408","3431398.887","6206630.034","4261939.788","4099737.381","4513154.879","5004734.208","6801072.798","4638556.172","4520858.938","5782831.643","6452150.492","7082416.548","6985154.839","7943659.594","10758715.97","8402927.293","8239369.292","9757536.562","9736385.839","9815667.259","10049332.21","8922219.455","10171216.5","9354384.166","10714071.13"
"Costa Rica","CRI","Country","Military expenditure","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Caribbean small states","CSS","Regions Clubbed Geographically","Military expenditure","","","","","","","","","","","","","","","","","74059004.84","70219123.72","","","","104567945.2","","","","","","","","","","","","77754357.77","71806248.64","","","","","","","82145538.41","100872444.8","113479984.4","162040671.5","186300164.4","219665997.2","246993486.0","319035957.2","301655230.5","305046766.2","327552252.6","355159679.7","392549709.7","369393544.5","392126504.3","427200740.1","429494239.1","459997692.7"
"Cuba","CUB","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296933962.3","62047619.05","78557142.86","76587443.95","83365638.77","89057268.72","92462555.07","94277533.04","93744493.39","126872246.7","119383259.9","125638766.5","118370044.1","123656387.7","122552919.0",""
"Curacao","CUW","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cayman Islands","CYM","Semi Autonomous Region","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","CYP","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","30737332.91","48729244.32","199500731.1","243815864.4","244995663.3","411409063.3","418387368.7","630127106.0","268277271.6","298469126.9","298833385.5","448075909.3","534141188.7","483748645.1","289970367.0","281160374.3","327627160.3","242483491.0","288427605.8","338474566.3","380875028.8","387703672.0","405176368.5","453803054.2","471352781.1","477587428.6","479735318.4","414496321.4","384925361.0","357806840.0","327891760.0","295355010.0","357380920.8","381879772.9"
"Czech Republic","CZE","Country","Military expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","815585466.9","938252776.6","1065352459.0","1123923831.0","988324331.8","1166099773.0","1205931870.0","1157294085.0","1182519922.0","1494390397.0","1885706689.0","2042085931.0","2439538514.0","2449963710.0","2707677752.0","2918695853.0","2718559513.0","2497902955.0","2474313259.0","2220610395.0","2148784401.0","2022883295.0","1779887189.0","1954935000.0","2077722061.0","2710017583.0"
