"Number","Name","Country","Region","Type","Activity Evidence","Last Known Eruption","Latitude","Longitude","Elevation (Meters)","Dominant Rock Type","Tectonic Setting"
"211800","Amiata","Italy","Mediterranean and Western Asia","Lava dome","Unrest / Pleistocene","Unknown","42.9","11.63","1738","","Subduction Zone / Continental Crust"
"212020","Methana","Greece","Mediterranean and Western Asia","Lava dome","Eruption Observed","258 BCE","37.615","23.336","760","Andesite / Basaltic Andesite","Subduction Zone / Continental Crust"
"212030","Milos","Greece","Mediterranean and Western Asia","Stratovolcano","Eruption Dated","140 CE","36.699","24.439","751","Rhyolite","Subduction Zone / Continental Crust"
"212040","Santorini","Greece","Mediterranean and Western Asia","Shield","Eruption Observed","1950 CE","36.404","25.396","367","Dacite","Subduction Zone / Continental Crust"
"212050","Nisyros","Greece","Mediterranean and Western Asia","Stratovolcano","Eruption Observed","1888 CE","36.586","27.16","698","Dacite","Subduction Zone / Continental Crust"
"212051","Yali","Greece","Mediterranean and Western Asia","Lava dome","Evidence Credible","Unknown","36.671","27.14","180","Rhyolite","Subduction Zone / Continental Crust"
"212805","Kos","Greece","Mediterranean and Western Asia","Caldera","Unrest / Pleistocene","Unknown","36.852","27.251","430","","Subduction Zone / Continental Crust"
"213000","Kula","Turkey","Mediterranean and Western Asia","Pyroclastic cone","Evidence Credible","Unknown","38.58","28.52","750","Trachybasalt / Tephrite Basanite","Intraplate / Continental Crust"
"213001","Karapinar Field","Turkey","Mediterranean and Western Asia","Pyroclastic cone","Evidence Credible","Unknown","37.67","33.65","1302","Trachyandesite / Basaltic Trachyandesite","Intraplate / Continental Crust"
"213002","Hasan Dagi","Turkey","Mediterranean and Western Asia","Stratovolcano","Evidence Credible","Unknown","38.13","34.17","3253","Dacite","Intraplate / Continental Crust"
"213003","Gollu Dag","Turkey","Mediterranean and Western Asia","Lava dome","Evidence Uncertain","Unknown","38.25","34.57","2143","Rhyolite","Intraplate / Continental Crust"
"213004","Acigol-Nevsehir","Turkey","Mediterranean and Western Asia","Caldera","Eruption Dated","2080 BCE","38.537","34.621","1683","Rhyolite","Intraplate / Continental Crust"
"213010","Erciyes Dagi","Turkey","Mediterranean and Western Asia","Stratovolcano","Eruption Dated","6880 BCE","38.531","35.447","3864","Dacite","Intraplate / Continental Crust"
"213011","Karaca Dag","Turkey","Mediterranean and Western Asia","Shield","Evidence Credible","Unknown","37.67","39.83","1957","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"213020","Nemrut Dagi","Turkey","Mediterranean and Western Asia","Stratovolcano","Eruption Observed","1650 CE","38.654","42.229","2948","Rhyolite","Intraplate / Continental Crust"
"213030","Tenduruk Dagi","Turkey","Mediterranean and Western Asia","Shield","Eruption Observed","1855 CE","39.356","43.874","3514","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"213040","Ararat","Turkey","Mediterranean and Western Asia","Stratovolcano","Eruption Observed","1840 CE","39.7","44.3","5165","Andesite / Basaltic Andesite","Intraplate / Continental Crust"
"214010","Elbrus","Russia","Mediterranean and Western Asia","Stratovolcano","Eruption Dated","50 CE","43.351","42.442","5642","Dacite","Intraplate / Continental Crust"
"214020","Kazbek","Georgia","Mediterranean and Western Asia","Stratovolcano","Eruption Dated","750 BCE","42.7","44.5","5050","Andesite / Basaltic Andesite","Intraplate / Continental Crust"
"214050","Samsari Volcanic Center","Georgia","Mediterranean and Western Asia","Lava cone","Evidence Uncertain","Unknown","41.542","43.7","3290","Andesite / Basaltic Andesite","Intraplate / Continental Crust"
"214060","Aragats","Armenia","Mediterranean and Western Asia","Stratovolcano","Evidence Credible","Unknown","40.53","44.2","4095","Andesite / Basaltic Andesite","Intraplate / Continental Crust"
"214070","Ghegam Ridge","Armenia","Mediterranean and Western Asia","Volcanic field","Eruption Dated","1900 BCE","40.275","44.75","3597","Andesite / Basaltic Andesite","Intraplate / Continental Crust"
"214080","Dar-Alages","Armenia","Mediterranean and Western Asia","Volcanic field","Eruption Dated","2000 BCE","39.704","45.551","1637","Andesite / Basaltic Andesite","Intraplate / Continental Crust"
"214090","Porak","Armenia-Azerbaijan","Mediterranean and Western Asia","Stratovolcano","Eruption Dated","778 BCE","40.028","45.74","3029","Andesite / Basaltic Andesite","Intraplate / Continental Crust"
"214100","Tskhouk-Karckar","Armenia-Azerbaijan","Mediterranean and Western Asia","Pyroclastic cone","Eruption Dated","3000 BCE","39.73","46.02","3000","Andesite / Basaltic Andesite","Intraplate / Continental Crust"
"221010","Tair, Jebel at","Yemen","Africa and Red Sea","Stratovolcano","Eruption Observed","2008 CE","15.55","41.83","244","Trachybasalt / Tephrite Basanite","Rift Zone / Oceanic Crust"
"221020","Zubair Group","Yemen","Africa and Red Sea","Shield","Eruption Observed","2013 CE","15.05","42.18","191","Basalt / Picro-Basalt","Rift Zone / Oceanic Crust"
"221021","Zukur","Yemen","Africa and Red Sea","Shield","Evidence Credible","Unknown","14.02","42.75","624","Basalt / Picro-Basalt","Rift Zone / Oceanic Crust"
"221022","Hanish","Yemen","Africa and Red Sea","Shield","Evidence Credible","Unknown","13.72","42.73","422","Basalt / Picro-Basalt","Rift Zone / Oceanic Crust"
"221030","Jalua","Eritrea","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","15.042","39.82","713","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221040","Alid","Eritrea","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","14.88","39.92","904","Rhyolite","Rift Zone / Intermediate Crust"
"221041","Dallol","Ethiopia","Africa and Red Sea","Explosion crater","Eruption Observed","2011 CE","14.242","40.3","-48","No Data","Rift Zone / Intermediate Crust"
"221050","Gada Ale","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","13.975","40.408","287","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221060","Alu-Dalafilla","Ethiopia","Africa and Red Sea","Fissure vent","Eruption Observed","2008 CE","13.793","40.553","578","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221071","Bora Ale","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","13.725","40.6","668","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221080","Erta Ale","Ethiopia","Africa and Red Sea","Shield","Eruption Observed","2016 CE","13.6","40.67","613","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221090","Ale Bagu","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","13.52","40.63","1031","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221091","Hayli Gubbi","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown","13.5","40.72","521","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221100","Dubbi","Eritrea","Africa and Red Sea","Stratovolcano","Eruption Observed","1861 CE","13.579","41.809","1625","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221101","Nabro","Eritrea","Africa and Red Sea","Stratovolcano","Eruption Observed","2012 CE","13.37","41.7","2218","Trachyte / Trachydacite","Rift Zone / Intermediate Crust"
"221102","Mallahle","Ethiopia-Eritrea","Africa and Red Sea","Stratovolcano","Evidence Uncertain","Unknown","13.27","41.65","1875","Trachyte / Trachydacite","Rift Zone / Intermediate Crust"
"221103","Sork Ale","Ethiopia-Eritrea","Africa and Red Sea","Stratovolcano","Evidence Uncertain","Unknown","13.18","41.725","1611","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221104","Asavyo","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown","13.098","41.599","1338","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221105","Mat Ala","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown","13.106","41.161","493","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221106","Tat Ali","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown","13.284","41.063","655","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221107","Borawli","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","13.304","40.987","784","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221110","Afdera","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Uncertain","Unknown","13.088","40.853","1250","Rhyolite","Rift Zone / Intermediate Crust"
"221111","Ma Alalta","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","13.013","40.185","1745","Rhyolite","Rift Zone / Intermediate Crust"
"221112","Alayta","Ethiopia","Africa and Red Sea","Shield","Eruption Observed","1915 CE","12.888","40.573","1496","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221113","Dabbahu","Ethiopia","Africa and Red Sea","Stratovolcano","Eruption Observed","2005 CE","12.595","40.48","1401","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221114","Dabbayra","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown","12.38","40.07","1302","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221115","Manda Hararo","Ethiopia","Africa and Red Sea","Shield","Eruption Observed","2009 CE","12.17","40.82","600","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221116","Groppo","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","11.73","40.25","930","Rhyolite","Rift Zone / Intermediate Crust"
"221120","Kurub","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown","11.88","41.208","625","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221121","Borawli","Ethiopia","Africa and Red Sea","Lava dome","Evidence Credible","Unknown","11.63","41.45","875","Rhyolite","Rift Zone / Intermediate Crust"
"221122","Manda-Inakir","Ethiopia-Djibouti","Africa and Red Sea","Fissure vent","Eruption Observed","1928 CE","12.38","42.2","600","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221123","Mousa Alli","Ethiopia-Eritrea-Djibouti","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","12.47","42.4","2028","Rhyolite","Rift Zone / Intermediate Crust"
"221124","Gufa","Eritrea-Djibouti","Africa and Red Sea","Volcanic field","Evidence Credible","Unknown","12.55","42.53","600","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221125","Assab Volcanic Field","Eritrea","Africa and Red Sea","Volcanic field","Evidence Credible","Unknown","12.95","42.43","987","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221126","Ardoukoba","Djibouti","Africa and Red Sea","Fissure vent","Eruption Observed","1978 CE","11.58","42.47","298","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221127","Manda Gargori","Ethiopia","Africa and Red Sea","Fissure vent","Evidence Credible","Unknown","11.75","41.48","0","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221141","Dama Ali","Ethiopia","Africa and Red Sea","Shield","Eruption Observed","1631 CE","11.28","41.63","1068","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221150","Gabillema","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","11.08","41.27","1459","Rhyolite","Rift Zone / Intermediate Crust"
"221151","Yangudi","Ethiopia","Africa and Red Sea","Complex","Evidence Credible","Unknown","10.58","41.042","1383","Rhyolite","Rift Zone / Intermediate Crust"
"221160","Ayelu","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","10.082","40.702","2145","Rhyolite","Rift Zone / Intermediate Crust"
"221170","Adwa","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","10.07","40.84","1733","Rhyolite","Rift Zone / Intermediate Crust"
"221171","Hertali","Ethiopia","Africa and Red Sea","Fissure vent","Evidence Credible","Unknown","9.78","40.33","900","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221172","Liado Hayk","Ethiopia","Africa and Red Sea","Maar","Evidence Uncertain","Unknown","9.57","40.28","878","No Data","Rift Zone / Continental Crust"
"221180","Dofan","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","9.35","40.13","1151","Rhyolite","Rift Zone / Continental Crust"
"221190","Fentale","Ethiopia","Africa and Red Sea","Stratovolcano","Eruption Observed","1820 CE","8.975","39.93","2007","Rhyolite","Rift Zone / Continental Crust"
"221191","Beru","Ethiopia","Africa and Red Sea","Volcanic field","Evidence Credible","Unknown","8.95","39.75","1100","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"221200","Kone","Ethiopia","Africa and Red Sea","Caldera","Eruption Observed","1820 CE","8.8","39.692","1619","Rhyolite","Rift Zone / Continental Crust"
"221201","Unnamed","Ethiopia","Africa and Red Sea","Pyroclastic cone","Evidence Credible","Unknown","8.698","39.64","1413","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"221210","Boset-Bericha","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","8.558","39.475","2447","Rhyolite","Rift Zone / Continental Crust"
"221220","Bishoftu Volcanic Field","Ethiopia","Africa and Red Sea","Fissure vent","Evidence Credible","Unknown","8.78","38.98","1850","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"221222","Sodore","Ethiopia","Africa and Red Sea","Pyroclastic cone","Evidence Credible","Unknown","8.43","39.35","1765","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"221230","Gedamsa","Ethiopia","Africa and Red Sea","Caldera","Evidence Credible","Unknown","8.35","39.18","1984","Rhyolite","Rift Zone / Continental Crust"
"221240","Bora-Bericcio","Ethiopia","Africa and Red Sea","Pyroclastic cone","Evidence Credible","Unknown","8.221","39.05","2267","Rhyolite","Rift Zone / Continental Crust"
"221250","Tullu Moje","Ethiopia","Africa and Red Sea","Pyroclastic cone","Eruption Observed","1900 CE","8.159","39.137","2343","Rhyolite","Rift Zone / Continental Crust"
"221251","Unnamed","Ethiopia","Africa and Red Sea","Fissure vent","Evidence Credible","Unknown","8.013","39.062","1886","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"221252","East Zway","Ethiopia","Africa and Red Sea","Fissure vent","Evidence Credible","Unknown","7.874","38.902","1889","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"221260","Butajiri-Silti Field","Ethiopia","Africa and Red Sea","Fissure vent","Evidence Credible","Unknown","8.05","38.35","2281","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"221270","Alutu","Ethiopia","Africa and Red Sea","Stratovolcano","Eruption Dated","50 BCE","7.77","38.78","2335","Rhyolite","Rift Zone / Continental Crust"
"221280","O'a Caldera","Ethiopia","Africa and Red Sea","Caldera","Evidence Credible","Unknown","7.47","38.58","2075","Rhyolite","Rift Zone / Continental Crust"
"221290","Corbetti Caldera","Ethiopia","Africa and Red Sea","Caldera","Evidence Credible","Unknown","7.18","38.43","2320","Rhyolite","Rift Zone / Continental Crust"
"221291","Bilate River Field","Ethiopia","Africa and Red Sea","Maar","Unrest / Holocene","Unknown","7.07","38.1","1700","No Data","Intraplate / Continental Crust"
"221292","Tepi","Ethiopia","Africa and Red Sea","Shield","Unrest / Holocene","Unknown","7.42","35.43","2728","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"221293","Hobicha Caldera","Ethiopia","Africa and Red Sea","Caldera","Evidence Uncertain","Unknown","6.78","37.83","1800","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"221300","Chiracha","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Uncertain","Unknown","6.712","38.085","1636","Rhyolite","Rift Zone / Continental Crust"
"221310","Tosa Sucha","Ethiopia","Africa and Red Sea","Pyroclastic cone","Evidence Credible","Unknown","5.93","37.57","1650","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"221311","Unnamed","Ethiopia","Africa and Red Sea","Pyroclastic cone","Evidence Credible","Unknown","5.65","37.67","1200","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"221320","Korath Range","Ethiopia","Africa and Red Sea","Tuff cone","Evidence Uncertain","Unknown","5.1","35.88","912","Trachybasalt / Tephrite Basanite","Rift Zone / Intermediate Crust"
"221330","Mega Basalt Field","Ethiopia-Kenya","Africa and Red Sea","Pyroclastic cone","Evidence Credible","Unknown","4.08","37.42","1067","Basalt / Picro-Basalt","Rift Zone / Intermediate Crust"
"222001","North Island","Kenya","Africa and Red Sea","Tuff cone","Evidence Credible","Unknown","4.059","36.049","490","Trachyandesite / Basaltic Trachyandesite","Rift Zone / Continental Crust"
"222010","Central Island","Kenya","Africa and Red Sea","Tuff cone","Evidence Credible","Unknown","3.496","36.04","518","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"222020","South Island","Kenya","Africa and Red Sea","Stratovolcano","Eruption Observed","1888 CE","2.63","36.6","800","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"222021","Marsabit","Kenya","Africa and Red Sea","Shield","Evidence Uncertain","Unknown","2.32","37.97","1707","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"222030","Barrier, The","Kenya","Africa and Red Sea","Shield","Eruption Observed","1921 CE","2.32","36.57","1032","Trachyte / Trachydacite","Rift Zone / Continental Crust"
"222040","Namarunu","Kenya","Africa and Red Sea","Shield","Eruption Dated","6550 BCE","1.98","36.43","817","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"222050","Segererua Plateau","Kenya","Africa and Red Sea","Pyroclastic cone","Evidence Credible","Unknown","1.57","37.9","699","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"222051","Emuruangogolak","Kenya","Africa and Red Sea","Shield","Eruption Dated","1910 CE","1.5","36.33","1285","Trachyte / Trachydacite","Rift Zone / Continental Crust"
"222052","Silali","Kenya","Africa and Red Sea","Shield","Eruption Dated","5050 BCE","1.15","36.23","1528","Trachyte / Trachydacite","Rift Zone / Continental Crust"
"222053","Paka","Kenya","Africa and Red Sea","Shield","Eruption Dated","7550 BCE","0.92","36.18","1697","Trachyte / Trachydacite","Rift Zone / Continental Crust"
"222054","Korosi","Kenya","Africa and Red Sea","Shield","Evidence Credible","Unknown","0.77","36.12","1446","Trachyte / Trachydacite","Rift Zone / Continental Crust"
"222055","Ol Kokwe","Kenya","Africa and Red Sea","Shield","Evidence Credible","Unknown","0.62","36.075","1130","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"222056","Nyambeni Hills","Kenya","Africa and Red Sea","Shield","Evidence Credible","Unknown","0.23","37.87","750","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"222060","Menengai","Kenya","Africa and Red Sea","Shield","Eruption Dated","6050 BCE","-0.2","36.07","2278","Trachyte / Trachydacite","Rift Zone / Continental Crust"
"222070","Homa Mountain","Kenya","Africa and Red Sea","Complex","Evidence Credible","Unknown","-0.38","34.5","1751","Foidite","Rift Zone / Continental Crust"
"222071","Elmenteita Badlands","Kenya","Africa and Red Sea","Pyroclastic cone","Evidence Credible","Unknown","-0.52","36.27","2126","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"222080","Eburru, Ol Doinyo","Kenya","Africa and Red Sea","Complex","Evidence Credible","Unknown","-0.65","36.22","2856","Rhyolite","Rift Zone / Continental Crust"
"222090","Olkaria","Kenya","Africa and Red Sea","Pyroclastic cone","Eruption Dated","1770 CE","-0.904","36.292","2434","Rhyolite","Rift Zone / Continental Crust"
"222100","Longonot","Kenya","Africa and Red Sea","Stratovolcano","Eruption Dated","1863 CE","-0.914","36.446","2776","Trachyte / Trachydacite","Rift Zone / Continental Crust"
"222110","Suswa","Kenya","Africa and Red Sea","Shield","Evidence Credible","Unknown","-1.151","36.357","2356","Phonolite","Rift Zone / Continental Crust"
"222120","Lengai, Ol Doinyo","Tanzania","Africa and Red Sea","Stratovolcano","Eruption Observed","2013 CE","-2.764","35.914","2962","Foidite","Rift Zone / Continental Crust"
"222130","Chyulu Hills","Kenya","Africa and Red Sea","Volcanic field","Eruption Dated","1855 CE","-2.68","37.88","2188","Trachybasalt / Tephrite Basanite","Rift Zone / Continental Crust"
"222150","Kilimanjaro","Tanzania","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","-3.07","37.35","5895","Phonolite","Rift Zone / Continental Crust"
"222160","Meru","Tanzania","Africa and Red Sea","Stratovolcano","Eruption Observed","1910 CE","-3.25","36.75","4565","Phonolite","Rift Zone / Continental Crust"
"222161","Igwisi Hills","Tanzania","Africa and Red Sea","Pyroclastic cone","Eruption Dated","10450 BCE","-4.889","31.933","1146","Foidite","Rift Zone / Continental Crust"
"222164","Ngozi","Tanzania","Africa and Red Sea","Caldera","Eruption Dated","1450 CE","-8.989","33.554","2614","Trachyte / Trachydacite","Rift Zone / Continental Crust"
"222166","Rungwe","Tanzania","Africa and Red Sea","Stratovolcano","Eruption Dated","1250 CE","-9.135","33.668","2953","Trachyte / Trachydacite","Rift Zone / Continental Crust"
"222170","Kyejo","Tanzania","Africa and Red Sea","Stratovolcano","Eruption Observed","1800 CE","-9.229","33.792","2176","Trachyte / Trachydacite","Rift Zone / Continental Crust"
"222803","Bogoria","Kenya","Africa and Red Sea","Shield","Unrest / Pleistocene","Unknown","0.25","36.08","0","","Rift Zone / Continental Crust"
"223001","Fort Portal","Uganda","Africa and Red Sea","Tuff cone","Eruption Dated","2120 BCE","0.7","30.25","1615","Foidite","Rift Zone / Continental Crust"
"223002","Kyatwa","Uganda","Africa and Red Sea","Tuff cone","Evidence Uncertain","Unknown","0.45","30.25","1430","Foidite","Rift Zone / Continental Crust"
"223003","Katwe-Kikorongo","Uganda","Africa and Red Sea","Tuff cone","Evidence Credible","Unknown","-0.08","29.92","1067","Foidite","Rift Zone / Continental Crust"
"223004","Bunyaruguru","Uganda","Africa and Red Sea","Maar","Evidence Credible","Unknown","-0.2","30.08","1554","Foidite","Rift Zone / Continental Crust"
"223005","Katunga","Uganda","Africa and Red Sea","Tuff cone","Evidence Credible","Unknown","-0.471","30.191","1707","Foidite","Rift Zone / Continental Crust"
"223020","Nyamuragira","DR Congo","Africa and Red Sea","Shield","Eruption Observed","2015 CE","-1.408","29.2","3058","Trachybasalt / Tephrite Basanite","Rift Zone / Continental Crust"
"223030","Nyiragongo","DR Congo","Africa and Red Sea","Stratovolcano","Eruption Observed","2016 CE","-1.52","29.25","3470","Foidite","Rift Zone / Continental Crust"
"223040","Karisimbi","DR Congo-Rwanda","Africa and Red Sea","Stratovolcano","Eruption Dated","8050 BCE","-1.506","29.45","4490","Trachybasalt / Tephrite Basanite","Rift Zone / Continental Crust"
"223050","Visoke","DR Congo-Rwanda","Africa and Red Sea","Stratovolcano","Eruption Observed","1957 CE","-1.458","29.485","3696","Trachyandesite / Basaltic Trachyandesite","Rift Zone / Continental Crust"
"223060","Muhavura","Uganda-Rwanda","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown","-1.383","29.678","4103","Trachybasalt / Tephrite Basanite","Rift Zone / Continental Crust"
"223070","Bufumbira","Uganda","Africa and Red Sea","Pyroclastic cone","Evidence Uncertain","Unknown","-1.23","29.72","2440","Phono-tephrite /  Tephri-phonolite","Rift Zone / Continental Crust"
"223080","Tshibinda","DR Congo","Africa and Red Sea","Pyroclastic cone","Evidence Credible","Unknown","-2.32","28.75","1460","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"224002","San Carlos","Equatorial Guinea","Africa and Red Sea","Shield","Evidence Credible","Unknown","3.35","8.52","2260","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"224003","San Joaquin","Equatorial Guinea","Africa and Red Sea","Shield","Evidence Credible","Unknown","3.35","8.63","2009","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"224004","Santa Isabel","Equatorial Guinea","Africa and Red Sea","Shield","Eruption Observed","1923 CE","3.58","8.75","3007","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"224010","Cameroon","Cameroon","Africa and Red Sea","Stratovolcano","Eruption Observed","2000 CE","4.203","9.17","4095","Trachybasalt / Tephrite Basanite","Intraplate / Continental Crust"
"224011","Tombel Graben","Cameroon","Africa and Red Sea","Pyroclastic cone","Evidence Credible","Unknown","4.758","9.717","500","Trachybasalt / Tephrite Basanite","Intraplate / Continental Crust"
"224030","Oku Volcanic Field","Cameroon","Africa and Red Sea","Stratovolcano","Evidence Uncertain","Unknown","6.25","10.5","3011","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"224040","Ngaoundere Plateau","Cameroon","Africa and Red Sea","Volcanic field","Evidence Uncertain","Unknown","7.25","13.67","0","Trachybasalt / Tephrite Basanite","Intraplate / Continental Crust"
