"year","age","sex","people"
"1910-01-01T00:00:00","90","1","23929"
"1910-01-01T00:00:00","90","2","28965"
"1920-01-01T00:00:00","0","1","5934792"
"1920-01-01T00:00:00","0","2","5694244"
"1920-01-01T00:00:00","5","1","5789008"
"1920-01-01T00:00:00","5","2","5693960"
"1920-01-01T00:00:00","10","1","5401156"
"1920-01-01T00:00:00","10","2","5293057"
"1920-01-01T00:00:00","15","1","4724365"
"1920-01-01T00:00:00","15","2","4779936"
"1920-01-01T00:00:00","20","1","4549411"
"1920-01-01T00:00:00","20","2","4742632"
"1920-01-01T00:00:00","25","1","4565066"
"1920-01-01T00:00:00","25","2","4529382"
"1920-01-01T00:00:00","30","1","4110771"
"1920-01-01T00:00:00","30","2","3982426"
"1920-01-01T00:00:00","35","1","4081543"
"1920-01-01T00:00:00","35","2","3713810"
"1920-01-01T00:00:00","40","1","3321923"
"1920-01-01T00:00:00","40","2","3059757"
"1920-01-01T00:00:00","45","1","3143891"
"1920-01-01T00:00:00","45","2","2669089"
"1920-01-01T00:00:00","50","1","2546035"
"1920-01-01T00:00:00","50","2","2200491"
"1920-01-01T00:00:00","55","1","1880975"
"1920-01-01T00:00:00","55","2","1674672"
"1920-01-01T00:00:00","60","1","1587549"
"1920-01-01T00:00:00","60","2","1382877"
"1920-01-01T00:00:00","65","1","1095956"
"1920-01-01T00:00:00","65","2","989901"
"1920-01-01T00:00:00","70","1","714618"
"1920-01-01T00:00:00","70","2","690097"
"1920-01-01T00:00:00","75","1","417292"
"1920-01-01T00:00:00","75","2","439465"
"1920-01-01T00:00:00","80","1","187000"
"1920-01-01T00:00:00","80","2","211110"
"1920-01-01T00:00:00","85","1","75991"
"1920-01-01T00:00:00","85","2","92829"
"1920-01-01T00:00:00","90","1","22398"
"1920-01-01T00:00:00","90","2","32085"
"1930-01-01T00:00:00","0","1","5875250"
"1930-01-01T00:00:00","0","2","5662530"
"1930-01-01T00:00:00","5","1","6542592"
"1930-01-01T00:00:00","5","2","6129561"
"1930-01-01T00:00:00","10","1","6064820"
"1930-01-01T00:00:00","10","2","5986529"
"1930-01-01T00:00:00","15","1","5709452"
"1930-01-01T00:00:00","15","2","5769587"
"1930-01-01T00:00:00","20","1","5305992"
"1930-01-01T00:00:00","20","2","5565382"
"1930-01-01T00:00:00","25","1","4929853"
"1930-01-01T00:00:00","25","2","5050229"
"1930-01-01T00:00:00","30","1","4424408"
"1930-01-01T00:00:00","30","2","4455213"
"1930-01-01T00:00:00","35","1","4576531"
"1930-01-01T00:00:00","35","2","4593776"
"1930-01-01T00:00:00","40","1","4075139"
"1930-01-01T00:00:00","40","2","3754022"
"1930-01-01T00:00:00","45","1","3633152"
"1930-01-01T00:00:00","45","2","3396558"
"1930-01-01T00:00:00","50","1","3128108"
"1930-01-01T00:00:00","50","2","2809191"
"1930-01-01T00:00:00","55","1","2434077"
"1930-01-01T00:00:00","55","2","2298614"
"1930-01-01T00:00:00","60","1","1927564"
"1930-01-01T00:00:00","60","2","1783515"
"1930-01-01T00:00:00","65","1","1397275"
"1930-01-01T00:00:00","65","2","1307312"
"1930-01-01T00:00:00","70","1","919045"
"1930-01-01T00:00:00","70","2","918509"
"1930-01-01T00:00:00","75","1","536375"
"1930-01-01T00:00:00","75","2","522716"
"1930-01-01T00:00:00","80","1","246708"
"1930-01-01T00:00:00","80","2","283579"
"1930-01-01T00:00:00","85","1","88978"
"1930-01-01T00:00:00","85","2","109210"
"1930-01-01T00:00:00","90","1","30338"
"1930-01-01T00:00:00","90","2","43483"
"1940-01-01T00:00:00","0","1","5294628"
"1940-01-01T00:00:00","0","2","5124653"
"1940-01-01T00:00:00","5","1","5468378"
"1940-01-01T00:00:00","5","2","5359099"
"1940-01-01T00:00:00","10","1","5960416"
"1940-01-01T00:00:00","10","2","5868532"
"1940-01-01T00:00:00","15","1","6165109"
"1940-01-01T00:00:00","15","2","6193701"
"1940-01-01T00:00:00","20","1","5682414"
"1940-01-01T00:00:00","20","2","5896002"
"1940-01-01T00:00:00","25","1","5438166"
"1940-01-01T00:00:00","25","2","5664244"
"1940-01-01T00:00:00","30","1","5040048"
"1940-01-01T00:00:00","30","2","5171522"
"1940-01-01T00:00:00","35","1","4724804"
"1940-01-01T00:00:00","35","2","4791809"
"1940-01-01T00:00:00","40","1","4437392"
"1940-01-01T00:00:00","40","2","4394061"
"1940-01-01T00:00:00","45","1","4190187"
"1940-01-01T00:00:00","45","2","4050290"
"1940-01-01T00:00:00","50","1","3785735"
"1940-01-01T00:00:00","50","2","3488396"
"1940-01-01T00:00:00","55","1","2972069"
"1940-01-01T00:00:00","55","2","2810000"
"1940-01-01T00:00:00","60","1","2370232"
"1940-01-01T00:00:00","60","2","2317790"
"1940-01-01T00:00:00","65","1","1897678"
"1940-01-01T00:00:00","65","2","1911117"
"1940-01-01T00:00:00","70","1","1280023"
"1940-01-01T00:00:00","70","2","1287711"
"1940-01-01T00:00:00","75","1","713875"
"1940-01-01T00:00:00","75","2","764915"
"1940-01-01T00:00:00","80","1","359418"
"1940-01-01T00:00:00","80","2","414761"
"1940-01-01T00:00:00","85","1","127303"
"1940-01-01T00:00:00","85","2","152131"
"1940-01-01T00:00:00","90","1","42263"
"1940-01-01T00:00:00","90","2","58119"
"1950-01-01T00:00:00","0","1","8211806"
"1950-01-01T00:00:00","0","2","7862267"
"1950-01-01T00:00:00","5","1","6706601"
"1950-01-01T00:00:00","5","2","6450863"
"1950-01-01T00:00:00","10","1","5629744"
"1950-01-01T00:00:00","10","2","5430835"
"1950-01-01T00:00:00","15","1","5264129"
"1950-01-01T00:00:00","15","2","5288742"
"1950-01-01T00:00:00","20","1","5573308"
"1950-01-01T00:00:00","20","2","5854227"
"1950-01-01T00:00:00","25","1","6007254"
"1950-01-01T00:00:00","25","2","6317332"
"1950-01-01T00:00:00","30","1","5676022"
"1950-01-01T00:00:00","30","2","5895178"
"1950-01-01T00:00:00","35","1","5511364"
"1950-01-01T00:00:00","35","2","5696261"
"1950-01-01T00:00:00","40","1","5076985"
"1950-01-01T00:00:00","40","2","5199224"
"1950-01-01T00:00:00","45","1","4533177"
"1950-01-01T00:00:00","45","2","4595842"
"1950-01-01T00:00:00","50","1","4199164"
"1950-01-01T00:00:00","50","2","4147295"
"1950-01-01T00:00:00","55","1","3667351"
"1950-01-01T00:00:00","55","2","3595158"
"1950-01-01T00:00:00","60","1","3035038"
"1950-01-01T00:00:00","60","2","3009768"
"1950-01-01T00:00:00","65","1","2421234"
"1950-01-01T00:00:00","65","2","2548250"
"1950-01-01T00:00:00","70","1","1627920"
"1950-01-01T00:00:00","70","2","1786831"
"1950-01-01T00:00:00","75","1","1006530"
"1950-01-01T00:00:00","75","2","1148469"
"1950-01-01T00:00:00","80","1","511727"
"1950-01-01T00:00:00","80","2","637717"
"1950-01-01T00:00:00","85","1","182821"
"1950-01-01T00:00:00","85","2","242798"
"1950-01-01T00:00:00","90","1","54836"
"1950-01-01T00:00:00","90","2","90766"
"1960-01-01T00:00:00","0","1","10374975"
"1960-01-01T00:00:00","0","2","10146999"
"1960-01-01T00:00:00","5","1","9495503"
"1960-01-01T00:00:00","5","2","9250741"
"1960-01-01T00:00:00","10","1","8563700"
"1960-01-01T00:00:00","10","2","8310764"
"1960-01-01T00:00:00","15","1","6620902"
"1960-01-01T00:00:00","15","2","6617493"
"1960-01-01T00:00:00","20","1","5268384"
"1960-01-01T00:00:00","20","2","5513495"
"1960-01-01T00:00:00","25","1","5311805"
"1960-01-01T00:00:00","25","2","5548259"
"1960-01-01T00:00:00","30","1","5801342"
"1960-01-01T00:00:00","30","2","6090862"
"1960-01-01T00:00:00","35","1","6063063"
"1960-01-01T00:00:00","35","2","6431337"
"1960-01-01T00:00:00","40","1","5657943"
"1960-01-01T00:00:00","40","2","5940520"
"1960-01-01T00:00:00","45","1","5345658"
"1960-01-01T00:00:00","45","2","5516028"
"1960-01-01T00:00:00","50","1","4763364"
"1960-01-01T00:00:00","50","2","4928844"
"1960-01-01T00:00:00","55","1","4170581"
"1960-01-01T00:00:00","55","2","4402878"
"1960-01-01T00:00:00","60","1","3405293"
"1960-01-01T00:00:00","60","2","3723839"
"1960-01-01T00:00:00","65","1","2859371"
"1960-01-01T00:00:00","65","2","3268699"
"1960-01-01T00:00:00","70","1","2115763"
"1960-01-01T00:00:00","70","2","2516479"
"1960-01-01T00:00:00","75","1","1308913"
"1960-01-01T00:00:00","75","2","1641371"
"1960-01-01T00:00:00","80","1","619923"
"1960-01-01T00:00:00","80","2","856952"
"1960-01-01T00:00:00","85","1","253245"
"1960-01-01T00:00:00","85","2","384572"
"1960-01-01T00:00:00","90","1","75908"
"1960-01-01T00:00:00","90","2","135774"
"1970-01-01T00:00:00","0","1","8685121"
"1970-01-01T00:00:00","0","2","8326887"
"1970-01-01T00:00:00","5","1","10411131"
"1970-01-01T00:00:00","5","2","10003293"
"1970-01-01T00:00:00","10","1","10756403"
"1970-01-01T00:00:00","10","2","10343538"
"1970-01-01T00:00:00","15","1","9605399"
"1970-01-01T00:00:00","15","2","9414284"
"1970-01-01T00:00:00","20","1","7729202"
"1970-01-01T00:00:00","20","2","8341830"
"1970-01-01T00:00:00","25","1","6539301"
"1970-01-01T00:00:00","25","2","6903041"
"1970-01-01T00:00:00","30","1","5519879"
"1970-01-01T00:00:00","30","2","5851441"
"1970-01-01T00:00:00","35","1","5396732"
"1970-01-01T00:00:00","35","2","5708021"
"1970-01-01T00:00:00","40","1","5718538"
"1970-01-01T00:00:00","40","2","6129319"
"1970-01-01T00:00:00","45","1","5794120"
"1970-01-01T00:00:00","45","2","6198742"
"1970-01-01T00:00:00","50","1","5298312"
"1970-01-01T00:00:00","50","2","5783817"
"1970-01-01T00:00:00","55","1","4762911"
"1970-01-01T00:00:00","55","2","5222164"
"1970-01-01T00:00:00","60","1","4037643"
"1970-01-01T00:00:00","60","2","4577251"
"1970-01-01T00:00:00","65","1","3142606"
"1970-01-01T00:00:00","65","2","3894827"
"1970-01-01T00:00:00","70","1","2340826"
"1970-01-01T00:00:00","70","2","3138009"
"1970-01-01T00:00:00","75","1","1599269"
"1970-01-01T00:00:00","75","2","2293376"
"1970-01-01T00:00:00","80","1","886155"
"1970-01-01T00:00:00","80","2","1417553"
"1970-01-01T00:00:00","85","1","371123"
"1970-01-01T00:00:00","85","2","658511"
"1970-01-01T00:00:00","90","1","186502"
"1970-01-01T00:00:00","90","2","314929"
"1980-01-01T00:00:00","0","1","8439366"
"1980-01-01T00:00:00","0","2","8081854"
"1980-01-01T00:00:00","5","1","8680730"
"1980-01-01T00:00:00","5","2","8275881"
"1980-01-01T00:00:00","10","1","9452338"
"1980-01-01T00:00:00","10","2","9048483"
"1980-01-01T00:00:00","15","1","10698856"
"1980-01-01T00:00:00","15","2","10410271"
"1980-01-01T00:00:00","20","1","10486776"
"1980-01-01T00:00:00","20","2","10614947"
"1980-01-01T00:00:00","25","1","9624053"
"1980-01-01T00:00:00","25","2","9827903"
"1980-01-01T00:00:00","30","1","8705835"
"1980-01-01T00:00:00","30","2","8955225"
"1980-01-01T00:00:00","35","1","6852069"
"1980-01-01T00:00:00","35","2","7134239"
"1980-01-01T00:00:00","40","1","5692148"
"1980-01-01T00:00:00","40","2","5953910"
"1980-01-01T00:00:00","45","1","5342469"
"1980-01-01T00:00:00","45","2","5697543"
"1980-01-01T00:00:00","50","1","5603709"
"1980-01-01T00:00:00","50","2","6110117"
"1980-01-01T00:00:00","55","1","5485098"
"1980-01-01T00:00:00","55","2","6160229"
"1980-01-01T00:00:00","60","1","4696140"
"1980-01-01T00:00:00","60","2","5456885"
"1980-01-01T00:00:00","65","1","3893510"
"1980-01-01T00:00:00","65","2","4896947"
"1980-01-01T00:00:00","70","1","2857774"
"1980-01-01T00:00:00","70","2","3963441"
"1980-01-01T00:00:00","75","1","1840438"
"1980-01-01T00:00:00","75","2","2951759"
"1980-01-01T00:00:00","80","1","1012886"
"1980-01-01T00:00:00","80","2","1919292"
"1980-01-01T00:00:00","85","1","472338"
"1980-01-01T00:00:00","85","2","1023115"
"1980-01-01T00:00:00","90","1","204148"
"1980-01-01T00:00:00","90","2","499046"
"1990-01-01T00:00:00","0","1","9307465"
"1990-01-01T00:00:00","0","2","8894007"
"1990-01-01T00:00:00","5","1","9274732"
"1990-01-01T00:00:00","5","2","8799955"
"1990-01-01T00:00:00","10","1","8782542"
"1990-01-01T00:00:00","10","2","8337284"
"1990-01-01T00:00:00","15","1","9020572"
"1990-01-01T00:00:00","15","2","8590991"
"1990-01-01T00:00:00","20","1","9436188"
"1990-01-01T00:00:00","20","2","9152644"
"1990-01-01T00:00:00","25","1","10658027"
"1990-01-01T00:00:00","25","2","10587292"
"1990-01-01T00:00:00","30","1","11028712"
"1990-01-01T00:00:00","30","2","11105750"
"1990-01-01T00:00:00","35","1","9853933"
"1990-01-01T00:00:00","35","2","10038644"
"1990-01-01T00:00:00","40","1","8712632"
"1990-01-01T00:00:00","40","2","8928252"
"1990-01-01T00:00:00","45","1","6848082"
"1990-01-01T00:00:00","45","2","7115129"
"1990-01-01T00:00:00","50","1","5553992"
"1990-01-01T00:00:00","50","2","5899925"
"1990-01-01T00:00:00","55","1","4981670"
"1990-01-01T00:00:00","55","2","5460506"
"1990-01-01T00:00:00","60","1","4953822"
"1990-01-01T00:00:00","60","2","5663205"
"1990-01-01T00:00:00","65","1","4538398"
"1990-01-01T00:00:00","65","2","5594108"
"1990-01-01T00:00:00","70","1","3429420"
"1990-01-01T00:00:00","70","2","4610222"
"1990-01-01T00:00:00","75","1","2344932"
"1990-01-01T00:00:00","75","2","3723980"
"1990-01-01T00:00:00","80","1","1342996"
"1990-01-01T00:00:00","80","2","2545730"
"1990-01-01T00:00:00","85","1","588790"
"1990-01-01T00:00:00","85","2","1419494"
"1990-01-01T00:00:00","90","1","238459"
"1990-01-01T00:00:00","90","2","745146"
"2000-01-01T00:00:00","0","1","9735380"
"2000-01-01T00:00:00","0","2","9310714"
"2000-01-01T00:00:00","5","1","10552146"
"2000-01-01T00:00:00","5","2","10069564"
"2000-01-01T00:00:00","10","1","10563233"
"2000-01-01T00:00:00","10","2","10022524"
"2000-01-01T00:00:00","15","1","10237419"
"2000-01-01T00:00:00","15","2","9692669"
"2000-01-01T00:00:00","20","1","9731315"
"2000-01-01T00:00:00","20","2","9324244"
"2000-01-01T00:00:00","25","1","9659493"
"2000-01-01T00:00:00","25","2","9518507"
"2000-01-01T00:00:00","30","1","10205879"
"2000-01-01T00:00:00","30","2","10119296"
"2000-01-01T00:00:00","35","1","11475182"
"2000-01-01T00:00:00","35","2","11635647"
"2000-01-01T00:00:00","40","1","11320252"
"2000-01-01T00:00:00","40","2","11488578"
"2000-01-01T00:00:00","45","1","9925006"
"2000-01-01T00:00:00","45","2","10261253"
"2000-01-01T00:00:00","50","1","8507934"
"2000-01-01T00:00:00","50","2","8911133"
"2000-01-01T00:00:00","55","1","6459082"
"2000-01-01T00:00:00","55","2","6921268"
"2000-01-01T00:00:00","60","1","5123399"
"2000-01-01T00:00:00","60","2","5668961"
"2000-01-01T00:00:00","65","1","4453623"
"2000-01-01T00:00:00","65","2","4804784"
"2000-01-01T00:00:00","70","1","3792145"
"2000-01-01T00:00:00","70","2","5184855"
"2000-01-01T00:00:00","75","1","2912655"
"2000-01-01T00:00:00","75","2","4355644"
"2000-01-01T00:00:00","80","1","1902638"
"2000-01-01T00:00:00","80","2","3221898"
"2000-01-01T00:00:00","85","1","970357"
"2000-01-01T00:00:00","85","2","1981156"
"2000-01-01T00:00:00","90","1","336303"
"2000-01-01T00:00:00","90","2","1064581"
