"objid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","specobjid","class","redshift","plate","mjd","fiberid"
"1.23765e+18","184.1895738","0.099482468","19.25667","17.54869","16.63578","16.14922","15.76639","752","301","4","271","3.24366e+17","GALAXY","0.07208736","288","52000","389"
"1.23765e+18","184.3506466","0.207229523","18.73832","18.60962","18.39696","18.31174","17.97663","752","301","4","272","3.23295e+17","QSO","0.2719369","287","52023","587"
"1.23765e+18","184.2217972","0.046955181","19.05958","18.09512","17.92766","17.8927","17.90772","752","301","4","272","3.64801e+17","STAR","0.000209974","324","51666","35"
"1.23765e+18","184.2456643","0.198257077","19.22143","19.30248","19.13823","19.11351","19.23454","752","301","4","272","3.23294e+17","QSO","1.178098","287","52023","583"
"1.23765e+18","184.3888696","0.068287428","19.04397","17.51106","16.87335","16.61114","16.48303","752","301","4","273","3.63838e+17","STAR","0.000240098","323","51615","628"
"1.23765e+18","184.3809191","0.17432277","17.81661","16.86976","16.53884","16.19576","16.08668","752","301","4","273","3.23307e+17","GALAXY","0.07277206","287","52023","632"
"1.23765e+18","184.4668531","0.111965321","19.3932","18.48274","18.16551","18.05122","18.04328","752","301","4","273","3.64963e+17","STAR","-0.000270218","324","51666","623"
"1.23765e+18","184.5694109","0.137091485","17.51339","16.41793","16.06695","15.93751","15.89478","752","301","4","274","3.24377e+17","STAR","-3.55e-05","288","52000","430"
"1.23765e+18","184.6541703","0.122673446","19.07731","18.64518","18.49678","18.52677","18.45765","752","301","4","274","3.24375e+17","QSO","0.9251733","288","52000","421"
"1.23765e+18","184.6587955","0.159935507","18.63032","17.23437","16.72749","16.51772","16.44039","752","301","4","274","2.88015e+18","STAR","4.31e-06","2558","54140","356"
"1.23765e+18","184.5168342","0.145549586","19.21684","18.29956","18.19589","18.14758","18.26658","752","301","4","274","3.72239e+18","STAR","8.8e-05","3306","54922","595"
"1.23765e+18","184.6185631","0.080576269","19.4127","17.47109","16.4987","16.06502","15.66848","752","301","4","274","3.24379e+17","GALAXY","0.1167829","288","52000","437"
"1.23765e+18","184.6274079","0.013234086","18.48543","17.339","16.90179","16.66712","16.48684","752","301","4","274","3.23308e+17","GALAXY","0.02129653","287","52023","637"
"1.23765e+18","184.6767619","0.059441869","17.72835","16.19783","15.66073","15.51586","15.43615","752","301","4","275","2.88015e+18","STAR","0.000175365","2558","54140","358"
"1.23765e+18","184.7119696","0.066571901","17.70824","16.61069","16.19772","16.0625","16.00229","752","301","4","275","3.7224e+18","STAR","0.00017238","3306","54922","632"
"1.23765e+18","184.7702039","0.19801005","18.18974","17.23738","16.89113","16.75727","16.71052","752","301","4","275","2.88015e+18","STAR","0.000519808","2558","54140","349"
"1.23765e+18","184.7826977","0.140979369","19.0764","17.78953","16.98818","16.60519","16.27859","752","301","4","275","3.24389e+17","GALAXY","0.1169446","288","52000","474"
"1.23765e+18","184.7651553","0.080985794","19.18013","18.07133","17.71771","17.48797","17.55667","752","301","4","275","3.24389e+17","GALAXY","0.06807999","288","52000","471"
"1.23765e+18","184.8635981","0.143469363","18.38848","17.00188","16.37884","16.16978","16.0124","752","301","4","276","2.88015e+18","STAR","0.000135947","2558","54140","341"
"1.23765e+18","184.8641903","0.143441662","17.93407","16.64581","16.22206","16.07029","16.06046","752","301","4","276","2.89142e+18","STAR","0.000158087","2568","54153","383"
"1.23765e+18","184.8755286","0.033060812","19.03059","18.10673","17.82561","17.71227","17.6878","752","301","4","276","2.88015e+18","STAR","-0.000167378","2558","54140","355"
"1.23765e+18","184.8763144","0.185151372","18.12978","17.17421","16.75108","16.5884","16.48527","752","301","4","276","2.88016e+18","STAR","0.000692428","2558","54140","387"
"1.23765e+18","184.9569855","0.156360267","18.15079","16.77761","16.2215","16.02345","15.91957","752","301","4","276","2.88016e+18","STAR","0.000304361","2558","54140","386"
"1.23765e+18","184.8321997","0.044306547","19.52092","17.58562","16.4269","15.94473","15.56269","752","301","4","276","3.24391e+17","GALAXY","0.1506381","288","52000","479"
"1.23765e+18","184.9722153","0.097754241","18.90592","17.46608","16.85369","16.58687","16.41878","752","301","4","277","2.88016e+18","STAR","0.00057828","2558","54140","395"
"1.23765e+18","184.9942751","0.109160933","17.7019","16.76073","16.48746","16.38173","16.33654","752","301","4","277","2.88016e+18","STAR","0.000704736","2558","54140","400"
"1.23765e+18","185.0012555","0.069723829","18.85351","17.97745","17.6112","17.45679","17.40576","752","301","4","277","4.33026e+18","STAR","-0.000676195","3846","55327","160"
"1.23765e+18","185.0650695","0.142442894","18.75478","17.58247","17.08046","16.87063","16.75911","752","301","4","277","2.88016e+18","STAR","-0.000503256","2558","54140","390"
"1.23765e+18","185.0859131","0.099953851","18.33616","17.30684","16.92903","16.78272","16.73807","752","301","4","277","2.88016e+18","STAR","7.61e-05","2558","54140","397"
"1.23765e+18","185.0273854","0.095346099","19.1713","18.01316","17.42493","17.04493","16.82237","752","301","4","277","3.24396e+17","GALAXY","0.1183854","288","52000","496"
"1.23765e+18","185.0363883","0.17667755","19.12083","17.92189","17.18494","16.7895","16.52258","752","301","4","277","3.244e+17","GALAXY","0.1575296","288","52000","514"
"1.23765e+18","185.1643757","0.074358069","17.55001","17.42367","17.35734","17.19343","16.97589","752","301","4","278","3.24401e+17","QSO","2.044347","288","52000","516"
"1.23765e+18","185.2170514","0.155193816","18.89707","18.04519","17.7501","17.6378","17.6124","752","301","4","278","2.88017e+18","STAR","0.000250291","2558","54140","431"
"1.23765e+18","185.1367288","0.071514063","19.48347","17.51522","16.31651","15.83499","15.4368","752","301","4","278","3.24397e+17","GALAXY","0.1585163","288","52000","502"
"1.23765e+18","185.2306077","0.010099581","19.31764","18.38629","18.12009","17.9998","17.93916","752","301","4","278","2.89139e+18","STAR","0.000576704","2568","54153","270"
"1.23765e+18","185.3772509","0.200803727","17.964","16.39632","15.74191","15.4828","15.32453","752","301","4","279","2.88017e+18","STAR","0.000349798","2558","54140","422"
"1.23765e+18","159.6249648","-0.62071445","19.19383","18.20278","17.90109","17.77634","17.74759","756","301","2","293","4.24595e+18","STAR","-0.000256492","3771","55544","664"
"1.23765e+18","159.7978416","-0.557196466","19.19752","18.07471","17.76889","17.6148","17.49577","756","301","2","294","3.0856e+17","GALAXY","0.02335118","274","51913","229"
"1.23765e+18","159.8033022","-0.535038616","19.26627","18.16093","17.59907","17.2172","17.06311","756","301","2","294","3.08557e+17","GALAXY","0.1236402","274","51913","221"
"1.23765e+18","159.8475235","-0.5342664","19.38251","17.92302","17.11018","16.66492","16.34558","756","301","2","294","3.08548e+17","GALAXY","0.1141676","274","51913","186"
"1.23765e+18","159.9393455","-0.609184323","19.48702","18.51823","18.18637","18.06704","18.05865","756","301","2","295","4.3156e+18","STAR","0.000790241","3833","55290","98"
"1.23765e+18","160.0342636","-0.421625751","19.2634","17.67693","16.82551","16.42307","16.13864","756","301","2","295","3.08551e+17","GALAXY","0.1330486","274","51913","198"
"1.23765e+18","160.0351619","-0.599992669","19.31866","18.27407","17.74884","17.41618","17.24165","756","301","2","295","3.08547e+17","GALAXY","0.07470067","274","51913","184"
"1.23765e+18","160.1442091","-0.489329778","18.73682","17.65075","17.23958","17.07875","17.03255","756","301","2","296","3.08542e+17","STAR","0.000106767","274","51913","164"
"1.23765e+18","160.119405","-0.61813005","19.29416","17.97134","17.26079","16.86013","16.56031","756","301","2","296","3.08541e+17","GALAXY","0.08692535","274","51913","163"
"1.23765e+18","160.2275468","-0.433199867","19.48611","17.93822","17.21548","16.82853","16.53911","756","301","2","297","3.09705e+17","GALAXY","0.1335348","275","51910","301"
"1.23765e+18","160.2486687","-0.579992361","19.31804","17.30973","16.17525","15.69015","15.31261","756","301","2","297","3.09702e+17","GALAXY","0.1370104","275","51910","291"
"1.23765e+18","160.3831151","-0.459235231","19.29157","17.3125","16.17862","15.70898","15.31378","756","301","2","298","3.09709e+17","GALAXY","0.1373722","275","51910","314"
"1.23765e+18","160.3848058","-0.586704796","19.52565","19.29625","18.95885","18.52108","18.57694","756","301","2","298","3.097e+17","QSO","0.1346428","275","51910","281"
"1.23765e+18","160.4339517","-0.608481498","19.38467","18.59734","18.12431","17.74761","17.63823","756","301","2","298","3.09705e+17","GALAXY","0.1321922","275","51910","300"
"1.23765e+18","160.4436424","-0.600549712","18.27173","17.0717","16.65145","16.39055","16.27766","756","301","2","298","3.08536e+17","GALAXY","0.03641907","274","51913","144"
"1.23765e+18","160.4534919","-0.617038417","19.10892","17.76311","16.91794","16.47233","16.19134","756","301","2","298","3.08539e+17","GALAXY","0.1383506","274","51913","154"
"1.23765e+18","160.6582067","-0.439603952","17.78707","16.12342","15.48934","15.2674","15.14027","756","301","2","299","2.88126e+18","STAR","0.000149526","2559","54208","311"
"1.23765e+18","160.6754542","-0.559791088","17.54073","15.83706","15.15225","14.91498","14.82364","756","301","2","300","2.88127e+18","STAR","0.000236645","2559","54208","320"
"1.23765e+18","160.7170039","-0.609533502","18.44119","17.54684","17.27727","17.1878","17.20361","756","301","2","300","2.88126e+18","STAR","-0.000114203","2559","54208","285"
"1.23765e+18","160.7303546","-0.521740212","19.13281","17.80045","17.2643","17.07242","16.98861","756","301","2","300","2.88126e+18","STAR","0.000186468","2559","54208","314"
"1.23765e+18","160.8121077","-0.520466085","19.42387","18.24594","18.31933","18.40867","18.52614","756","301","2","300","2.89252e+18","STAR","0.000830783","2569","54234","313"
"1.23765e+18","160.8166374","-0.557673714","17.95812","16.9013","16.52805","16.39926","16.37399","756","301","2","300","2.68986e+18","STAR","-7.66e-05","2389","54213","312"
"1.23765e+18","160.8202892","-0.52224098","16.344","14.85487","14.29812","14.12055","14.08315","756","301","2","300","2.88126e+18","STAR","-4.79e-05","2559","54208","313"
"1.23765e+18","160.7014882","-0.445422709","19.34314","18.12056","17.55584","17.19446","16.9961","756","301","2","300","3.09694e+17","GALAXY","0.08592108","275","51910","261"
"1.23765e+18","160.8486802","-0.627079872","17.73398","16.84657","16.57527","16.48237","16.4738","756","301","2","301","2.88126e+18","STAR","0.000700168","2559","54208","300"
"1.23765e+18","160.93824","-0.423246618","17.37104","15.78487","14.98982","14.58674","14.25872","756","301","2","301","3.09695e+17","GALAXY","0.03910941","275","51910","263"
"1.23765e+18","160.936366","-0.421334413","19.51073","18.05851","17.59638","17.33996","17.29404","756","301","2","301","3.08514e+17","GALAXY","0.03917867","274","51913","65"
"1.23765e+18","160.8619387","-0.422734986","19.44424","18.23033","17.64066","17.2346","17.04825","756","301","2","301","3.09696e+17","GALAXY","0.1273446","275","51910","267"
"1.23765e+18","160.878832","-0.584109529","19.11186","17.90859","17.40774","17.19731","17.05761","756","301","2","301","3.08516e+17","GALAXY","0.0190457","274","51913","70"
"1.23765e+18","160.9913453","-0.507477148","18.6673","16.70426","15.81967","15.40313","15.06115","756","301","2","302","3.09695e+17","GALAXY","0.05955937","275","51910","265"
"1.23765e+18","160.9953137","-0.478531394","19.04517","17.87662","17.49664","17.37287","17.33316","756","301","2","302","3.09696e+17","STAR","6.1e-05","275","51910","268"
"1.23765e+18","160.9977374","-0.468998759","17.94459","16.51015","15.8354","15.40969","15.10252","756","301","2","302","3.08516e+17","GALAXY","0.06012432","274","51913","69"
"1.23765e+18","161.0084679","-0.57896477","17.3725","16.25937","15.88727","15.75644","15.71021","756","301","2","302","2.88126e+18","STAR","-0.000187248","2559","54208","301"
"1.23765e+18","161.0623439","-0.494714915","16.45379","15.02962","14.56318","14.40143","14.359","756","301","2","302","2.88125e+18","STAR","-4.96e-05","2559","54208","265"
"1.23765e+18","161.0900299","-0.612438382","19.26927","18.24939","17.96535","17.83665","17.80351","756","301","2","302","2.89251e+18","STAR","0.000899142","2569","54234","262"
"1.23765e+18","161.094801","-0.452049786","17.8271","16.23793","15.67866","15.49427","15.41664","756","301","2","302","2.88125e+18","STAR","-7.84e-05","2559","54208","267"
"1.23765e+18","161.115243","-0.575633407","17.88776","16.52607","16.03367","15.85057","15.80518","756","301","2","302","2.68985e+18","STAR","0.000107983","2389","54213","268"
"1.23765e+18","160.9911005","-0.561372535","19.58396","17.64963","16.73063","16.29203","15.94702","756","301","2","302","3.09692e+17","GALAXY","0.06164807","275","51910","251"
"1.23765e+18","160.9981591","-0.588311672","18.1781","16.13568","15.28753","14.89827","14.56479","756","301","2","302","3.08504e+17","GALAXY","0.06063098","274","51913","26"
"1.23765e+18","160.996765","-0.588244892","18.38625","16.39808","15.40492","14.88012","14.50048","756","301","2","302","3.09693e+17","GALAXY","0.06067357","275","51910","255"
"1.23765e+18","161.0643247","-0.484587014","18.77188","17.15955","16.35564","15.94145","15.65799","756","301","2","302","3.08506e+17","GALAXY","0.0603932","274","51913","34"
"1.23765e+18","161.1335288","-0.569857253","16.63374","15.54072","15.18744","15.06259","15.03905","756","301","2","303","2.88125e+18","STAR","0.000450099","2559","54208","261"
"1.23765e+18","161.1805844","-0.456397413","17.14849","15.83151","15.35753","15.18887","15.12737","756","301","2","303","2.88125e+18","STAR","0.000161562","2559","54208","269"
"1.23765e+18","161.2107488","-0.433373886","16.23113","15.20485","14.95443","14.8674","14.86301","756","301","2","303","2.88125e+18","STAR","-0.000111743","2559","54208","277"
"1.23765e+18","161.2265355","-0.470463619","18.56268","17.14623","16.5559","16.29699","16.157","756","301","2","303","2.88125e+18","STAR","0.000657249","2559","54208","279"
"1.23765e+18","161.255471","-0.531927477","17.47383","16.41803","16.07634","15.96205","15.90247","756","301","2","303","2.88124e+18","STAR","-0.000287019","2559","54208","228"
"1.23765e+18","161.1426397","-0.434574053","19.38031","18.07652","17.34212","16.86341","16.50079","756","301","2","303","3.08504e+17","GALAXY","0.08483262","274","51913","28"
"1.23765e+18","161.1642017","-0.434453905","19.05616","17.70945","16.99192","16.54076","16.26619","756","301","2","303","3.09698e+17","GALAXY","0.08539017","275","51910","276"
"1.23765e+18","161.1736817","-0.503545461","18.95158","17.47266","16.70008","16.29777","15.99012","756","301","2","303","3.09697e+17","GALAXY","0.1161265","275","51910","270"
"1.23765e+18","161.0737895","-0.89274034","19.11236","17.92701","17.42347","17.0868","16.83476","756","301","1","302","3.09681e+17","GALAXY","0.03869415","275","51910","211"
"1.23765e+18","161.0244718","-0.962380281","18.86752","17.33773","16.80683","16.55789","16.38996","756","301","1","302","3.0969e+17","GALAXY","0.02655639","275","51910","245"
"1.23765e+18","161.1941229","-1.023623943","18.95785","18.08318","17.78178","17.65689","17.61821","756","301","1","303","2.88125e+18","STAR","0.00088935","2559","54208","256"
"1.23765e+18","161.238814","-0.840751357","17.80041","16.46003","15.90095","15.66963","15.53772","756","301","1","303","2.88126e+18","STAR","0.000386423","2559","54208","298"
"1.23765e+18","161.2480303","-0.958166789","18.76266","17.25724","16.68513","16.47563","16.38993","756","301","1","303","2.88125e+18","STAR","0.00018398","2559","54208","260"
"1.23765e+18","161.2734198","-0.996668901","16.82701","15.30022","14.73089","14.5436","14.44859","756","301","1","304","2.88125e+18","STAR","3.98e-05","2559","54208","259"
"1.23765e+18","161.3031007","-0.964276286","19.01558","17.72445","17.18152","16.97813","16.85652","756","301","1","304","2.68984e+18","STAR","0.000365554","2389","54213","243"
"1.23765e+18","161.3075532","-1.046361578","17.72604","17.4621","17.24036","17.21479","17.09174","756","301","1","304","4.26282e+18","QSO","0.9693318","3786","55563","594"
"1.23765e+18","161.3076233","-0.922529503","18.6769","17.78154","17.52458","17.42232","17.38025","756","301","1","304","2.88125e+18","STAR","0.000182587","2559","54208","244"
"1.23765e+18","161.3506918","-0.893119394","18.12173","16.84951","16.38322","16.20272","16.10719","756","301","1","304","2.68984e+18","STAR","0.00023867","2389","54213","244"
"1.23765e+18","161.3585111","-1.020013399","18.68765","18.61862","18.59058","18.50573","18.31973","756","301","1","304","3.09682e+17","QSO","2.093151","275","51910","215"
"1.23765e+18","161.4256487","-0.991083327","18.82957","17.93844","17.56125","17.39783","17.33559","756","301","1","305","2.88125e+18","STAR","0.000356511","2559","54208","252"
"1.23765e+18","161.4407033","-0.974533129","17.56939","16.61339","16.2723","16.13031","16.0821","756","301","1","305","2.88124e+18","STAR","0.000332482","2559","54208","210"
"1.23765e+18","161.4871696","-0.879257492","19.56237","17.59451","16.7141","16.29138","15.95551","756","301","1","305","3.09658e+17","GALAXY","0.08621725","275","51910","129"
"1.23765e+18","161.5643091","-1.017804433","19.56588","18.63518","18.09855","17.7029","17.48965","756","301","1","305","3.09656e+17","GALAXY","0.06744873","275","51910","122"
"1.23765e+18","161.5783055","-0.856035602","18.45709","17.05875","16.56312","16.35972","16.28534","756","301","1","306","2.88124e+18","STAR","0.000291299","2559","54208","211"
"1.23765e+18","161.6803789","-0.875843442","18.0872","16.64009","16.17627","15.98626","15.92437","756","301","1","306","2.68983e+18","STAR","6.27e-05","2389","54213","212"
"1.23765e+18","161.6933527","-0.923690302","18.20489","17.12961","16.79656","16.62952","16.57625","756","301","1","306","2.88124e+18","STAR","0.000995929","2559","54208","213"
"1.23765e+18","161.6351321","-0.855769711","19.39882","18.3913","17.85607","17.46761","17.32818","756","301","1","306","3.0966e+17","GALAXY","0.150701","275","51910","138"
"1.23765e+18","161.7379245","-1.015841899","17.46669","16.36004","15.87807","15.65679","15.56303","756","301","1","307","2.88121e+18","STAR","0.000695604","2559","54208","123"
"1.23765e+18","161.7416796","-0.987110454","17.66388","18.01819","18.96769","18.32366","16.18336","756","301","1","307","4.26286e+18","STAR","5.17e-05","3786","55563","749"
"1.23765e+18","161.7416467","-0.846029366","17.70241","17.84848","18.15799","18.38987","18.71965","756","301","1","307","2.71236e+18","STAR","5.78e-05","2409","54210","230"
"1.23765e+18","161.7408913","-0.97987371","18.53678","17.96047","17.373","17.21301","17.18247","756","301","1","307","3.0966e+17","GALAXY","0.03981317","275","51910","136"
"1.23765e+18","161.8112567","-1.020950417","19.28844","17.89368","17.29176","17.05897","16.92672","756","301","1","307","2.68981e+18","STAR","-0.000138961","2389","54213","129"
"1.23765e+18","161.8815501","-0.919919301","17.5803","15.91818","15.3324","15.12888","15.04031","756","301","1","308","2.68981e+18","STAR","7.93e-05","2389","54213","137"
"1.23765e+18","161.9354758","-0.950524205","17.58302","16.1223","15.61429","15.4367","15.37343","756","301","1","308","2.88121e+18","STAR","9.74e-05","2559","54208","121"
"1.23765e+18","161.8843346","-0.944497872","18.97204","17.9849","17.66618","17.43481","17.32352","756","301","1","308","3.09645e+17","GALAXY","0.05151358","275","51910","81"
"1.23765e+18","162.047298","-0.840633793","17.07819","15.49603","14.84319","14.54306","14.38931","756","301","1","309","2.88121e+18","STAR","0.000543499","2559","54208","132"
"1.23765e+18","162.0813465","-0.941748913","19.43337","18.54425","18.21197","18.07626","17.99902","756","301","1","309","4.31671e+18","STAR","0.000586336","3834","56014","50"
"1.23765e+18","162.098584","-0.914676301","18.30903","17.08338","16.65224","16.48205","16.39475","756","301","1","309","2.88121e+18","STAR","0.000117847","2559","54208","133"
"1.23765e+18","162.1200426","-0.96306428","18.2861","18.11478","18.14232","18.02426","18.03402","756","301","1","309","3.09637e+17","QSO","1.741678","275","51910","51"
"1.23765e+18","162.1613267","-1.041705966","16.67229","15.52946","15.16349","15.04075","15.00277","756","301","1","309","2.8812e+18","STAR","5.17e-05","2559","54208","84"
"1.23765e+18","162.177631","-1.007117476","18.04392","16.98619","16.67233","16.54937","16.49476","756","301","1","310","2.6898e+18","STAR","0.000264481","2389","54213","86"
"1.23765e+18","162.19974","-1.01466107","18.85257","17.86745","17.55789","17.43459","17.38357","756","301","1","310","2.6898e+18","STAR","-5.87e-07","2389","54213","88"
"1.23765e+18","162.2248113","-0.987748767","16.86535","15.81168","15.47238","15.32898","15.27367","756","301","1","310","2.8812e+18","STAR","0.000274919","2559","54208","88"
"1.23765e+18","162.2465655","-0.918542011","17.71105","16.34725","15.83003","15.60209","15.47698","756","301","1","310","2.6898e+18","STAR","-0.00045622","2389","54213","90"
"1.23765e+18","162.305639","-1.003780829","19.18404","19.1997","19.1041","18.78402","18.68743","756","301","1","310","3.09625e+17","QSO","2.006571","275","51910","8"
"1.23765e+18","162.2042136","-0.987362487","17.80165","16.61996","16.1181","15.85237","15.64157","756","301","1","310","3.09634e+17","GALAXY","0.02614697","275","51910","41"
"1.23765e+18","162.289475","-0.908548805","18.66761","16.83642","15.95352","15.51473","15.16474","756","301","1","310","3.10827e+17","GALAXY","0.03804233","276","51909","287"
"1.23765e+18","162.3337182","-1.001236825","18.45831","17.09308","16.55146","16.36101","16.27274","756","301","1","311","2.8812e+18","STAR","0.00038865","2559","54208","90"
"1.23765e+18","162.3451997","-0.846905435","19.45426","17.49314","16.74405","16.50129","16.34002","756","301","1","311","2.6898e+18","STAR","0.000164115","2389","54213","93"
"1.23765e+18","162.4100525","-0.974669972","17.57672","16.30313","15.82177","15.6353","15.5685","756","301","1","311","2.8812e+18","STAR","0.000326733","2559","54208","87"
"1.23765e+18","162.4063775","-0.907118295","18.41814","17.17549","16.63656","16.31784","16.1021","756","301","1","311","3.10826e+17","GALAXY","0.03836371","276","51909","282"
"1.23765e+18","162.4924287","-1.037511669","19.16261","17.45277","16.81324","16.56124","16.44654","756","301","1","312","2.68979e+18","STAR","7.82e-05","2389","54213","53"
"1.23765e+18","162.588828","-0.87201293","17.37496","16.06552","15.63478","15.48339","15.42321","756","301","1","312","2.68979e+18","STAR","5.26e-05","2389","54213","58"
"1.23765e+18","162.5862969","-0.873837222","18.81535","16.69037","15.70883","15.31833","14.85697","756","301","1","312","3.10831e+17","GALAXY","0.1074627","276","51909","300"
"1.23765e+18","162.5985101","-0.990873937","18.02848","16.65369","16.06824","15.82721","15.70943","756","301","1","312","2.68979e+18","STAR","-3.76e-05","2389","54213","43"
"1.23765e+18","162.6110238","-0.890844709","17.33813","15.96866","15.49672","15.33282","15.27834","756","301","1","312","2.68979e+18","STAR","-4.71e-05","2389","54213","55"
"1.23765e+18","162.5471497","-1.002056509","19.48367","18.1998","17.55522","17.15322","16.93752","756","301","1","312","3.09624e+17","GALAXY","0.1045614","275","51910","7"
"1.23765e+18","162.6673956","-0.900916547","16.52364","15.40187","15.08259","14.97577","14.95088","756","301","1","313","2.88119e+18","STAR","0.000263051","2559","54208","58"
"1.23765e+18","218.7291721","0.458112049","16.97457","15.7859","15.32505","15.16091","15.08877","752","301","5","502","3.45759e+17","STAR","-5.7e-06","307","51663","391"
"1.23765e+18","218.8321711","0.47572999","16.75927","15.62012","15.041","14.71669","14.44965","752","301","5","503","3.4469e+17","GALAXY","0.02956719","306","51637","599"
"1.23765e+18","219.083277","0.576226173","18.70255","17.71797","17.34371","17.17482","17.1185","752","301","5","504","3.44697e+17","STAR","2.47e-05","306","51637","625"
"1.23765e+18","219.1969133","0.627944731","19.54733","18.17471","17.46927","17.09822","16.84518","752","301","5","505","3.45768e+17","GALAXY","0.1097059","307","51663","426"
"1.23765e+18","219.1376572","0.432899037","19.20287","16.59277","15.70658","15.25103","14.89744","752","301","5","505","3.45768e+17","GALAXY","0.07221484","307","51663","425"
"1.23765e+18","219.2504009","0.564754111","19.07784","18.06951","17.70663","17.49811","17.31405","752","301","5","506","6.0354e+17","GALAXY","0.03472417","536","52024","209"
"1.23765e+18","219.5617663","0.547663882","19.06822","17.80601","17.33803","17.16516","17.09147","752","301","5","508","3.45778e+17","STAR","-2.66e-05","307","51663","461"
"1.23765e+18","219.5819712","0.471852739","18.56313","18.53411","18.38498","18.37235","18.3623","752","301","5","508","3.4578e+17","QSO","1.257948","307","51663","467"
"1.23765e+18","219.582247","0.595887057","17.89559","16.71264","16.2921","16.1399","16.07841","752","301","5","508","3.45778e+17","STAR","7.05e-05","307","51663","462"
"1.23765e+18","219.5886352","0.510878933","19.14528","18.19967","17.89295","17.78337","17.73488","752","301","5","508","4.532e+18","STAR","-0.000276482","4025","55350","920"
"1.23765e+18","219.6611664","0.569298323","19.47595","18.6116","18.52926","18.76056","18.28581","752","301","5","508","3.4578e+17","STAR","-0.000385041","307","51663","468"
"1.23765e+18","219.6651858","0.441050803","19.29275","19.02275","18.92752","18.85194","18.76428","752","301","5","508","3.45779e+17","QSO","1.971239","307","51663","464"
"1.23765e+18","219.7797727","0.508632556","17.27438","16.14879","15.72019","15.48375","15.35073","752","301","5","509","3.45785e+17","GALAXY","0.03325611","307","51663","487"
"1.23765e+18","219.9387246","0.531203465","18.9146","17.67455","16.96098","16.57482","16.29057","752","301","5","510","3.45791e+17","GALAXY","0.116515","307","51663","508"
"1.23765e+18","220.1224112","0.584089432","16.93221","15.56652","14.92086","14.58185","14.3252","752","301","5","511","3.458e+17","GALAXY","0.03717615","307","51663","541"
"1.23765e+18","220.1776293","0.606597158","18.73475","17.79811","17.46425","17.34566","17.29465","752","301","5","512","4.52852e+18","STAR","0.000255278","4022","55352","554"
"1.23765e+18","220.1815105","0.464743603","19.5796","17.68983","16.74287","16.33313","16.0111","752","301","5","512","3.45811e+17","GALAXY","0.1092154","307","51663","582"
"1.23765e+18","220.2475691","0.561580939","19.33625","17.34765","16.35417","15.91167","15.58279","752","301","5","512","3.45813e+17","GALAXY","0.1087394","307","51663","590"
"1.23765e+18","220.5992691","0.61894204","18.37159","16.28451","15.44592","15.16673","15.01227","752","301","5","515","3.46868e+17","STAR","-7.05e-05","308","51662","330"
"1.23765e+18","220.6831889","0.598384718","19.28787","17.52747","16.75908","16.41961","16.23461","752","301","5","515","3.30349e+18","STAR","-4.11e-06","2934","54626","351"
